label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,0,16000,7201,8799,0.450062500,0.049937500,0.992792537,0.862660428
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,1,16000,7061,8939,0.441312500,0.058687500,0.990039128,0.839886553
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,2,16000,7097,8903,0.443562500,0.056437500,0.990789864,0.845708444
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,3,16000,7104,8896,0.444000000,0.056000000,0.990932404,0.846843212
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,4,16000,7042,8958,0.440125000,0.059875000,0.989630966,0.836823334
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,5,16000,7064,8936,0.441500000,0.058500000,0.990102821,0.840370814
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,6,16000,7140,8860,0.446250000,0.053750000,0.991647797,0.852693301
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,0,7,16000,7186,8814,0.449125000,0.050875000,0.992518904,0.860203103
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,0,16000,6981,9019,0.436312500,0.063687500,0.988264722,0.827032519
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,1,16000,7152,8848,0.447000000,0.053000000,0.991879693,0.854648614
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,2,16000,7130,8870,0.445625000,0.054375000,0.991452043,0.851065895
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,3,16000,7160,8840,0.447500000,0.052500000,0.992032465,0.855953630
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,4,16000,7179,8821,0.448687500,0.051312500,0.992389455,0.859057783
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,5,16000,7043,8957,0.440187500,0.059812500,0.989652654,0.836984394
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,6,16000,7066,8934,0.441625000,0.058375000,0.990145168,0.840693745
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,1,7,16000,7096,8904,0.443500000,0.056500000,0.990769410,0.845546407
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,0,16000,7073,8927,0.442062500,0.057937500,0.990292664,0.841824574
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,1,16000,7223,8777,0.451437500,0.048562500,0.993184598,0.866272093
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,2,16000,7001,8999,0.437562500,0.062437500,0.988722057,0.830235307
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,3,16000,7084,8916,0.442750000,0.057250000,0.990522180,0.843603383
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,4,16000,7091,8909,0.443187500,0.056812500,0.990666798,0.844736496
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,5,16000,7153,8847,0.447062500,0.052937500,0.991898869,0.854811677
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,6,16000,7043,8957,0.440187500,0.059812500,0.989652654,0.836984394
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,2,7,16000,7061,8939,0.441312500,0.058687500,0.990039128,0.839886553
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,0,16000,7081,8919,0.442562500,0.057437500,0.990459859,0.843118036
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,1,16000,7092,8908,0.443250000,0.056750000,0.990687366,0.844898442
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,2,16000,7089,8911,0.443062500,0.056937500,0.990625593,0.844412659
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,3,16000,7120,8880,0.445000000,0.055000000,0.991254007,0.849440323
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,4,16000,7080,8920,0.442500000,0.057500000,0.990439040,0.842956290
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,5,16000,7109,8891,0.444312500,0.055687500,0.991033532,0.847654307
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,6,16000,7037,8963,0.439812500,0.060187500,0.989522183,0.836018303
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,3,7,16000,7159,8841,0.447437500,0.052562500,0.992013449,0.855790439
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,4,0,16000,7087,8913,0.442937500,0.057062500,0.990584296,0.844088894
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,4,1,16000,7017,8983,0.438562500,0.061437500,0.989081331,0.832802666
restart_reduced_xor_random1_sampler_island_local_warmup10_all640_1000x125_strict_20260526_repeat02.payload,4,2,16000,7176,8824,0.448500000,0.051500000,0.992333635,0.858567209
