label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,0,0,1430,6570,0.178750000,0.321250000,0.677334862,0.284106629
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,1,1,1992,6008,0.249000000,0.251000000,0.809689311,0.413115187
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,2,2,1321,6679,0.165125000,0.334875000,0.646430408,0.260367886
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,3,3,1828,6172,0.228500000,0.271500000,0.775387288,0.374261938
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,4,4,1645,6355,0.205625000,0.294375000,0.733036434,0.332107875
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,5,5,1424,6576,0.178000000,0.322000000,0.675682186,0.282789701
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,6,6,1912,6088,0.239000000,0.261000000,0.793373356,0.394031641
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,7,7,1415,6585,0.176875000,0.323125000,0.673192767,0.280816560
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,8,0,1775,6225,0.221875000,0.278125000,0.763576449,0.361926163
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,9,1,1590,6410,0.198750000,0.301250000,0.719421039,0.319675643
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,10,2,1587,6413,0.198375000,0.301625000,0.718666166,0.319000593
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,11,3,1802,6198,0.225250000,0.274750000,0.769638638,0.368197245
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,12,4,1536,6464,0.192000000,0.308000000,0.705636606,0.307572802
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,13,5,1740,6260,0.217500000,0.282500000,0.755576232,0.353837343
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,14,6,1656,6344,0.207000000,0.293000000,0.735709079,0.334607229
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro0_1000x125_strict_20260526.payload,15,7,1606,6394,0.200750000,0.299250000,0.723425561,0.323281256
