label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,0,16000,3803,12197,0.237687500,0.262312500,0.791173477,0.391545562
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,1,16000,3770,12230,0.235625000,0.264375000,0.787688793,0.387647501
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,2,16000,3575,12425,0.223437500,0.276562500,0.766394789,0.364826053
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,3,16000,3750,12250,0.234375000,0.265625000,0.785560292,0.385290156
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,4,16000,3897,12103,0.243562500,0.256437500,0.800914569,0.402707209
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,5,16000,3544,12456,0.221500000,0.278500000,0.762897016,0.361231056
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,6,16000,3646,12354,0.227875000,0.272125000,0.774288519,0.373093669
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,0,7,16000,3885,12115,0.242812500,0.257187500,0.799686169,0.401277500
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,0,16000,3841,12159,0.240062500,0.259937500,0.795144199,0.396047324
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,1,16000,3578,12422,0.223625000,0.276375000,0.766731624,0.365174432
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,2,16000,3868,12132,0.241750000,0.258250000,0.797938377,0.399254502
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,3,16000,3792,12208,0.237000000,0.263000000,0.790015689,0.390245038
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,4,16000,3590,12410,0.224375000,0.275625000,0.768076042,0.366568790
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,5,16000,3832,12168,0.239500000,0.260500000,0.794207808,0.394979847
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,6,16000,3835,12165,0.239687500,0.260312500,0.794520216,0.395335585
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,1,7,16000,3493,12507,0.218312500,0.281687500,0.757074185,0.355336127
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,0,16000,3601,12399,0.225062500,0.274937500,0.769304330,0.367848136
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,1,16000,3966,12034,0.247875000,0.252125000,0.807892674,0.410955643
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,2,16000,3754,12246,0.234625000,0.265375000,0.785986996,0.385761317
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,3,16000,3577,12423,0.223562500,0.276437500,0.766619378,0.365058297
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,4,16000,3999,12001,0.249937500,0.250062500,0.811179049,0.414917280
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,5,16000,3767,12233,0.235437500,0.264562500,0.787370317,0.387293654
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,6,16000,3598,12402,0.224875000,0.275125000,0.768969730,0.367499111
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,2,7,16000,3915,12085,0.244687500,0.255312500,0.802748914,0.404854432
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,0,16000,3806,12194,0.237875000,0.262125000,0.791488584,0.391900454
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,1,16000,3711,12289,0.231937500,0.268062500,0.781373541,0.380704382
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,2,16000,3601,12399,0.225062500,0.274937500,0.769304330,0.367848136
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,3,16000,3906,12094,0.244125000,0.255875000,0.801832979,0.403780421
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,4,16000,3743,12257,0.233937500,0.266062500,0.784812352,0.384465994
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,5,16000,3635,12365,0.227187500,0.272812500,0.773076173,0.371809665
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,6,16000,3994,12006,0.249625000,0.250375000,0.810683222,0.414316332
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,3,7,16000,3782,12218,0.236375000,0.263625000,0.788959883,0.389063760
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,0,16000,3597,12403,0.224812500,0.275187500,0.768858133,0.367382788
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,1,16000,3616,12384,0.226000000,0.274000000,0.770972968,0.369594529
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,2,16000,3894,12106,0.243375000,0.256625000,0.800607882,0.402349649
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,3,16000,3576,12424,0.223500000,0.276500000,0.766507100,0.364942170
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,4,16000,3639,12361,0.227437500,0.272562500,0.773517475,0.372276444
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,5,16000,3826,12174,0.239125000,0.260875000,0.793582155,0.394268634
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,6,16000,3644,12356,0.227750000,0.272250000,0.774068381,0.372860129
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,4,7,16000,3652,12348,0.228250000,0.271750000,0.774948164,0.373794517
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,5,0,15000,3479,11521,0.231933333,0.268066667,0.781366343,0.380696555
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,5,1,15000,3526,11474,0.235066667,0.264933333,0.786739612,0.386594078
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,5,2,15000,3320,11680,0.221333333,0.278666667,0.762594668,0.360922227
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,5,3,15000,3401,11599,0.226733333,0.273266667,0.772273160,0.370962071
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro2_1000x125_strict_20260526.payload,5,4,15000,3527,11473,0.235133333,0.264866667,0.786853079,0.386719819
