label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,0,16000,7868,8132,0.491750000,0.008250000,0.999803604,0.976389785
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,1,16000,7817,8183,0.488562500,0.011437500,0.999622511,0.967370148
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,2,16000,7786,8214,0.486625000,0.013375000,0.999483769,0.961915053
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,3,16000,7885,8115,0.492812500,0.007187500,0.999850935,0.979408905
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,4,16000,7745,8255,0.484062500,0.015937500,0.999266975,0.954731785
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,5,16000,7847,8153,0.490437500,0.009562500,0.999736140,0.972668985
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,6,16000,7841,8159,0.490062500,0.009937500,0.999715038,0.971607660
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,0,7,16000,7830,8170,0.489375000,0.010625000,0.999674242,0.969663922
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,0,16000,7800,8200,0.487500000,0.012500000,0.999549111,0.964376090
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,1,16000,7769,8231,0.485562500,0.014437500,0.999398482,0.958932283
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,2,16000,7769,8231,0.485562500,0.014437500,0.999398482,0.958932283
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,3,16000,7788,8212,0.486750000,0.013250000,0.999493374,0.962266373
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,4,16000,7793,8207,0.487062500,0.012937500,0.999516993,0.963145047
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,5,16000,7765,8235,0.485312500,0.014687500,0.999377466,0.958231350
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,6,16000,7826,8174,0.489125000,0.010875000,0.999658731,0.968957757
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,1,7,16000,7910,8090,0.494375000,0.005625000,0.999908703,0.983860297
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,2,0,16000,7760,8240,0.485000000,0.015000000,0.999350690,0.957355663
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,2,1,16000,7894,8106,0.493375000,0.006625000,0.999873355,0.981009825
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,2,2,16000,7819,8181,0.488687500,0.011312500,0.999630717,0.967722799
restart_reduced_xor_random1_sampler_island_local_warmup5_except_data_ro0_1000x125_strict_20260526.payload,2,3,16000,7723,8277,0.482687500,0.017312500,0.999135010,0.950892043
