label,byte_index,byte_phase_mod8,bit_index,ones,zeros,p1,abs_bias,x,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,0,625,375,0.625000000,0.125000000,625,0.954434003,0.678071905
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,1,520,480,0.520000000,0.020000000,520,0.998845536,0.943416472
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,2,659,341,0.659000000,0.159000000,659,0.925772423,0.601649630
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,3,357,643,0.357000000,0.143000000,643,0.940164752,0.637109357
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,4,419,581,0.419000000,0.081000000,581,0.980985270,0.783389931
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,5,755,245,0.755000000,0.255000000,755,0.803256700,0.405451450
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,6,582,418,0.582000000,0.082000000,582,0.980510718,0.780908942
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,7,511,489,0.511000000,0.011000000,511,0.999650840,0.968604804
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,0,310,690,0.310000000,0.190000000,690,0.893173458,0.535331733
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,1,721,279,0.721000000,0.221000000,721,0.854084660,0.471928835
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,2,679,321,0.679000000,0.179000000,679,0.905465607,0.558516520
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,3,531,469,0.531000000,0.031000000,531,0.997225361,0.913216234
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,4,708,292,0.708000000,0.208000000,708,0.871290784,0.498178735
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,5,438,562,0.438000000,0.062000000,562,0.988879961,0.831357964
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,6,367,633,0.367000000,0.133000000,633,0.948340730,0.659722595
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,7,769,231,0.769000000,0.269000000,769,0.779750459,0.378944497
