label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,0,16000,9368,6632,0.585500000,0.085500000,0.978803059,0.772258924
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,1,16000,9184,6816,0.574000000,0.074000000,0.984141411,0.800877358
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,2,16000,9100,6900,0.568750000,0.068750000,0.986318721,0.814133455
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,3,16000,8871,7129,0.554437500,0.054437500,0.991432342,0.850903256
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,4,16000,9245,6755,0.577812500,0.077812500,0.982458371,0.791326680
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,5,16000,9417,6583,0.588562500,0.088562500,0.977249127,0.764732470
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,6,16000,9300,6700,0.581250000,0.081250000,0.980867187,0.782769284
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,0,7,16000,9125,6875,0.570312500,0.070312500,0.985687679,0.810175441
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,0,16000,9082,6918,0.567625000,0.067625000,0.986764179,0.816989963
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,1,16000,9442,6558,0.590125000,0.090125000,0.976434786,0.760907517
restart_reduced_xor_random1_sampler_island_local_warmup5_data_ro3_1000x125_strict_20260528_ro3_warmup_neighbors.payload,1,2,16000,9389,6611,0.586812500,0.086812500,0.978143923,0.769028492
