label,byte_index,byte_phase_mod8,bit_index,ones,zeros,p1,abs_bias,x,entropy,min_entropy
random1_sampler_island_local_warmup10_payload999,0,0,0,477,522,0.477477477,0.022522523,522,0.998535850,0.936434871
random1_sampler_island_local_warmup10_payload999,0,0,1,448,551,0.448448448,0.051551552,551,0.992318252,0.858432359
random1_sampler_island_local_warmup10_payload999,0,0,2,457,542,0.457457457,0.042542543,542,0.994771506,0.882191826
random1_sampler_island_local_warmup10_payload999,0,0,3,456,543,0.456456456,0.043543544,543,0.994522248,0.879532480
random1_sampler_island_local_warmup10_payload999,0,0,4,483,516,0.483483483,0.016516517,516,0.999212736,0.953113612
random1_sampler_island_local_warmup10_payload999,0,0,5,495,504,0.495495495,0.004504505,504,0.999941453,0.987060944
random1_sampler_island_local_warmup10_payload999,0,0,6,455,544,0.455455455,0.044544545,544,0.994267164,0.876878027
random1_sampler_island_local_warmup10_payload999,0,0,7,491,508,0.491491491,0.008508509,508,0.999791103,0.975656181
random1_sampler_island_local_warmup10_payload999,1,1,0,480,519,0.480480480,0.019519520,519,0.998900353,0.944750139
random1_sampler_island_local_warmup10_payload999,1,1,1,485,514,0.485485485,0.014514515,514,0.999392046,0.958716319
random1_sampler_island_local_warmup10_payload999,1,1,2,463,536,0.463463463,0.036536537,536,0.996144804,0.898251677
random1_sampler_island_local_warmup10_payload999,1,1,3,458,541,0.458458458,0.041541542,541,0.995014939,0.884856084
random1_sampler_island_local_warmup10_payload999,1,1,4,452,547,0.452452452,0.047547548,547,0.993466931,0.868943845
random1_sampler_island_local_warmup10_payload999,1,1,5,484,515,0.484484484,0.015515516,515,0.999305285,0.955912246
random1_sampler_island_local_warmup10_payload999,1,1,6,447,552,0.447447447,0.052552553,552,0.992016477,0.855816411
random1_sampler_island_local_warmup10_payload999,1,1,7,481,518,0.481481481,0.018518519,518,0.999010271,0.947532580
random1_sampler_island_local_warmup10_payload999,2,2,0,411,588,0.411411411,0.088588589,588,0.977235650,0.764668523
random1_sampler_island_local_warmup10_payload999,2,2,1,446,553,0.446446446,0.053553554,553,0.991708855,0.853205198
random1_sampler_island_local_warmup10_payload999,2,2,2,406,593,0.406406406,0.093593594,593,0.974574961,0.752452573
random1_sampler_island_local_warmup10_payload999,2,2,3,427,572,0.427427427,0.072572573,572,0.984749477,0.804469531
random1_sampler_island_local_warmup10_payload999,2,2,4,467,532,0.467467467,0.032532533,532,0.996944044,0.909058432
random1_sampler_island_local_warmup10_payload999,2,2,5,420,579,0.420420420,0.079579580,579,0.981649146,0.786921330
random1_sampler_island_local_warmup10_payload999,2,2,6,415,584,0.415415415,0.084584585,584,0.979256718,0.774516309
random1_sampler_island_local_warmup10_payload999,2,2,7,409,590,0.409409409,0.090590591,590,0.976189315,0.759769724
random1_sampler_island_local_warmup10_payload999,3,3,0,452,547,0.452452452,0.047547548,547,0.993466931,0.868943845
random1_sampler_island_local_warmup10_payload999,3,3,1,477,522,0.477477477,0.022522523,522,0.998535850,0.936434871
random1_sampler_island_local_warmup10_payload999,3,3,2,464,535,0.464464464,0.035535536,535,0.996353330,0.900945787
random1_sampler_island_local_warmup10_payload999,3,3,3,433,566,0.433433433,0.066566567,566,0.987176486,0.819682625
random1_sampler_island_local_warmup10_payload999,3,3,4,465,534,0.465465465,0.034534535,534,0.996556044,0.903644936
random1_sampler_island_local_warmup10_payload999,3,3,5,445,554,0.445445445,0.054554555,554,0.991395383,0.850598702
random1_sampler_island_local_warmup10_payload999,3,3,6,435,564,0.435435435,0.064564565,564,0.987938361,0.824789515
