label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
random1_sampler_island_local_warmup10_payload999,0,0,15984,7328,8656,0.458458458,0.041541542,0.995014939,0.884856084
random1_sampler_island_local_warmup10_payload999,0,1,15984,7302,8682,0.456831832,0.043168168,0.994616402,0.880529161
random1_sampler_island_local_warmup10_payload999,0,2,15984,7392,8592,0.462462462,0.037537538,0.995930465,0.895562590
random1_sampler_island_local_warmup10_payload999,0,3,15984,7225,8759,0.452014515,0.047985485,0.993345844,0.867790414
random1_sampler_island_local_warmup10_payload999,0,4,15984,7473,8511,0.467530030,0.032469970,0.996955794,0.909227932
random1_sampler_island_local_warmup10_payload999,0,5,15984,7440,8544,0.465465465,0.034534535,0.996556044,0.903644936
random1_sampler_island_local_warmup10_payload999,0,6,15984,7403,8581,0.463150651,0.036849349,0.996078448,0.897410799
random1_sampler_island_local_warmup10_payload999,0,7,15984,7331,8653,0.458646146,0.041353854,0.995059934,0.885356180
random1_sampler_island_local_warmup10_payload999,1,0,15984,7284,8700,0.455705706,0.044294294,0.994331481,0.877541182
random1_sampler_island_local_warmup10_payload999,1,1,15984,7503,8481,0.469406907,0.030593093,0.997297768,0.914322199
random1_sampler_island_local_warmup10_payload999,1,2,15984,7450,8534,0.466091091,0.033908909,0.996679790,0.905334473
random1_sampler_island_local_warmup10_payload999,1,3,15984,7343,8641,0.459396897,0.040603103,0.995237869,0.887358302
random1_sampler_island_local_warmup10_payload999,1,4,15984,7288,8696,0.455955956,0.044044044,0.994395435,0.878204643
random1_sampler_island_local_warmup10_payload999,1,5,15984,7363,8621,0.460648148,0.039351852,0.995527152,0.890701358
random1_sampler_island_local_warmup10_payload999,1,6,15984,7264,8720,0.454454454,0.045545546,0.994006251,0.874228448
random1_sampler_island_local_warmup10_payload999,1,7,15984,7391,8593,0.462399900,0.037600100,0.995916876,0.895394688
random1_sampler_island_local_warmup10_payload999,2,0,15984,7383,8601,0.461899399,0.038100601,0.995807344,0.894052178
random1_sampler_island_local_warmup10_payload999,2,1,15984,7353,8631,0.460022523,0.039977477,0.995383647,0.889028861
random1_sampler_island_local_warmup10_payload999,2,2,15984,7287,8697,0.455893393,0.044106607,0.994379480,0.878038749
random1_sampler_island_local_warmup10_payload999,2,3,15984,7301,8683,0.456769269,0.043230731,0.994600767,0.880362999
random1_sampler_island_local_warmup10_payload999,2,4,15984,7351,8633,0.459897397,0.040102603,0.995354674,0.888694595
random1_sampler_island_local_warmup10_payload999,2,5,15984,7246,8738,0.453328328,0.046671672,0.993705755,0.871253477
random1_sampler_island_local_warmup10_payload999,2,6,15984,7276,8708,0.455205205,0.044794795,0.994202482,0.876215176
random1_sampler_island_local_warmup10_payload999,2,7,15984,7324,8660,0.458208208,0.041791792,0.994954627,0.884189558
random1_sampler_island_local_warmup10_payload999,3,0,15984,7416,8568,0.463963964,0.036036036,0.996249794,0.899598103
random1_sampler_island_local_warmup10_payload999,3,1,15984,7482,8502,0.468093093,0.031906907,0.997060530,0.910754324
random1_sampler_island_local_warmup10_payload999,3,2,15984,7461,8523,0.466779279,0.033220721,0.996813289,0.907195251
random1_sampler_island_local_warmup10_payload999,3,3,15984,7342,8642,0.459334334,0.040665666,0.995223166,0.887191352
random1_sampler_island_local_warmup10_payload999,3,4,15984,7329,8655,0.458521021,0.041478979,0.995029960,0.885022764
random1_sampler_island_local_warmup10_payload999,3,5,15984,7373,8611,0.461273774,0.038726226,0.995668384,0.892375795
random1_sampler_island_local_warmup10_payload999,3,6,15984,7435,8549,0.465152653,0.034847347,0.996493320,0.902800909
random1_sampler_island_local_warmup10_payload999,3,7,15984,7465,8519,0.467029530,0.032970470,0.996861154,0.907872493
random1_sampler_island_local_warmup10_payload999,4,0,15984,7351,8633,0.459897397,0.040102603,0.995354674,0.888694595
random1_sampler_island_local_warmup10_payload999,4,1,15984,7319,8665,0.457895395,0.042104605,0.994878724,0.883356834
random1_sampler_island_local_warmup10_payload999,4,2,15984,7351,8633,0.459897397,0.040102603,0.995354674,0.888694595
random1_sampler_island_local_warmup10_payload999,4,3,15984,7321,8663,0.458020521,0.041979479,0.994909153,0.883689866
random1_sampler_island_local_warmup10_payload999,4,4,15984,7257,8727,0.454016517,0.045983483,0.993890269,0.873070786
random1_sampler_island_local_warmup10_payload999,4,5,15984,7494,8490,0.468843844,0.031156156,0.997197319,0.912792029
random1_sampler_island_local_warmup10_payload999,4,6,15984,7321,8663,0.458020521,0.041979479,0.994909153,0.883689866
random1_sampler_island_local_warmup10_payload999,4,7,15984,7341,8643,0.459271772,0.040728228,0.995208441,0.887024422
random1_sampler_island_local_warmup10_payload999,5,0,14985,6965,8020,0.464798131,0.035201869,0.996421547,0.901844942
random1_sampler_island_local_warmup10_payload999,5,1,14985,6905,8080,0.460794127,0.039205873,0.995560310,0.891091886
random1_sampler_island_local_warmup10_payload999,5,2,14985,6889,8096,0.459726393,0.040273607,0.995314929,0.888237889
random1_sampler_island_local_warmup10_payload999,5,3,14985,6748,8237,0.450316984,0.049683016,0.992865930,0.863328190
random1_sampler_island_local_warmup10_payload999,5,4,14985,6874,8111,0.458725392,0.041274608,0.995078871,0.885567384
random1_sampler_island_local_warmup10_payload999,5,5,14985,6782,8203,0.452585919,0.047414081,0.993503612,0.869295550
random1_sampler_island_local_warmup10_payload999,5,6,14985,6774,8211,0.452052052,0.047947948,0.993356267,0.867889243
random1_sampler_island_local_warmup10_payload999,5,7,14985,6853,8132,0.457323991,0.042676009,0.994738608,0.881836964
random1_sampler_island_local_warmup10_payload999,6,0,14985,6836,8149,0.456189523,0.043810477,0.994454795,0.878824148
random1_sampler_island_local_warmup10_payload999,6,1,14985,6838,8147,0.456322990,0.043677010,0.994488574,0.879178271
random1_sampler_island_local_warmup10_payload999,6,2,14985,6858,8127,0.457657658,0.042342342,0.994820658,0.882724284
random1_sampler_island_local_warmup10_payload999,6,3,14985,6878,8107,0.458992326,0.041007674,0.995142389,0.886279036
random1_sampler_island_local_warmup10_payload999,6,4,14985,6889,8096,0.459726393,0.040273607,0.995314929,0.888237889
random1_sampler_island_local_warmup10_payload999,6,5,14985,6877,8108,0.458925592,0.041074408,0.995126548,0.886101090
random1_sampler_island_local_warmup10_payload999,6,6,14985,6806,8179,0.454187521,0.045812479,0.993935690,0.873522715
random1_sampler_island_local_warmup10_payload999,6,7,14985,6793,8192,0.453319987,0.046680013,0.993703501,0.871231463
random1_sampler_island_local_warmup10_payload999,7,0,14985,6928,8057,0.462328996,0.037671004,0.995901447,0.895204423
random1_sampler_island_local_warmup10_payload999,7,1,14985,6913,8072,0.461327995,0.038672005,0.995680517,0.892521004
random1_sampler_island_local_warmup10_payload999,7,2,14985,6853,8132,0.457323991,0.042676009,0.994738608,0.881836964
random1_sampler_island_local_warmup10_payload999,7,3,14985,6867,8118,0.458258258,0.041741742,0.994966718,0.884322839
random1_sampler_island_local_warmup10_payload999,7,4,14985,6839,8146,0.456389723,0.043610277,0.994505424,0.879355364
random1_sampler_island_local_warmup10_payload999,7,5,14985,6899,8086,0.460393727,0.039606273,0.995469068,0.890020975
random1_sampler_island_local_warmup10_payload999,7,6,14985,6942,8043,0.463263263,0.036736737,0.996102401,0.897713459
