"label","variant_short","warmup_short","bit_order","ea_run","ea_result_dir","bit_symbols","initial_entropy"
"restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525","sro","w4","msb","sro_w4_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w4_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.msb.bits.bin","0.902345"
"restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525","sro","w4","lsb","sro_w4_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w4_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.lsb.bits.bin","0.828444"
"restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525","sro","w5","msb","sro_w5_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w5_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.msb.bits.bin","0.902345"
"restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525","sro","w5","lsb","sro_w5_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w5_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.lsb.bits.bin","0.828444"
"restart_random1_sample_ro_local_warmup10_1000x125_strict_20260525","sro","w10","msb","sro_w10_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w10_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup10_1000x125_strict_20260525.msb.bits.bin","0.902345"
"restart_random1_sample_ro_local_warmup10_1000x125_strict_20260525","sro","w10","lsb","sro_w10_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w10_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup10_1000x125_strict_20260525.lsb.bits.bin","0.828444"
"restart_random1_sample_ro_local_warmup11_1000x125_strict_20260525","sro","w11","msb","sro_w11_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w11_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup11_1000x125_strict_20260525.msb.bits.bin","0.902345"
"restart_random1_sample_ro_local_warmup11_1000x125_strict_20260525","sro","w11","lsb","sro_w11_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\sro_w11_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sample_ro_local_warmup11_1000x125_strict_20260525.lsb.bits.bin","0.828444"
"restart_random1_sampler_island_local_warmup4_1000x125_strict_20260525","island","w4","msb","island_w4_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\island_w4_msb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sampler_island_local_warmup4_1000x125_strict_20260525.msb.bits.bin","0.902345"
"restart_random1_sampler_island_local_warmup4_1000x125_strict_20260525","island","w4","lsb","island_w4_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\ea_restart\island_w4_lsb","E:\Project\MLDSA\RO_TRNG\data\experiments\restart_sampler_island_passband_strict_20260525\bit_symbols\restart_random1_sampler_island_local_warmup4_1000x125_strict_20260525.lsb.bits.bin","0.828444"
