label,byte_index,byte_phase_mod8,bit_index,ones,zeros,p1,abs_bias,x,entropy,min_entropy
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,0,485,515,0.485000000,0.015000000,515,0.999350690,0.957355663
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,1,485,515,0.485000000,0.015000000,515,0.999350690,0.957355663
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,2,475,525,0.475000000,0.025000000,525,0.998195879,0.929610672
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,3,524,476,0.524000000,0.024000000,524,0.998337377,0.932361283
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,4,513,487,0.513000000,0.013000000,513,0.999512314,0.962969269
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,5,478,522,0.478000000,0.022000000,522,0.998603020,0.937878288
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,6,471,529,0.471000000,0.029000000,529,0.997572025,0.918660373
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,7,460,540,0.460000000,0.040000000,540,0.995378439,0.888968688
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,0,493,507,0.493000000,0.007000000,507,0.999858611,0.979942348
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,1,504,496,0.504000000,0.004000000,504,0.999953833,0.988504361
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,2,514,486,0.514000000,0.014000000,514,0.999434390,0.960159735
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,3,484,516,0.484000000,0.016000000,516,0.999261214,0.954557029
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,4,491,509,0.491000000,0.009000000,509,0.999766271,0.974262439
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,5,502,498,0.502000000,0.002000000,502,0.999988458,0.994240731
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,6,521,479,0.521000000,0.021000000,521,0.998727169,0.940644722
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,7,505,495,0.505000000,0.005000000,505,0.999927864,0.985644707
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,0,523,477,0.523000000,0.023000000,523,0.998473090,0.935117148
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,1,506,494,0.506000000,0.006000000,506,0.999896123,0.982790710
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,2,519,481,0.519000000,0.019000000,519,0.998958123,0.946193556
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,3,503,497,0.503000000,0.003000000,503,0.999974031,0.991369695
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,4,472,528,0.472000000,0.028000000,528,0.997736670,0.921390165
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,5,500,500,0.500000000,0.000000000,500,1.000000000,1.000000000
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,6,521,479,0.521000000,0.021000000,521,0.998727169,0.940644722
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,7,499,501,0.499000000,0.001000000,501,0.999997115,0.997117491
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,0,520,480,0.520000000,0.020000000,520,0.998845536,0.943416472
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,1,504,496,0.504000000,0.004000000,504,0.999953833,0.988504361
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,2,530,470,0.530000000,0.030000000,530,0.997401589,0.915935735
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,3,494,506,0.494000000,0.006000000,506,0.999896123,0.982790710
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,4,512,488,0.512000000,0.012000000,512,0.999584464,0.965784285
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,5,502,498,0.502000000,0.002000000,502,0.999988458,0.994240731
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,6,513,487,0.513000000,0.013000000,513,0.999512314,0.962969269
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,7,511,489,0.511000000,0.011000000,511,0.999650840,0.968604804
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,4,0,483,517,0.483000000,0.017000000,517,0.999165962,0.951763814
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,4,1,507,493,0.507000000,0.007000000,507,0.999858611,0.979942348
