label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,0,16000,7923,8077,0.495187500,0.004812500,0.999933173,0.986180461
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,1,16000,7987,8013,0.499187500,0.000812500,0.999998095,0.997657523
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,2,16000,7924,8076,0.495250000,0.004750000,0.999934897,0.986359089
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,3,16000,8024,7976,0.501500000,0.001500000,0.999993508,0.995678394
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,4,16000,8059,7941,0.503687500,0.003687500,0.999960765,0.989399167
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,5,16000,8003,7997,0.500187500,0.000187500,0.999999899,0.999459091
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,6,16000,7901,8099,0.493812500,0.006187500,0.999889530,0.982256213
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,0,7,16000,8057,7943,0.503562500,0.003562500,0.999963380,0.989757244
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,0,16000,7997,8003,0.499812500,0.000187500,0.999999899,0.999459091
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,1,16000,8067,7933,0.504187500,0.004187500,0.999949404,0.987967744
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,2,16000,7952,8048,0.497000000,0.003000000,0.999974031,0.991369695
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,3,16000,8055,7945,0.503437500,0.003437500,0.999965905,0.990115411
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,4,16000,7912,8088,0.494500000,0.005500000,0.999912715,0.984217003
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,5,16000,8010,7990,0.500625000,0.000625000,0.999998873,0.998197757
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,6,16000,7979,8021,0.498687500,0.001312500,0.999995029,0.996217887
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,1,7,16000,8013,7987,0.500812500,0.000812500,0.999998095,0.997657523
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,0,16000,8013,7987,0.500812500,0.000812500,0.999998095,0.997657523
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,1,16000,7919,8081,0.494937500,0.005062500,0.999926049,0.985466167
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,2,16000,8080,7920,0.505000000,0.005000000,0.999927864,0.985644707
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,3,16000,7930,8070,0.495625000,0.004375000,0.999944771,0.987431326
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,4,16000,8048,7952,0.503000000,0.003000000,0.999974031,0.991369695
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,5,16000,7895,8105,0.493437500,0.006562500,0.999875733,0.981187814
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,6,16000,8063,7937,0.503937500,0.003937500,0.999955265,0.988683278
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,2,7,16000,8021,7979,0.501312500,0.001312500,0.999995029,0.996217887
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,0,16000,8055,7945,0.503437500,0.003437500,0.999965905,0.990115411
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,1,16000,8018,7982,0.501125000,0.001125000,0.999996348,0.996757583
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,2,16000,7897,8103,0.493562500,0.006437500,0.999880422,0.981543859
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,3,16000,7935,8065,0.495937500,0.004062500,0.999952379,0.988325467
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,4,16000,8014,7986,0.500875000,0.000875000,0.999997791,0.997477490
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,5,16000,8119,7881,0.507437500,0.007437500,0.999840385,0.978697955
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,6,16000,8199,7801,0.512437500,0.012437500,0.999553609,0.964552039
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,3,7,16000,8064,7936,0.504000000,0.004000000,0.999953833,0.988504361
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,0,16000,7860,8140,0.491250000,0.008750000,0.999779076,0.974971206
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,1,16000,8063,7937,0.503937500,0.003937500,0.999955265,0.988683278
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,2,16000,8031,7969,0.501937500,0.001937500,0.999989168,0.994420360
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,3,16000,7914,8086,0.494625000,0.005375000,0.999916638,0.984573796
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,4,16000,7982,8018,0.498875000,0.001125000,0.999996348,0.996757583
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,5,16000,7944,8056,0.496500000,0.003500000,0.999964654,0.989936317
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,6,16000,8143,7857,0.508937500,0.008937500,0.999769506,0.974439598
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,4,7,16000,8023,7977,0.501437500,0.001437500,0.999994038,0.995858203
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,0,15000,7491,7509,0.499400000,0.000600000,0.999998961,0.998269804
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,1,15000,7455,7545,0.497000000,0.003000000,0.999974031,0.991369695
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,2,15000,7421,7579,0.494733333,0.005266667,0.999919964,0.984883089
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,3,15000,7524,7476,0.501600000,0.001600000,0.999992613,0.995390747
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,4,15000,7406,7594,0.493733333,0.006266667,0.999886685,0.982030597
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,5,15000,7511,7489,0.500733333,0.000733333,0.999998448,0.997885597
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,6,15000,7496,7504,0.499733333,0.000266667,0.999999795,0.999230768
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,5,7,15000,7381,7619,0.492066667,0.007933333,0.999818392,0.977288940
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,0,15000,7499,7501,0.499933333,0.000066667,0.999999987,0.999807653
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,1,15000,7463,7537,0.497533333,0.002466667,0.999982444,0.992900203
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,2,15000,7502,7498,0.500133333,0.000133333,0.999999949,0.999615333
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,3,15000,7401,7599,0.493400000,0.006600000,0.999874309,0.981081018
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,4,15000,7539,7461,0.502600000,0.002600000,0.999980495,0.992517424
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,5,15000,7467,7533,0.497800000,0.002200000,0.999986035,0.993666066
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,6,15000,7398,7602,0.493200000,0.006800000,0.999866575,0.980511570
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,6,7,15000,7435,7565,0.495666667,0.004333333,0.999945818,0.987550513
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,0,15000,7385,7615,0.492333333,0.007666667,0.999830397,0.978046559
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,1,15000,7492,7508,0.499466667,0.000533333,0.999999179,0.998461945
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,2,15000,7535,7465,0.502333333,0.002333333,0.999984291,0.993283084
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,3,15000,7413,7587,0.494200000,0.005800000,0.999902933,0.983361058
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,4,15000,7451,7549,0.496733333,0.003266667,0.999969209,0.990605049
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,5,15000,7509,7491,0.500600000,0.000600000,0.999998961,0.998269804
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,6,15000,7485,7515,0.499000000,0.001000000,0.999997115,0.997117491
restart_random1_sample_ro_local_warmup4_1000x125_strict_20260525.payload,7,7,15000,7534,7466,0.502266667,0.002266667,0.999985175,0.993474562
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,0,16000,6558,9442,0.409875000,0.090125000,0.976434786,0.760907517
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,1,16000,6559,9441,0.409937500,0.090062500,0.976467639,0.761060321
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,2,16000,6522,9478,0.407625000,0.092375000,0.975236547,0.755417339
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,3,16000,6480,9520,0.405000000,0.095000000,0.973800369,0.749038426
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,4,16000,6544,9456,0.409000000,0.091000000,0.975972395,0.758769964
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,5,16000,6630,9370,0.414375000,0.085625000,0.978740726,0.771950952
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,6,16000,6656,9344,0.416000000,0.084000000,0.979543820,0.775959726
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,0,7,16000,6481,9519,0.405062500,0.094937500,0.973835043,0.749189978
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,0,16000,6541,9459,0.408812500,0.091187500,0.975872717,0.758312329
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,1,16000,6484,9516,0.405250000,0.094750000,0.973938924,0.749644728
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,2,16000,6481,9519,0.405062500,0.094937500,0.973835043,0.749189978
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,3,16000,6550,9450,0.409375000,0.090625000,0.976171122,0.759685671
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,4,16000,6599,9401,0.412437500,0.087562500,0.977762671,0.767185773
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,5,16000,6846,9154,0.427875000,0.072125000,0.984937663,0.805597708
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,6,16000,6573,9427,0.410812500,0.089187500,0.976925137,0.763201272
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,1,7,16000,6638,9362,0.414875000,0.085125000,0.978989503,0.773183235
restart_random1_sample_ro_local_warmup5_1000x125_strict_20260525.payload,2,0,16000,6555,9445,0.409687500,0.090312500,0.976336087,0.760449203
