label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
island_w10_repeat02.payload,0,0,3792,4208,0.474000000,0.026000000,0.998048596,0.926865295
island_w10_repeat02.payload,1,1,3668,4332,0.458500000,0.041500000,0.995024915,0.884966757
island_w10_repeat02.payload,2,2,3574,4426,0.446750000,0.053250000,0.991802759,0.853996549
island_w10_repeat02.payload,3,3,3552,4448,0.444000000,0.056000000,0.990932404,0.846843212
island_w10_repeat02.payload,4,4,3521,4479,0.440125000,0.059875000,0.989630966,0.836823334
island_w10_repeat02.payload,5,5,3573,4427,0.446625000,0.053375000,0.991764155,0.853670627
island_w10_repeat02.payload,6,6,3690,4310,0.461250000,0.038750000,0.995663059,0.892312131
island_w10_repeat02.payload,7,7,3629,4371,0.453625000,0.046375000,0.993785635,0.872036622
island_w10_repeat02.payload,8,0,3683,4317,0.460375000,0.039625000,0.995464778,0.889970907
island_w10_repeat02.payload,9,1,3751,4249,0.468875000,0.031125000,0.997202925,0.912876656
island_w10_repeat02.payload,10,2,3761,4239,0.470125000,0.029875000,0.997423210,0.916276034
island_w10_repeat02.payload,11,3,3664,4336,0.458000000,0.042000000,0.994904169,0.883635243
island_w10_repeat02.payload,12,4,3648,4352,0.456000000,0.044000000,0.994406653,0.878321443
island_w10_repeat02.payload,13,5,3604,4396,0.450500000,0.049500000,0.992918479,0.863808614
island_w10_repeat02.payload,14,6,3630,4370,0.453750000,0.046250000,0.993819138,0.872366720
island_w10_repeat02.payload,15,7,3616,4384,0.452000000,0.048000000,0.993341812,0.867752202
island_w10_repeat02.payload,16,0,3654,4346,0.456750000,0.043250000,0.994595947,0.880311825
island_w10_repeat02.payload,17,1,3617,4383,0.452125000,0.047875000,0.993376498,0.868081321
island_w10_repeat02.payload,18,2,3607,4393,0.450875000,0.049125000,0.993025541,0.864793501
island_w10_repeat02.payload,19,3,3633,4367,0.454125000,0.045875000,0.993919103,0.873357469
island_w10_repeat02.payload,20,4,3662,4338,0.457750000,0.042250000,0.994843251,0.882969947
island_w10_repeat02.payload,21,5,3716,4284,0.464500000,0.035500000,0.996360626,0.901041520
island_w10_repeat02.payload,22,6,3592,4408,0.449000000,0.051000000,0.992482032,0.859875776
island_w10_repeat02.payload,23,7,3558,4442,0.444750000,0.055250000,0.991174154,0.848790607
island_w10_repeat02.payload,24,0,3627,4373,0.453375000,0.046625000,0.993718355,0.871376652
island_w10_repeat02.payload,25,1,3574,4426,0.446750000,0.053250000,0.991802759,0.853996549
island_w10_repeat02.payload,26,2,3665,4335,0.458125000,0.041875000,0.994934492,0.883968007
island_w10_repeat02.payload,27,3,3595,4405,0.449375000,0.050625000,0.992592374,0.860857981
island_w10_repeat02.payload,28,4,3590,4410,0.448750000,0.051250000,0.992408016,0.859221344
island_w10_repeat02.payload,29,5,3686,4314,0.460750000,0.039250000,0.995550300,0.890973824
island_w10_repeat02.payload,30,6,3610,4390,0.451250000,0.048750000,0.993131784,0.865779060
island_w10_repeat02.payload,31,7,3727,4273,0.465875000,0.034125000,0.996637305,0.904750683
island_w10_repeat02.payload,32,0,3637,4363,0.454625000,0.045375000,0.994051116,0.874679526
island_w10_repeat02.payload,33,1,3695,4305,0.461875000,0.038125000,0.995801967,0.893986762
island_w10_repeat02.payload,34,2,3703,4297,0.462875000,0.037125000,0.996019504,0.896670223
island_w10_repeat02.payload,35,3,3677,4323,0.459625000,0.040375000,0.995291283,0.887967164
island_w10_repeat02.payload,36,4,3666,4334,0.458250000,0.041750000,0.994964724,0.884300847
island_w10_repeat02.payload,37,5,3615,4385,0.451875000,0.048125000,0.993307035,0.867423157
island_w10_repeat02.payload,38,6,3679,4321,0.459875000,0.040125000,0.995349478,0.888634769
island_w10_repeat02.payload,39,7,3604,4396,0.450500000,0.049500000,0.992918479,0.863808614
island_w10_repeat02.payload,40,0,3744,4256,0.468000000,0.032000000,0.997043340,0.910501849
island_w10_repeat02.payload,41,1,3691,4309,0.461375000,0.038625000,0.995691022,0.892646902
island_w10_repeat02.payload,42,2,3667,4333,0.458375000,0.041625000,0.994994865,0.884633763
island_w10_repeat02.payload,43,3,3697,4303,0.462125000,0.037875000,0.995856895,0.894657160
island_w10_repeat02.payload,44,4,3639,4361,0.454875000,0.045125000,0.994116577,0.875341010
island_w10_repeat02.payload,45,5,3617,4383,0.452125000,0.047875000,0.993376498,0.868081321
island_w10_repeat02.payload,46,6,3636,4364,0.454500000,0.045500000,0.994018249,0.874348898
island_w10_repeat02.payload,47,7,3728,4272,0.466000000,0.034000000,0.996661914,0.905088353
island_w10_repeat02.payload,48,0,3661,4339,0.457625000,0.042375000,0.994812656,0.882637414
island_w10_repeat02.payload,49,1,3763,4237,0.470375000,0.029625000,0.997466181,0.916956871
island_w10_repeat02.payload,50,2,3697,4303,0.462125000,0.037875000,0.995856895,0.894657160
island_w10_repeat02.payload,51,3,3720,4280,0.465000000,0.035000000,0.996462505,0.902389203
island_w10_repeat02.payload,52,4,3677,4323,0.459625000,0.040375000,0.995291283,0.887967164
island_w10_repeat02.payload,53,5,3698,4302,0.462250000,0.037750000,0.995884223,0.894992475
island_w10_repeat02.payload,54,6,3668,4332,0.458500000,0.041500000,0.995024915,0.884966757
island_w10_repeat02.payload,55,7,3587,4413,0.448375000,0.051625000,0.992296308,0.858240253
island_w10_repeat02.payload,56,0,3637,4363,0.454625000,0.045375000,0.994051116,0.874679526
island_w10_repeat02.payload,57,1,3655,4345,0.456875000,0.043125000,0.994627178,0.880643823
island_w10_repeat02.payload,58,2,3682,4318,0.460250000,0.039750000,0.995436089,0.889636757
island_w10_repeat02.payload,59,3,3686,4314,0.460750000,0.039250000,0.995550300,0.890973824
island_w10_repeat02.payload,60,4,3688,4312,0.461000000,0.039000000,0.995606861,0.891642822
island_w10_repeat02.payload,61,5,3624,4376,0.453000000,0.047000000,0.993616753,0.870387262
island_w10_repeat02.payload,62,6,3664,4336,0.458000000,0.042000000,0.994904169,0.883635243
island_w10_repeat02.payload,63,7,3693,4307,0.461625000,0.038375000,0.995746676,0.893316676
island_w10_repeat02.payload,64,0,3639,4361,0.454875000,0.045125000,0.994116577,0.875341010
island_w10_repeat02.payload,65,1,3598,4402,0.449750000,0.050250000,0.992701895,0.861840855
island_w10_repeat02.payload,66,2,3712,4288,0.464000000,0.036000000,0.996257297,0.899695094
island_w10_repeat02.payload,67,3,3635,4365,0.454375000,0.045625000,0.993985292,0.874018346
island_w10_repeat02.payload,68,4,3623,4377,0.452875000,0.047125000,0.993582704,0.870057616
island_w10_repeat02.payload,69,5,3643,4357,0.455375000,0.044625000,0.994246409,0.876664887
island_w10_repeat02.payload,70,6,3672,4328,0.459000000,0.041000000,0.995144209,0.886299501
island_w10_repeat02.payload,71,7,3684,4316,0.460500000,0.039500000,0.995493376,0.890305135
island_w10_repeat02.payload,72,0,3740,4260,0.467500000,0.032500000,0.996950157,0.909146570
island_w10_repeat02.payload,73,1,3734,4266,0.466750000,0.033250000,0.996807666,0.907116034
island_w10_repeat02.payload,74,2,3683,4317,0.460375000,0.039625000,0.995464778,0.889970907
island_w10_repeat02.payload,75,3,3681,4319,0.460125000,0.039875000,0.995407309,0.889302683
island_w10_repeat02.payload,76,4,3694,4306,0.461750000,0.038250000,0.995774367,0.893651680
island_w10_repeat02.payload,77,5,3654,4346,0.456750000,0.043250000,0.994595947,0.880311825
island_w10_repeat02.payload,78,6,3751,4249,0.468875000,0.031125000,0.997202925,0.912876656
island_w10_repeat02.payload,79,7,3655,4345,0.456875000,0.043125000,0.994627178,0.880643823
island_w10_repeat02.payload,80,0,3716,4284,0.464500000,0.035500000,0.996360626,0.901041520
island_w10_repeat02.payload,81,1,3615,4385,0.451875000,0.048125000,0.993307035,0.867423157
island_w10_repeat02.payload,82,2,3698,4302,0.462250000,0.037750000,0.995884223,0.894992475
island_w10_repeat02.payload,83,3,3717,4283,0.464625000,0.035375000,0.996386232,0.901378323
island_w10_repeat02.payload,84,4,3718,4282,0.464750000,0.035250000,0.996411747,0.901715204
island_w10_repeat02.payload,85,5,3705,4295,0.463125000,0.036875000,0.996072981,0.897341869
island_w10_repeat02.payload,86,6,3633,4367,0.454125000,0.045875000,0.993919103,0.873357469
island_w10_repeat02.payload,87,7,3680,4320,0.460000000,0.040000000,0.995378439,0.888968688
island_w10_repeat02.payload,88,0,3666,4334,0.458250000,0.041750000,0.994964724,0.884300847
island_w10_repeat02.payload,89,1,3676,4324,0.459500000,0.040500000,0.995262050,0.887633477
island_w10_repeat02.payload,90,2,3526,4474,0.440750000,0.059250000,0.989846817,0.838434744
island_w10_repeat02.payload,91,3,3661,4339,0.457625000,0.042375000,0.994812656,0.882637414
island_w10_repeat02.payload,92,4,3710,4290,0.463750000,0.036250000,0.996205089,0.899022352
island_w10_repeat02.payload,93,5,3748,4252,0.468500000,0.031500000,0.997135075,0.911858403
island_w10_repeat02.payload,94,6,3729,4271,0.466125000,0.033875000,0.996686432,0.905426102
island_w10_repeat02.payload,95,7,3745,4255,0.468125000,0.031875000,0.997066410,0.910840868
island_w10_repeat02.payload,96,0,3687,4313,0.460875000,0.039125000,0.995578626,0.891308284
island_w10_repeat02.payload,97,1,3693,4307,0.461625000,0.038375000,0.995746676,0.893316676
island_w10_repeat02.payload,98,2,3706,4294,0.463250000,0.036750000,0.996099584,0.897677809
island_w10_repeat02.payload,99,3,3696,4304,0.462000000,0.038000000,0.995829476,0.894321922
island_w10_repeat02.payload,100,4,3700,4300,0.462500000,0.037500000,0.995938608,0.895663340
island_w10_repeat02.payload,101,5,3732,4268,0.466500000,0.033500000,0.996759444,0.906439824
