label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
island_w10_repeat02.payload,0,0,16000,7362,8638,0.460125000,0.039875000,0.995407309,0.889302683
island_w10_repeat02.payload,0,1,16000,7298,8702,0.456125000,0.043875000,0.994438429,0.878652983
island_w10_repeat02.payload,0,2,16000,7379,8621,0.461187500,0.038812500,0.995649043,0.892144774
island_w10_repeat02.payload,0,3,16000,7422,8578,0.463875000,0.036125000,0.996231238,0.899358684
island_w10_repeat02.payload,0,4,16000,7219,8781,0.451187500,0.048812500,0.993114134,0.865614754
island_w10_repeat02.payload,0,5,16000,7485,8515,0.467812500,0.032187500,0.997008566,0.909993470
island_w10_repeat02.payload,0,6,16000,7403,8597,0.462687500,0.037312500,0.995979158,0.896166694
island_w10_repeat02.payload,0,7,16000,7400,8600,0.462500000,0.037500000,0.995938608,0.895663340
island_w10_repeat02.payload,1,0,16000,7224,8776,0.451500000,0.048500000,0.993202158,0.866436474
island_w10_repeat02.payload,1,1,16000,7428,8572,0.464250000,0.035750000,0.996309143,0.900368150
island_w10_repeat02.payload,1,2,16000,7292,8708,0.455750000,0.044250000,0.994342828,0.877658592
island_w10_repeat02.payload,1,3,16000,7348,8652,0.459250000,0.040750000,0.995203311,0.886966335
island_w10_repeat02.payload,1,4,16000,7326,8674,0.457875000,0.042125000,0.994873756,0.883302557
island_w10_repeat02.payload,1,5,16000,7457,8543,0.466062500,0.033937500,0.996674184,0.905257218
island_w10_repeat02.payload,1,6,16000,7396,8604,0.462250000,0.037750000,0.995884223,0.894992475
island_w10_repeat02.payload,1,7,16000,7276,8724,0.454750000,0.045250000,0.994083892,0.875010230
island_w10_repeat02.payload,2,0,16000,7265,8735,0.454062500,0.045937500,0.993902499,0.873192297
island_w10_repeat02.payload,2,1,16000,7421,8579,0.463812500,0.036187500,0.996218175,0.899190508
island_w10_repeat02.payload,2,2,16000,7461,8539,0.466312500,0.033687500,0.996723040,0.905932874
island_w10_repeat02.payload,2,3,16000,7259,8741,0.453687500,0.046312500,0.993802398,0.872201662
island_w10_repeat02.payload,2,4,16000,7231,8769,0.451937500,0.048062500,0.993324435,0.867587670
island_w10_repeat02.payload,2,5,16000,7319,8681,0.457437500,0.042562500,0.994766593,0.882138758
island_w10_repeat02.payload,2,6,16000,7382,8618,0.461375000,0.038625000,0.995691022,0.892646902
island_w10_repeat02.payload,2,7,16000,7345,8655,0.459062500,0.040937500,0.995159019,0.886466180
island_w10_repeat02.payload,3,0,16000,7348,8652,0.459250000,0.040750000,0.995203311,0.886966335
island_w10_repeat02.payload,3,1,16000,7312,8688,0.457000000,0.043000000,0.994658318,0.880975897
island_w10_repeat02.payload,3,2,16000,7394,8606,0.462125000,0.037875000,0.995856895,0.894657160
island_w10_repeat02.payload,3,3,16000,7323,8677,0.457687500,0.042312500,0.994827965,0.882803671
island_w10_repeat02.payload,3,4,16000,7300,8700,0.456250000,0.043750000,0.994470114,0.878984599
island_w10_repeat02.payload,3,5,16000,7303,8697,0.456437500,0.043562500,0.994517472,0.879482166
island_w10_repeat02.payload,3,6,16000,7415,8585,0.463437500,0.036562500,0.996139318,0.898181866
island_w10_repeat02.payload,3,7,16000,7375,8625,0.460937500,0.039062500,0.995592754,0.891475543
island_w10_repeat02.payload,4,0,16000,7308,8692,0.456750000,0.043250000,0.994595947,0.880311825
island_w10_repeat02.payload,4,1,16000,7235,8765,0.452187500,0.047812500,0.993393807,0.868245909
island_w10_repeat02.payload,4,2,16000,7269,8731,0.454312500,0.045687500,0.993968779,0.873853098
island_w10_repeat02.payload,4,3,16000,7338,8662,0.458625000,0.041375000,0.995054875,0.885299828
island_w10_repeat02.payload,4,4,16000,7387,8613,0.461687500,0.038312500,0.995760533,0.893484169
island_w10_repeat02.payload,4,5,16000,7352,8648,0.459500000,0.040500000,0.995262050,0.887633477
island_w10_repeat02.payload,4,6,16000,7299,8701,0.456187500,0.043812500,0.994454283,0.878818782
island_w10_repeat02.payload,4,7,16000,7396,8604,0.462250000,0.037750000,0.995884223,0.894992475
island_w10_repeat02.payload,5,0,15000,6812,8188,0.454133333,0.045866667,0.993921315,0.873379493
island_w10_repeat02.payload,5,1,15000,6860,8140,0.457333333,0.042666667,0.994740914,0.881861801
island_w10_repeat02.payload,5,2,15000,6712,8288,0.447466667,0.052533333,0.992022326,0.855866593
island_w10_repeat02.payload,5,3,15000,6966,8034,0.464400000,0.035600000,0.996340076,0.900772134
island_w10_repeat02.payload,5,4,15000,6871,8129,0.458066667,0.041933333,0.994920353,0.883812707
island_w10_repeat02.payload,5,5,15000,6896,8104,0.459733333,0.040266667,0.995316545,0.888256421
island_w10_repeat02.payload,5,6,15000,6886,8114,0.459066667,0.040933333,0.995160005,0.886477293
island_w10_repeat02.payload,5,7,15000,7013,7987,0.467533333,0.032466667,0.996956414,0.909236882
island_w10_repeat02.payload,6,0,15000,6855,8145,0.457000000,0.043000000,0.994658318,0.880975897
island_w10_repeat02.payload,6,1,15000,6911,8089,0.460733333,0.039266667,0.995546516,0.890929235
island_w10_repeat02.payload,6,2,15000,6957,8043,0.463800000,0.036200000,0.996215559,0.899156876
island_w10_repeat02.payload,6,3,15000,6710,8290,0.447333333,0.052666667,0.991981703,0.855518494
island_w10_repeat02.payload,6,4,15000,6874,8126,0.458266667,0.041733333,0.994968748,0.884345231
island_w10_repeat02.payload,6,5,15000,6875,8125,0.458333333,0.041666667,0.994984828,0.884522783
island_w10_repeat02.payload,6,6,15000,6826,8174,0.455066667,0.044933333,0.994166518,0.875848352
island_w10_repeat02.payload,6,7,15000,6920,8080,0.461333333,0.038666667,0.995681711,0.892535303
island_w10_repeat02.payload,7,0,15000,6896,8104,0.459733333,0.040266667,0.995316545,0.888256421
island_w10_repeat02.payload,7,1,15000,6872,8128,0.458133333,0.041866667,0.994936510,0.883990193
island_w10_repeat02.payload,7,2,15000,6975,8025,0.465000000,0.035000000,0.996462505,0.902389203
island_w10_repeat02.payload,7,3,15000,6982,8018,0.465466667,0.034533333,0.996556284,0.903648178
