label,byte_index,byte_phase_mod8,bit_index,ones,zeros,p1,abs_bias,x,entropy,min_entropy
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,0,482,518,0.482000000,0.018000000,518,0.999064932,0.948975997
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,1,474,526,0.474000000,0.026000000,526,0.998048596,0.926865295
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,2,482,518,0.482000000,0.018000000,518,0.999064932,0.948975997
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,3,500,500,0.500000000,0.000000000,500,1.000000000,1.000000000
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,4,413,587,0.413000000,0.087000000,587,0.978048924,0.768567592
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,5,446,554,0.446000000,0.054000000,554,0.991569769,0.852042119
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,6,448,552,0.448000000,0.052000000,552,0.992183779,0.857259828
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,7,476,524,0.476000000,0.024000000,524,0.998337377,0.932361283
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,0,459,541,0.459000000,0.041000000,541,0.995144209,0.886299501
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,1,457,543,0.457000000,0.043000000,543,0.994658318,0.880975897
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,2,444,556,0.444000000,0.056000000,556,0.990932404,0.846843212
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,3,419,581,0.419000000,0.081000000,581,0.980985270,0.783389931
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,4,428,572,0.428000000,0.072000000,572,0.984990010,0.805912948
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,5,480,520,0.480000000,0.020000000,520,0.998845536,0.943416472
