label,byte_phase_mod8,bit_index,samples,ones,zeros,p1,abs_bias,entropy,min_entropy
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,0,16000,7332,8668,0.458250000,0.041750000,0.994964724,0.884300847
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,1,16000,7365,8635,0.460312500,0.039687500,0.995450444,0.889803822
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,2,16000,7315,8685,0.457187500,0.042812500,0.994704858,0.881474151
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,3,16000,7319,8681,0.457437500,0.042562500,0.994766593,0.882138758
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,4,16000,7262,8738,0.453875000,0.046125000,0.993852551,0.872696894
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,5,16000,7345,8655,0.459062500,0.040937500,0.995159019,0.886466180
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,6,16000,7327,8673,0.457937500,0.042062500,0.994888974,0.883468890
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,0,7,16000,7392,8608,0.462000000,0.038000000,0.995829476,0.894321922
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,0,16000,7315,8685,0.457187500,0.042812500,0.994704858,0.881474151
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,1,16000,7378,8622,0.461125000,0.038875000,0.995635005,0.891977437
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,2,16000,7445,8555,0.465312500,0.034687500,0.996525443,0.903232145
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,3,16000,7237,8763,0.452312500,0.047687500,0.993428357,0.868575141
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,4,16000,7375,8625,0.460937500,0.039062500,0.995592754,0.891475543
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,5,16000,7369,8631,0.460562500,0.039437500,0.995507641,0.890472278
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,6,16000,7355,8645,0.459687500,0.040312500,0.995305866,0.888134036
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,1,7,16000,7240,8760,0.452500000,0.047500000,0.993480011,0.869069130
restart_random1_sampler_island_local_warmup10_1000x125_strict_repeat03_20260526.payload,2,0,16000,7262,8738,0.453875000,0.046125000,0.993852551,0.872696894
