placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata,paper_use
checker,0,placement01,lsb,failed,0.865884,618,681,,,,0.497969,0,1,0,681,15,8,z7020_b01,ok,45.6,45.5,-0.1,checker_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup0_placement01_lsb_20260515\checker_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_checker_formal_bits_warmup0_placement01\summary.json,497.969,15.45988483139509,319,681,0.319000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.bin,2D865118220DD94E72EB8FC5E60F8115C9AB86A74F3C695EEC21F1370327A4AB,1.000,1.796,1.000,2026-05-22 09:42:09,2026-05-22 09:45:38,2D865118220DD94E72EB8FC5E60F8115C9AB86A74F3C695EEC21F1370327A4AB,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.metadata.json,candidate
checker,0,placement01,msb,failed,0.863144,619,681,,,,0.497969,0,1,0,681,15,8,z7020_b01,ok,45.6,45.5,-0.1,checker_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup0_placement01_msb_20260515\checker_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_checker_formal_bits_warmup0_placement01\summary.json,497.969,15.45988483139509,319,681,0.319000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.bin,2D865118220DD94E72EB8FC5E60F8115C9AB86A74F3C695EEC21F1370327A4AB,1.000,1.796,1.000,2026-05-22 09:42:09,2026-05-22 09:45:38,2D865118220DD94E72EB8FC5E60F8115C9AB86A74F3C695EEC21F1370327A4AB,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.metadata.json,candidate
checker,12,placement01,lsb,passed,0.865884,618,568,0.797739,0.810692,0.797739,0.479638,0,10,0,568,87,80,z7020_b01,ok,45.8,45.5,-0.3,checker_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup12_placement01_lsb_20260515\checker_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_checker_formal_bits_warmup12_placement01\summary.json,479.638,16.391246322351453,432,568,0.432000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.bin,FC6CDC1C571C9BF53642F94BA35C6DE077F1AA68C92B4364A654EC56AF61D01E,1.000,1.796,1.000,2026-05-22 09:49:24,2026-05-22 09:53:00,FC6CDC1C571C9BF53642F94BA35C6DE077F1AA68C92B4364A654EC56AF61D01E,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.metadata.json,candidate
checker,12,placement01,msb,passed,0.863144,619,568,0.828424,0.810255,0.810255,0.479638,0,10,0,568,87,80,z7020_b01,ok,45.8,45.5,-0.3,checker_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup12_placement01_msb_20260515\checker_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_checker_formal_bits_warmup12_placement01\summary.json,479.638,16.391246322351453,432,568,0.432000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.bin,FC6CDC1C571C9BF53642F94BA35C6DE077F1AA68C92B4364A654EC56AF61D01E,1.000,1.796,1.000,2026-05-22 09:49:24,2026-05-22 09:53:00,FC6CDC1C571C9BF53642F94BA35C6DE077F1AA68C92B4364A654EC56AF61D01E,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\checker_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.metadata.json,candidate
compact,0,placement01,lsb,failed,0.834591,629,713,,,,0.500212,0,1,5,713,10,13,z7020_b01,ok,45.6,45.6,0,compact_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup0_placement01_lsb_20260515\compact_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_compact_formal_bits_warmup0_placement01\summary.json,500.212,16.37391388764458,287,713,0.287000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.bin,BE0430D93FEEF6846AE2FE0E177DAB3E705EB7CAEC7C68C5E49332FC7D3161C7,1.000,1.796,1.000,2026-05-22 09:27:19,2026-05-22 09:30:53,BE0430D93FEEF6846AE2FE0E177DAB3E705EB7CAEC7C68C5E49332FC7D3161C7,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.metadata.json,candidate
compact,0,placement01,msb,failed,0.872029,616,713,,,,0.500212,0,1,5,713,10,13,z7020_b01,ok,45.6,45.6,0,compact_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup0_placement01_msb_20260515\compact_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_compact_formal_bits_warmup0_placement01\summary.json,500.212,16.37391388764458,287,713,0.287000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.bin,BE0430D93FEEF6846AE2FE0E177DAB3E705EB7CAEC7C68C5E49332FC7D3161C7,1.000,1.796,1.000,2026-05-22 09:27:19,2026-05-22 09:30:53,BE0430D93FEEF6846AE2FE0E177DAB3E705EB7CAEC7C68C5E49332FC7D3161C7,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_placement01_20260515.metadata.json,candidate
compact,12,placement01,lsb,passed,0.834591,629,563,0.862253,0.849995,0.834591,0.498052,0,60,5,549,482,485,z7020_b01,ok,45.5,45.6,0.1,compact_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup12_placement01_lsb_20260515\compact_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_compact_formal_bits_warmup12_placement01\summary.json,498.052,16.010224732963618,451,549,0.451000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.bin,7F001FB91081C027765882F04E8F03B32796905680948C87D1B3935072004EF3,1.000,1.795,1.000,2026-05-22 09:34:43,2026-05-22 09:38:18,7F001FB91081C027765882F04E8F03B32796905680948C87D1B3935072004EF3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.metadata.json,candidate
compact,12,placement01,msb,passed,0.872029,616,563,0.823763,0.863727,0.823763,0.498052,0,60,5,549,482,485,z7020_b01,ok,45.5,45.6,0.1,compact_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup12_placement01_msb_20260515\compact_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_compact_formal_bits_warmup12_placement01\summary.json,498.052,16.010224732963618,451,549,0.451000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.bin,7F001FB91081C027765882F04E8F03B32796905680948C87D1B3935072004EF3,1.000,1.795,1.000,2026-05-22 09:34:43,2026-05-22 09:38:18,7F001FB91081C027765882F04E8F03B32796905680948C87D1B3935072004EF3,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\compact_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_placement01_20260515.metadata.json,candidate
random1,8,contrast01_20260522,lsb,passed,0.383737,824,592,0.709738,0.699426,0.383737,0.454532,0,86,7,592,688,695,z7020_b01,ok,,43.4,,random1_warmup8_contrast01_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup8_contrast01_20260522_lsb_20260515\random1_warmup8_contrast01_20260522_lsb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup8_contrast01_20260522\summary.json,454.532,15.638381501932992,408,592,0.408000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_contrast01_20260522_20260515.bin,D0DCB9F0A78C76F0902090776BEB1111DB8CC562EE7513954A46BF490619CC45,1.000,1.796,1.000,2026-05-22 08:05:29,2026-05-22 08:09:33,D0DCB9F0A78C76F0902090776BEB1111DB8CC562EE7513954A46BF490619CC45,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
random1,8,contrast01_20260522,msb,passed,0.385385,822,592,0.689926,0.705711,0.385385,0.454532,0,86,7,592,688,695,z7020_b01,ok,,43.4,,random1_warmup8_contrast01_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup8_contrast01_20260522_msb_20260515\random1_warmup8_contrast01_20260522_msb_20260515.ea_restart.stdout.txt,E:\Project\MLDSA\RO_TRNG\data\experiments\paper_artifacts_20260515\restart_column_bias_random1_formal_bits_warmup8_contrast01_20260522\summary.json,454.532,15.638381501932992,408,592,0.408000000,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_contrast01_20260522_20260515.bin,D0DCB9F0A78C76F0902090776BEB1111DB8CC562EE7513954A46BF490619CC45,1.000,1.796,1.000,2026-05-22 08:05:29,2026-05-22 08:09:33,D0DCB9F0A78C76F0902090776BEB1111DB8CC562EE7513954A46BF490619CC45,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\random1_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_contrast01_20260522_20260515.metadata.json,candidate
