placement,warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,h_r,h_c,min_h,overall_p1,positions_over_x_cutoff,worst_byte_index,worst_bit_index,worst_x,worst_msb_expanded_column,worst_lsb_expanded_column,board_id,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_temperature_delta_c,ea_run,ea_stdout,column_summary,paper_use,row_ones_mean,row_ones_std,worst_ones,worst_zeros,worst_p1,restart_input_file,restart_input_sha256,xadc_after_vccint_v,xadc_after_vccaux_v,xadc_after_vccbram_v,capture_start_time,capture_end_time,capture_output_sha256,capture_metadata
checker,0,placement01,lsb,failed,0.865884,618,681,,,,,,,,,,,,,,,,checker_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup0_placement01_lsb_20260515\checker_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
checker,0,placement01,msb,failed,0.863144,619,681,,,,,,,,,,,,,,,,checker_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup0_placement01_msb_20260515\checker_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
checker,12,placement01,lsb,passed,0.865884,618,568,0.797739,0.810692,0.797739,,,,,,,,,,,,,checker_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup12_placement01_lsb_20260515\checker_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
checker,12,placement01,msb,passed,0.863144,619,568,0.828424,0.810255,0.810255,,,,,,,,,,,,,checker_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_checker_warmup12_placement01_msb_20260515\checker_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
compact,0,placement01,lsb,failed,0.834591,629,713,,,,,,,,,,,,,,,,compact_warmup0_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup0_placement01_lsb_20260515\compact_warmup0_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
compact,0,placement01,msb,failed,0.872029,616,713,,,,,,,,,,,,,,,,compact_warmup0_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup0_placement01_msb_20260515\compact_warmup0_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
compact,12,placement01,lsb,passed,0.834591,629,563,0.862253,0.849995,0.834591,,,,,,,,,,,,,compact_warmup12_placement01_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup12_placement01_lsb_20260515\compact_warmup12_placement01_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
compact,12,placement01,msb,passed,0.872029,616,563,0.823763,0.863727,0.823763,,,,,,,,,,,,,compact_warmup12_placement01_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_compact_warmup12_placement01_msb_20260515\compact_warmup12_placement01_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random1,8,contrast01_20260522,lsb,passed,0.383737,824,592,0.709738,0.699426,0.383737,,,,,,,,,,,,,random1_warmup8_contrast01_20260522_lsb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup8_contrast01_20260522_lsb_20260515\random1_warmup8_contrast01_20260522_lsb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
random1,8,contrast01_20260522,msb,passed,0.385385,822,592,0.689926,0.705711,0.385385,,,,,,,,,,,,,random1_warmup8_contrast01_20260522_msb_20260515,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\restart\ea_restart_random1_warmup8_contrast01_20260522_msb_20260515\random1_warmup8_contrast01_20260522_msb_20260515.ea_restart.stdout.txt,,candidate,,,,,,,,,,,,,,
