label,family,warmup,overall_p1,worst_byte,worst_bit_lsb_index,worst_x,worst_p1,msb_column,lsb_column,byte_reverse_msb_column,row_ones_std,hotspot_class,early_byte
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run01_20260524,random1_sampler_regs_only,0,0.499146,1,6,756,0.756,9,14,985,16.38373229761766,severe,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup0_header_delay60s_run02_20260524,random1_sampler_regs_only,0,0.498425,1,7,802,0.802,8,15,984,16.084289695227454,severe,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_passband01_20260524,random1_sampler_regs_only,10,0.499174,115,3,565,0.435,924,923,76,16.268673086641087,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260524,random1_sampler_regs_only,10,0.500018,14,1,547,0.453,118,113,886,15.953108662577336,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_edge01_20260524,random1_sampler_regs_only,11,0.55921,81,4,613,0.613,651,652,347,32.52029981411611,strong,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260524,random1_sampler_regs_only,11,0.558805,57,2,618,0.618,461,458,541,32.88894913188928,strong,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run01_20260524,random1_sampler_regs_only,12,0.452171,2,7,609,0.391,16,23,976,15.544508966191245,strong,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_run02_20260524,random1_sampler_regs_only,12,0.453785,6,1,601,0.399,54,49,950,16.729099647022252,strong,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_sweep01_20260524,random1_sampler_regs_only,16,0.466933,60,3,586,0.414,484,483,516,15.666221975958338,moderate,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,random1_sampler_regs_only,4,0.407103,0,2,733,0.267,5,2,997,17.10135640819172,severe,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_sweep01_20260524,random1_sampler_regs_only,4,0.40797,1,6,751,0.249,9,14,985,16.70865344664255,severe,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_edge01_20260524,random1_sampler_regs_only,5,0.497894,111,2,558,0.442,893,890,109,16.020822825310816,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup5_header_delay60s_repeat02_20260524,random1_sampler_regs_only,5,0.498602,104,4,561,0.561,835,836,163,15.916456766504284,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_passband01_20260524,random1_sampler_regs_only,6,0.49628,24,4,551,0.449,195,196,803,16.491197652080942,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup6_header_delay60s_repeat02_20260524,random1_sampler_regs_only,6,0.497339,108,7,554,0.446,864,871,128,15.679479551311644,weak,0
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_repeat02_20260524,random1_sampler_regs_only,8,0.484294,0,3,558,0.442,4,3,996,16.320219483818224,early_position_weak,1
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_sweep01_20260524,random1_sampler_regs_only,8,0.482728,83,0,564,0.436,671,664,335,15.795569505402456,weak,0
random3_restart_auto_formal_bits_1000x125_header_delay60s_20260515,random3_formal,0,0.497933,0,0,685,0.315,7,0,999,15.136330830158279,severe,1
random3_restart_auto_formal_bits_1000x125_header_delay60s_repeat02_20260515,random3_formal,0,0.497787,2,7,680,0.68,16,23,976,15.383485658328544,severe,1
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_20260515,random3_formal,10,0.415017,1,4,650,0.35,11,12,987,15.497442079259404,severe,1
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat02_20260515,random3_formal,10,0.415849,6,0,633,0.367,55,48,951,16.044132852853096,strong,1
random3_restart_auto_formal_bits_1000x125_warmup10_header_delay60s_repeat03_20260522_20260515,random3_formal,10,0.414384,1,6,631,0.369,9,14,985,15.996266564420587,strong,1
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_20260515,random3_formal,11,0.469088,1,3,583,0.417,12,11,988,15.564069390747395,moderate,1
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat02_20260515,random3_formal,11,0.469261,68,3,588,0.412,548,547,452,15.591243664313634,moderate,0
random3_restart_auto_formal_bits_1000x125_warmup11_header_delay60s_repeat03_20260522_20260515,random3_formal,11,0.46769,0,5,595,0.405,2,5,994,15.068042341326228,moderate,1
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_20260515,random3_formal,12,0.499478,88,3,562,0.562,708,707,292,16.205292839069585,weak,0
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat02_20260515,random3_formal,12,0.499506,118,1,549,0.451,950,945,54,15.518826115399323,weak,0
random3_restart_auto_formal_bits_1000x125_warmup12_header_delay60s_repeat03_20260522_20260515,random3_formal,12,0.499348,35,0,550,0.45,287,280,719,16.207309955695916,weak,0
random3_restart_auto_formal_bits_1000x125_warmup16_header_delay60s_20260515,random3_formal,16,0.499126,43,7,547,0.547,344,351,648,15.35187688851106,weak,0
random3_restart_auto_formal_bits_1000x125_warmup8_header_delay60s_20260515,random3_formal,8,0.374385,2,2,721,0.279,21,18,981,15.524843799536278,severe,1
restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525,random1_reverse_repair_sample_ro_compact,4,0.499754,109,4,552,0.448,875,876,123,16.111222299999465,weak,0
