family,family_id,mode,mode_id,target_index,target_name,window_cycles,window_ns,samples,freq_mean_mhz,freq_std_mhz,freq_std_ppm,freq_min_mhz,freq_max_mhz
random1,1,all_on,0,0,data0,100,500.0,20415,413.9182953710507,0.6765435772070589,1634.4858025678277,412.0,416.0
random1,1,all_on,0,1,data1,100,500.0,20417,412.9739922613508,0.9998821906206556,2421.1747213075823,412.0,416.0
random1,1,all_on,0,2,data2,100,500.0,20412,454.8121693121693,1.2598318865955231,2770.004787912376,452.0,458.0
random1,1,all_on,0,3,data3,100,500.0,20415,433.6559392603478,0.9230010285110466,2128.4178191709666,432.0,440.0
random1,1,all_on,0,4,data4,100,500.0,20420,456.7197845249755,0.9777536031250468,2140.8172718902188,452.0,458.0
random1,1,all_on,0,5,data5,100,500.0,20415,457.1792309576292,0.989392004195428,2164.1228148597233,452.0,464.0
random1,1,all_on,0,6,data6,100,500.0,20408,403.26156409251274,1.6151475068296102,4005.2106390657086,402.0,408.0
random1,1,all_on,0,7,data7,100,500.0,20420,446.3046033300686,1.0436707364163713,2338.4718163987104,444.0,448.0
random1,1,all_on,0,8,sample,100,500.0,20417,89.98873487779791,1.6704578764932092,18562.966561999594,88.0,92.0
random1,1,single_on,1,0,data0,100,500.0,20417,413.96414752412204,0.6992269293787838,1689.1002120854905,412.0,416.0
random1,1,single_on,1,1,data1,100,500.0,20412,413.10728982951207,0.9942521419174034,2406.7649407197046,412.0,414.0
random1,1,single_on,1,2,data2,100,500.0,20414,454.9915744097188,1.266144955746579,2782.7876975286986,452.0,458.0
random1,1,single_on,1,3,data3,100,500.0,20414,433.8736161457823,0.989879955236285,2281.4937769889275,432.0,440.0
random1,1,single_on,1,4,data4,100,500.0,20411,457.0282690705992,1.0025613631749057,2193.652846056303,452.0,464.0
random1,1,single_on,1,5,data5,100,500.0,20415,457.41866274797945,0.9320157457359753,2037.5551363313766,456.0,464.0
random1,1,single_on,1,6,data6,100,500.0,20420,403.4350636630754,1.5467460843955378,3833.9406355796746,392.0,408.0
random1,1,single_on,1,7,data7,100,500.0,20412,446.41916519694297,1.1406763990478888,2555.1689711723425,444.0,448.0
random1,1,single_on,1,8,sample,100,500.0,20410,89.62420382165605,1.5476118127934235,17267.788686558702,88.0,92.0
