family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.77751081210954,457.2657376261413,0.48822681403174784,2048.2283464565576
random1,all_on,0,data0,1,data1,data_data,413.9990389235944,413.05814512253727,0.9408938010571433,1062.8192032686875
random1,all_on,2,data2,4,data4,data_data,454.85920230658337,456.77751081210954,1.91830850552617,521.292585170346
random1,all_on,2,data2,5,data5,data_data,454.85920230658337,457.2657376261413,2.4065353195579178,415.5351437699658
random1,all_on,2,data2,7,data7,data_data,454.85920230658337,446.41153846153844,8.447663845044929,118.37592242576758
random1,all_on,1,data1,6,data6,data_data,413.05814512253727,403.3185968284479,9.739548294089388,102.67416617327798
random1,all_on,4,data4,7,data7,data_data,456.77751081210954,446.41153846153844,10.365972350571099,96.46948363169292
random1,all_on,0,data0,6,data6,data_data,413.9990389235944,403.3185968284479,10.680442095146532,93.62908305588078
random1,all_on,5,data5,7,data7,data_data,457.2657376261413,446.41153846153844,10.854199164602846,92.13024239145605
random1,all_on,3,data3,7,data7,data_data,433.6713118692936,446.41153846153844,12.740226592244824,78.49153959386528
random1,all_on,0,data0,3,data3,data_data,413.9990389235944,433.6713118692936,19.672272945699206,50.83296692559475
random1,all_on,1,data1,3,data3,data_data,413.05814512253727,433.6713118692936,20.61316674675635,48.512681835136185
random1,all_on,2,data2,3,data3,data_data,454.85920230658337,433.6713118692936,21.187890437289752,47.19677038918628
random1,all_on,3,data3,4,data4,data_data,433.6713118692936,456.77751081210954,23.106198942815922,43.278429415190146
random1,all_on,3,data3,5,data5,data_data,433.6713118692936,457.2657376261413,23.59442575684767,42.382892057026474
random1,all_on,3,data3,6,data6,data_data,433.6713118692936,403.3185968284479,30.352715040845737,32.945981888417464
random1,all_on,0,data0,7,data7,data_data,413.9990389235944,446.41153846153844,32.41249953794403,30.852295079228295
random1,all_on,1,data1,7,data7,data_data,413.05814512253727,446.41153846153844,33.35339333900117,29.981956853267715
random1,all_on,0,data0,2,data2,data_data,413.9990389235944,454.85920230658337,40.86016338298896,24.473715159355514
random1,all_on,1,data1,2,data2,data_data,413.05814512253727,454.85920230658337,41.8010571840461,23.922839931944655
random1,all_on,0,data0,4,data4,data_data,413.9990389235944,456.77751081210954,42.77847188851513,23.376244074498445
random1,all_on,6,data6,7,data7,data_data,403.3185968284479,446.41153846153844,43.09294163309056,23.205656474194182
random1,all_on,0,data0,5,data5,data_data,413.9990389235944,457.2657376261413,43.266698702546876,23.112463626468813
random1,all_on,1,data1,4,data4,data_data,413.05814512253727,456.77751081210954,43.71936568957227,22.873158936029924
random1,all_on,1,data1,5,data5,data_data,413.05814512253727,457.2657376261413,44.20759250360402,22.620548719509554
random1,all_on,2,data2,6,data6,data_data,454.85920230658337,403.3185968284479,51.54060547813549,19.402177966733802
random1,all_on,4,data4,6,data6,data_data,456.77751081210954,403.3185968284479,53.45891398366166,18.70595426434634
random1,all_on,5,data5,6,data6,data_data,457.2657376261413,403.3185968284479,53.94714079769341,18.536663578707337
random1,all_on,6,data6,8,sample,data_sample,403.3185968284479,89.92211538461538,313.3964814438325,3.190846289635903
random1,all_on,1,data1,8,sample,data_sample,413.05814512253727,89.92211538461538,323.1360297379219,3.0946719275193355
random1,all_on,0,data0,8,sample,data_sample,413.9990389235944,89.92211538461538,324.07692353897903,3.085687154394759
random1,all_on,3,data3,8,sample,data_sample,433.6713118692936,89.92211538461538,343.74919648467824,2.909097709104238
random1,all_on,7,data7,8,sample,data_sample,446.41153846153844,89.92211538461538,356.48942307692306,2.8051323132361787
random1,all_on,2,data2,8,sample,data_sample,454.85920230658337,89.92211538461538,364.937086921968,2.7401983405808883
random1,all_on,4,data4,8,sample,data_sample,456.77751081210954,89.92211538461538,366.85539542749416,2.7258696817984824
random1,all_on,5,data5,8,sample,data_sample,457.2657376261413,89.92211538461538,367.3436222415259,2.7222467995987336
