family,family_id,mode,mode_id,target_index,target_name,window_cycles,window_ns,samples,freq_mean_mhz,freq_std_mhz,freq_std_ppm,freq_min_mhz,freq_max_mhz
random1,1,all_on,0,0,data0,100,500.0,8320,413.93052884615383,0.6719211434154584,1623.270323376395,412.0,416.0
random1,1,all_on,0,1,data1,100,500.0,8320,412.95144230769233,0.9988804101812863,2418.881030174524,412.0,414.0
random1,1,all_on,0,2,data2,100,500.0,8320,454.78197115384614,1.2460537864939976,2739.892664022241,452.0,456.0
random1,1,all_on,0,3,data3,100,500.0,8320,433.60649038461537,0.9408296435737146,2169.7775850614803,432.0,440.0
random1,1,all_on,0,4,data4,100,500.0,8323,456.761504265289,0.9839853173977912,2154.264989954776,452.0,458.0
random1,1,all_on,0,5,data5,100,500.0,8318,457.2276989660976,0.9889821165288523,2162.9969460843686,456.0,464.0
random1,1,all_on,0,6,data6,100,500.0,8316,403.2029822029822,1.6350551724272375,4055.166366810529,402.0,408.0
random1,1,all_on,0,7,data7,100,500.0,8319,446.3209520375045,1.0550521957862982,2363.886774685052,444.0,448.0
random1,1,all_on,0,8,sample,100,500.0,8320,89.99615384615385,1.6662174027161603,18514.317907013192,88.0,92.0
random1,1,single_on,1,0,data0,100,500.0,8317,413.9879764338103,0.7213168075918551,1742.361731868272,412.0,416.0
random1,1,single_on,1,1,data1,100,500.0,8317,413.10183960562705,0.9953440102081671,2409.4397913075986,412.0,416.0
random1,1,single_on,1,2,data2,100,500.0,8320,454.98485576923076,1.2739869122535088,2800.0644331328635,452.0,458.0
random1,1,single_on,1,3,data3,100,500.0,8320,433.83125,0.9920391745112063,2286.6936729689396,432.0,440.0
random1,1,single_on,1,4,data4,100,500.0,8319,457.0770525303522,0.9970869646168907,2181.441748381536,456.0,458.0
random1,1,single_on,1,5,data5,100,500.0,8322,457.436193222783,0.9360400446477728,2046.2745591971502,456.0,464.0
random1,1,single_on,1,6,data6,100,500.0,8321,403.37483475543803,1.5971688593003677,3959.5153730120883,392.0,408.0
random1,1,single_on,1,7,data7,100,500.0,8321,446.469895445259,1.1605861421686523,2599.47233622821,444.0,448.0
random1,1,single_on,1,8,sample,100,500.0,8317,89.68522303715282,1.5434976612275046,17210.1669478828,88.0,92.0
random3,3,all_on,0,0,data0,100,500.0,8322,460.8060562364816,0.9879075841119873,2143.8684903155913,456.0,462.0
random3,3,all_on,0,1,data1,100,500.0,8322,448.92309540975725,0.9985436494268431,2224.3089287162124,444.0,450.0
random3,3,all_on,0,2,data2,100,500.0,8322,412.4854602259072,0.8948262060925887,2169.3521163206974,408.0,414.0
random3,3,all_on,0,3,data3,100,500.0,8322,439.5330449411199,1.0098310551313552,2297.508837513304,436.0,442.0
random3,3,all_on,0,4,data4,100,500.0,8322,396.30593607305934,0.8050649929231136,2031.4229983542289,392.0,398.0
random3,3,all_on,0,5,data5,100,500.0,8322,437.20644075943284,0.9794999309878688,2240.3602501520004,436.0,440.0
random3,3,all_on,0,6,data6,100,500.0,8322,457.72843066570533,0.7634743468481245,1667.9635690047749,456.0,460.0
random3,3,all_on,0,7,data7,100,500.0,8322,440.20644075943284,0.8537675170182683,1939.4707527344908,436.0,442.0
random3,3,all_on,0,8,sample,100,500.0,8322,91.7349194905071,1.3276583329183411,14472.769369528141,90.0,94.0
random3,3,single_on,1,0,data0,100,500.0,8322,461.11631819274214,0.9932716798053447,2154.058836387063,460.0,462.0
random3,3,single_on,1,1,data1,100,500.0,8322,449.1321797644797,1.0556332346735673,2350.384323891311,416.0,452.0
random3,3,single_on,1,2,data2,100,500.0,8322,412.7281903388608,0.9634073141650991,2334.241606743935,410.0,414.0
random3,3,single_on,1,3,data3,100,500.0,8322,439.7654409997597,0.9398532968653972,2137.1695209353907,436.0,442.0
random3,3,single_on,1,4,data4,100,500.0,8322,396.4852198990627,0.8909189502095084,2247.0420219858856,392.0,398.0
random3,3,single_on,1,5,data5,100,500.0,8322,437.31939437635185,0.9486927829141638,2169.336176519375,436.0,440.0
random3,3,single_on,1,6,data6,100,500.0,8322,457.98173515981733,0.7249584022886699,1582.9417346429511,456.0,460.0
random3,3,single_on,1,7,data7,100,500.0,8322,440.3412641192021,0.8496384989115027,1929.500067660028,436.0,442.0
random3,3,single_on,1,8,sample,100,500.0,8322,91.81062244652728,1.5261822239544975,16623.155178404144,90.0,94.0
