family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.77751081210954,457.2657376261413,0.48822681403174784,2048.2283464565576
random1,all_on,0,data0,1,data1,data_data,413.9990389235944,413.05814512253727,0.9408938010571433,1062.8192032686875
random1,all_on,2,data2,4,data4,data_data,454.85920230658337,456.77751081210954,1.91830850552617,521.292585170346
random1,all_on,2,data2,5,data5,data_data,454.85920230658337,457.2657376261413,2.4065353195579178,415.5351437699658
random1,all_on,2,data2,7,data7,data_data,454.85920230658337,446.41153846153844,8.447663845044929,118.37592242576758
random1,all_on,1,data1,6,data6,data_data,413.05814512253727,403.3185968284479,9.739548294089388,102.67416617327798
random1,all_on,4,data4,7,data7,data_data,456.77751081210954,446.41153846153844,10.365972350571099,96.46948363169292
random1,all_on,0,data0,6,data6,data_data,413.9990389235944,403.3185968284479,10.680442095146532,93.62908305588078
random1,all_on,5,data5,7,data7,data_data,457.2657376261413,446.41153846153844,10.854199164602846,92.13024239145605
random1,all_on,3,data3,7,data7,data_data,433.6713118692936,446.41153846153844,12.740226592244824,78.49153959386528
random1,all_on,0,data0,3,data3,data_data,413.9990389235944,433.6713118692936,19.672272945699206,50.83296692559475
random1,all_on,1,data1,3,data3,data_data,413.05814512253727,433.6713118692936,20.61316674675635,48.512681835136185
random1,all_on,2,data2,3,data3,data_data,454.85920230658337,433.6713118692936,21.187890437289752,47.19677038918628
random1,all_on,3,data3,4,data4,data_data,433.6713118692936,456.77751081210954,23.106198942815922,43.278429415190146
random1,all_on,3,data3,5,data5,data_data,433.6713118692936,457.2657376261413,23.59442575684767,42.382892057026474
random1,all_on,3,data3,6,data6,data_data,433.6713118692936,403.3185968284479,30.352715040845737,32.945981888417464
random1,all_on,0,data0,7,data7,data_data,413.9990389235944,446.41153846153844,32.41249953794403,30.852295079228295
random1,all_on,1,data1,7,data7,data_data,413.05814512253727,446.41153846153844,33.35339333900117,29.981956853267715
random1,all_on,0,data0,2,data2,data_data,413.9990389235944,454.85920230658337,40.86016338298896,24.473715159355514
random1,all_on,1,data1,2,data2,data_data,413.05814512253727,454.85920230658337,41.8010571840461,23.922839931944655
random1,all_on,0,data0,4,data4,data_data,413.9990389235944,456.77751081210954,42.77847188851513,23.376244074498445
random1,all_on,6,data6,7,data7,data_data,403.3185968284479,446.41153846153844,43.09294163309056,23.205656474194182
random1,all_on,0,data0,5,data5,data_data,413.9990389235944,457.2657376261413,43.266698702546876,23.112463626468813
random1,all_on,1,data1,4,data4,data_data,413.05814512253727,456.77751081210954,43.71936568957227,22.873158936029924
random1,all_on,1,data1,5,data5,data_data,413.05814512253727,457.2657376261413,44.20759250360402,22.620548719509554
random1,all_on,2,data2,6,data6,data_data,454.85920230658337,403.3185968284479,51.54060547813549,19.402177966733802
random1,all_on,4,data4,6,data6,data_data,456.77751081210954,403.3185968284479,53.45891398366166,18.70595426434634
random1,all_on,5,data5,6,data6,data_data,457.2657376261413,403.3185968284479,53.94714079769341,18.536663578707337
random1,all_on,6,data6,8,sample,data_sample,403.3185968284479,89.92211538461538,313.3964814438325,3.190846289635903
random1,all_on,1,data1,8,sample,data_sample,413.05814512253727,89.92211538461538,323.1360297379219,3.0946719275193355
random1,all_on,0,data0,8,sample,data_sample,413.9990389235944,89.92211538461538,324.07692353897903,3.085687154394759
random1,all_on,3,data3,8,sample,data_sample,433.6713118692936,89.92211538461538,343.74919648467824,2.909097709104238
random1,all_on,7,data7,8,sample,data_sample,446.41153846153844,89.92211538461538,356.48942307692306,2.8051323132361787
random1,all_on,2,data2,8,sample,data_sample,454.85920230658337,89.92211538461538,364.937086921968,2.7401983405808883
random1,all_on,4,data4,8,sample,data_sample,456.77751081210954,89.92211538461538,366.85539542749416,2.7258696817984824
random1,all_on,5,data5,8,sample,data_sample,457.2657376261413,89.92211538461538,367.3436222415259,2.7222467995987336
random3,all_on,3,data3,7,data7,data_data,439.5141895141895,440.2153846153846,0.7011951011950828,1426.136603486888
random3,all_on,3,data3,5,data5,data_data,439.5141895141895,437.2215281114849,2.2926614027046526,436.17430764974716
random3,all_on,5,data5,7,data7,data_data,437.2215281114849,440.2153846153846,2.9938565038997353,334.01734475163414
random3,all_on,0,data0,6,data6,data_data,460.87457952907255,457.76911976911975,3.1054597599527938,322.0135108159318
random3,all_on,1,data1,7,data7,data_data,448.9673076923077,440.2153846153846,8.751923076923106,114.26060206547973
random3,all_on,1,data1,6,data6,data_data,448.9673076923077,457.76911976911975,8.801812076812041,113.612968701576
random3,all_on,1,data1,3,data3,data_data,448.9673076923077,439.5141895141895,9.453118178118189,105.78520030721417
random3,all_on,1,data1,5,data5,data_data,448.9673076923077,437.2215281114849,11.745779580822841,85.13696286559686
random3,all_on,0,data0,1,data1,data_data,460.87457952907255,448.9673076923077,11.907271836764835,83.98229365289241
random3,all_on,2,data2,4,data4,data_data,412.49543049543047,396.3123498318116,16.183080663618853,61.79293181477478
random3,all_on,6,data6,7,data7,data_data,457.76911976911975,440.2153846153846,17.553735153735147,56.96793253641043
random3,all_on,3,data3,6,data6,data_data,439.5141895141895,457.76911976911975,18.25493025493023,54.77972175379434
random3,all_on,5,data5,6,data6,data_data,437.2215281114849,457.76911976911975,20.547591657634882,48.667504039502816
random3,all_on,0,data0,7,data7,data_data,460.87457952907255,440.2153846153846,20.65919491368794,48.40459679953166
random3,all_on,0,data0,3,data3,data_data,460.87457952907255,439.5141895141895,21.360390014883023,46.815624588466875
random3,all_on,0,data0,5,data5,data_data,460.87457952907255,437.2215281114849,23.653051417587676,42.27784324082731
random3,all_on,2,data2,5,data5,data_data,412.49543049543047,437.2215281114849,24.726097616054403,40.44309844310855
random3,all_on,2,data2,3,data3,data_data,412.49543049543047,439.5141895141895,27.018759018759056,37.011322367015545
random3,all_on,2,data2,7,data7,data_data,412.49543049543047,440.2153846153846,27.71995411995414,36.07509578380408
random3,all_on,1,data1,2,data2,data_data,448.9673076923077,412.49543049543047,36.471877196877244,27.418385804545892
random3,all_on,4,data4,5,data5,data_data,396.3123498318116,437.2215281114849,40.909178279673256,24.444392237936366
random3,all_on,3,data3,4,data4,data_data,439.5141895141895,396.3123498318116,43.20183968237791,23.147162420675837
random3,all_on,4,data4,7,data7,data_data,396.3123498318116,440.2153846153846,43.90303478357299,22.777468685927055
random3,all_on,2,data2,6,data6,data_data,412.49543049543047,457.76911976911975,45.273689273689286,22.087884067825417
random3,all_on,0,data0,2,data2,data_data,460.87457952907255,412.49543049543047,48.37914903364208,20.670061792625088
