family,family_id,mode,mode_id,target_index,target_name,window_cycles,window_ns,samples,freq_mean_mhz,freq_std_mhz,freq_std_ppm,freq_min_mhz,freq_max_mhz
random1,1,all_on,0,0,data0,100,500.0,2081,413.9990389235944,0.7708630521168081,1861.9923710959984,412.0,416.0
random1,1,all_on,0,1,data1,100,500.0,2081,413.05814512253727,0.9985480902513952,2417.4516397810467,412.0,414.0
random1,1,all_on,0,2,data2,100,500.0,2081,454.85920230658337,1.2495665163423306,2747.1501291076443,452.0,456.0
random1,1,all_on,0,3,data3,100,500.0,2081,433.6713118692936,0.9048951593004564,2086.592159854898,432.0,440.0
random1,1,all_on,0,4,data4,100,500.0,2081,456.77751081210954,0.9888774487554464,2164.8995962986683,452.0,458.0
random1,1,all_on,0,5,data5,100,500.0,2081,457.2657376261413,0.9761696861339539,2134.797352632763,456.0,464.0
random1,1,all_on,0,6,data6,100,500.0,2081,403.3185968284479,1.5929185693639685,3949.5291858349856,402.0,408.0
random1,1,all_on,0,7,data7,100,500.0,2080,446.41153846153844,1.088600930117178,2438.559123872128,444.0,448.0
random1,1,all_on,0,8,sample,100,500.0,2080,89.92211538461538,1.6504816869901342,18354.569172785636,88.0,92.0
random1,1,single_on,1,0,data0,100,500.0,2080,414.0413461538462,0.7749208188597565,1871.6025007121332,412.0,416.0
random1,1,single_on,1,1,data1,100,500.0,2080,413.1942307692308,0.9811917563541098,2374.6501845571656,412.0,414.0
random1,1,single_on,1,2,data2,100,500.0,2080,455.01730769230767,1.2620514620148786,2773.6339710143607,452.0,458.0
random1,1,single_on,1,3,data3,100,500.0,2080,433.8480769230769,1.0851200290684333,2501.15210090197,432.0,440.0
random1,1,single_on,1,4,data4,100,500.0,2080,457.0759615384615,0.9973505249951341,2182.023577958847,456.0,458.0
random1,1,single_on,1,5,data5,100,500.0,2080,457.50961538461536,0.9147941499858516,1999.508030485458,456.0,464.0
random1,1,single_on,1,6,data6,100,500.0,2080,403.4596153846154,1.5132265494150536,3750.627055876472,402.0,408.0
random1,1,single_on,1,7,data7,100,500.0,2080,446.54423076923075,1.1720512248635184,2624.7147406753124,444.0,448.0
random1,1,single_on,1,8,sample,100,500.0,2081,89.61845266698703,1.5684772468353627,17501.72202441012,88.0,92.0
random3,3,all_on,0,0,data0,100,500.0,2081,460.87457952907255,0.992342134579354,2153.1717709259246,460.0,462.0
random3,3,all_on,0,1,data1,100,500.0,2080,448.9673076923077,0.9997058064309217,2226.678400192233,448.0,450.0
random3,3,all_on,0,2,data2,100,500.0,2079,412.49543049543047,0.8724492836294712,2115.051996046623,408.0,414.0
random3,3,all_on,0,3,data3,100,500.0,2079,439.5141895141895,0.9774481638718757,2223.9285720269545,436.0,442.0
random3,3,all_on,0,4,data4,100,500.0,2081,396.3123498318116,0.8415223754173722,2123.3816603860573,392.0,398.0
random3,3,all_on,0,5,data5,100,500.0,2081,437.2215281114849,0.9753883695456602,2230.879100941596,436.0,438.0
random3,3,all_on,0,6,data6,100,500.0,2079,457.76911976911975,0.7500970386942526,1638.5924831988912,456.0,460.0
random3,3,all_on,0,7,data7,100,500.0,2080,440.2153846153846,0.825142339757136,1874.4059580699602,436.0,442.0
random3,3,all_on,0,8,sample,100,500.0,2081,91.71744353676117,1.3562279419715582,14787.02294431015,90.0,94.0
random3,3,single_on,1,0,data0,100,500.0,2081,461.1542527630947,0.9882688980870823,2143.0332522484146,460.0,462.0
random3,3,single_on,1,1,data1,100,500.0,2080,449.1625,0.9869458187064014,2197.3023542846995,448.0,450.0
random3,3,single_on,1,2,data2,100,500.0,2079,412.7041847041847,0.9773846958260756,2368.245179114524,408.0,414.0
random3,3,single_on,1,3,data3,100,500.0,2078,439.73820981713186,0.9598552843198052,2182.7879926990367,436.0,442.0
random3,3,single_on,1,4,data4,100,500.0,2079,396.5242905242905,0.9035603112440805,2278.701035059868,392.0,398.0
random3,3,single_on,1,5,data5,100,500.0,2082,437.3314121037464,0.9437127615268398,2157.88926980385,436.0,438.0
random3,3,single_on,1,6,data6,100,500.0,2082,457.98078770413065,0.7012145391881671,1531.100338735547,456.0,460.0
random3,3,single_on,1,7,data7,100,500.0,2080,440.3326923076923,0.8140708585322058,1848.7631573886313,436.0,442.0
random3,3,single_on,1,8,sample,100,500.0,2080,91.94711538461539,1.454485472779976,15818.717821607059,90.0,94.0
