family,target_index,target_name,all_on_freq_mhz,single_on_freq_mhz,shift_mhz,shift_ppm_vs_single
random1,0,data0,413.93439077144916,413.96395097332373,-0.029560201874573977,-71.40767162230237
random1,1,data1,412.7885123768325,412.9608267243451,-0.17231434751261077,-417.2656009031871
random1,2,data2,454.6147560682528,454.82384042297525,-0.20908435472244946,-459.70403514469695
random1,3,data3,433.6000961307378,433.82119682768564,-0.22110069694781487,-509.65858414621533
random1,4,data4,456.5741408315309,456.89473684210526,-0.32059601057437703,-701.6846216925658
random1,5,data5,457.2319154049507,457.4342706080269,-0.2023552030761948,-442.37001046559527
random1,6,data6,403.099254986782,403.2927180966114,-0.19346310982939485,-479.7089090585799
random1,7,data7,446.2819033886085,446.4337899543379,-0.15188656572939863,-340.22193021037646
random1,8,sample,89.97885123768324,90.05912750871289,-0.0802762710296463,-891.3729596356557
random3,0,data0,460.4873828406633,460.79091564527755,-0.3035328046142354,-658.7213295843242
random3,1,data1,448.7370824321077,448.97356404710405,-0.23648161499636444,-526.7161230266867
random3,2,data2,412.463590483057,412.7068012496996,-0.2432107666426191,-589.3064177914275
random3,3,data3,439.3924537370824,439.6226868541216,-0.2302331170391767,-523.7061778742418
random3,4,data4,396.181927421293,396.37058399423216,-0.18865657293918048,-475.96007513495437
random3,5,data5,437.1490026435953,437.26363854842583,-0.11463590483054986,-262.16656205648394
random3,6,data6,457.5856765200673,457.8567652006729,-0.271088680605601,-592.0818500667698
random3,7,data7,440.04638308099015,440.1860129776496,-0.13962989665947134,-317.20657300067603
random3,8,sample,91.71377072819034,91.67387647200192,0.03989425618841835,435.17583987628626
