family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.56723951448146,457.22782984859407,0.6605903341126123,1513.797505595242
random1,all_on,0,data0,1,data1,data_data,413.92878623842176,412.8291862002645,1.0996000381572912,909.4215762995053
random1,all_on,2,data2,4,data4,data_data,454.68236990746306,456.56723951448146,1.884869607018402,530.5406783983636
random1,all_on,2,data2,5,data5,data_data,454.68236990746306,457.22782984859407,2.545459941131014,392.85631010782043
random1,all_on,2,data2,7,data7,data_data,454.68236990746306,446.35175396444015,8.330615943022906,120.0391431845474
random1,all_on,1,data1,6,data6,data_data,412.8291862002645,403.10846846846846,9.720717731796015,102.87306221525667
random1,all_on,4,data4,7,data7,data_data,456.56723951448146,446.35175396444015,10.215485550041308,97.89059904215286
random1,all_on,0,data0,6,data6,data_data,413.92878623842176,403.10846846846846,10.820317769953306,92.41872755131806
random1,all_on,5,data5,7,data7,data_data,457.22782984859407,446.35175396444015,10.87607588415392,91.94492670439774
random1,all_on,3,data3,7,data7,data_data,433.60725874293956,446.35175396444015,12.744495221500586,78.4652497113382
random1,all_on,0,data0,3,data3,data_data,413.92878623842176,433.60725874293956,19.6784725045178,50.81695237119747
random1,all_on,1,data1,3,data3,data_data,412.8291862002645,433.60725874293956,20.77807254267509,48.127659480740945
random1,all_on,2,data2,3,data3,data_data,454.68236990746306,433.60725874293956,21.07511116452349,47.44933453463044
random1,all_on,3,data3,4,data4,data_data,433.60725874293956,456.56723951448146,22.959980771541893,43.55404344412455
random1,all_on,3,data3,5,data5,data_data,433.60725874293956,457.22782984859407,23.620571105654506,42.33597890275443
random1,all_on,3,data3,6,data6,data_data,433.60725874293956,403.10846846846846,30.498790274471105,32.788185728043324
random1,all_on,0,data0,7,data7,data_data,413.92878623842176,446.35175396444015,32.422967726018385,30.842334003791155
random1,all_on,1,data1,7,data7,data_data,412.8291862002645,446.35175396444015,33.522567764175676,29.830650415409494
random1,all_on,0,data0,2,data2,data_data,413.92878623842176,454.68236990746306,40.75358366904129,24.537719384900527
random1,all_on,1,data1,2,data2,data_data,412.8291862002645,454.68236990746306,41.85318370719858,23.893044959158125
random1,all_on,0,data0,4,data4,data_data,413.92878623842176,456.56723951448146,42.63845327605969,23.453008333242526
random1,all_on,6,data6,7,data7,data_data,403.10846846846846,446.35175396444015,43.24328549597169,23.12497740471534
random1,all_on,0,data0,5,data5,data_data,413.92878623842176,457.22782984859407,43.299043610172305,23.095198337477104
random1,all_on,1,data1,4,data4,data_data,412.8291862002645,456.56723951448146,43.738053314216984,22.863386095762785
random1,all_on,1,data1,5,data5,data_data,412.8291862002645,457.22782984859407,44.398643648329596,22.52321057194329
random1,all_on,2,data2,6,data6,data_data,454.68236990746306,403.10846846846846,51.573901438994596,19.38965197703481
random1,all_on,4,data4,6,data6,data_data,456.56723951448146,403.10846846846846,53.458771046013,18.70600428018221
random1,all_on,5,data5,6,data6,data_data,457.22782984859407,403.10846846846846,54.11936138012561,18.47767553974191
random1,all_on,6,data6,8,sample,data_sample,403.10846846846846,89.96274486239635,313.1457236060721,3.1934014250118574
random1,all_on,1,data1,8,sample,data_sample,412.8291862002645,89.96274486239635,322.86644133786814,3.0972559299017886
random1,all_on,0,data0,8,sample,data_sample,413.92878623842176,89.96274486239635,323.96604137602543,3.0867432764019425
random1,all_on,3,data3,8,sample,data_sample,433.60725874293956,89.96274486239635,343.64451388054323,2.9099838920973355
random1,all_on,7,data7,8,sample,data_sample,446.35175396444015,89.96274486239635,356.3890091020438,2.8059226700609976
random1,all_on,2,data2,8,sample,data_sample,454.68236990746306,89.96274486239635,364.7196250450667,2.741832167316016
random1,all_on,4,data4,8,sample,data_sample,456.56723951448146,89.96274486239635,366.6044946520851,2.7277352421688654
random1,all_on,5,data5,8,sample,data_sample,457.22782984859407,89.96274486239635,367.26508498619773,2.722828934412813
random3,all_on,3,data3,7,data7,data_data,439.3354962749339,439.971160778659,0.6356645037250814,1573.156899810926
random3,all_on,3,data3,5,data5,data_data,439.3354962749339,437.0847253935825,2.2507708813514,444.29222373784376
random3,all_on,5,data5,7,data7,data_data,437.0847253935825,439.971160778659,2.8864353850764815,346.4480809687355
random3,all_on,0,data0,6,data6,data_data,460.4628695025234,457.5472242249459,2.9156452775774824,342.97725024728265
random3,all_on,1,data1,7,data7,data_data,448.746695505888,439.971160778659,8.775534727229001,113.95316993016608
random3,all_on,1,data1,6,data6,data_data,448.746695505888,457.5472242249459,8.800528719057922,113.62953657937132
random3,all_on,1,data1,3,data3,data_data,448.746695505888,439.3354962749339,9.411199230954082,106.256384065373
random3,all_on,1,data1,5,data5,data_data,448.746695505888,437.0847253935825,11.661970112305482,85.74880490774193
random3,all_on,0,data0,1,data1,data_data,460.4628695025234,448.746695505888,11.716173996635405,85.35209534163415
random3,all_on,2,data2,4,data4,data_data,412.3623258049015,396.1668068741738,16.1955189307277,61.745474428899186
random3,all_on,6,data6,7,data7,data_data,457.5472242249459,439.971160778659,17.576063446286923,56.895561571909184
random3,all_on,3,data3,6,data6,data_data,439.3354962749339,457.5472242249459,18.211727950012005,54.90967154488714
random3,all_on,5,data5,6,data6,data_data,437.0847253935825,457.5472242249459,20.462498831363405,48.869886725040345
