family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.3953376592165,457.1946647440519,0.7993270848353973,1251.052315093172
random1,all_on,0,data0,1,data1,data_data,413.7916366258111,412.9079548185532,0.8836818072579149,1131.6290454174034
random1,all_on,2,data2,4,data4,data_data,454.5042057197789,456.3953376592165,1.8911319394376278,528.7838353030901
random1,all_on,2,data2,5,data5,data_data,454.5042057197789,457.1946647440519,2.690459024273025,371.6837874050897
random1,all_on,2,data2,7,data7,data_data,454.5042057197789,446.1826484018265,8.321557317952397,120.1698145901926
random1,all_on,1,data1,6,data6,data_data,412.9079548185532,402.930064888248,9.977889930305196,100.22159063538726
random1,all_on,4,data4,7,data7,data_data,456.3953376592165,446.1826484018265,10.212689257390025,97.91740204729993
random1,all_on,0,data0,6,data6,data_data,413.7916366258111,402.930064888248,10.86157173756311,92.0677066047127
random1,all_on,5,data5,7,data7,data_data,457.1946647440519,446.1826484018265,11.012016342225422,90.80989066148713
random1,all_on,3,data3,7,data7,data_data,433.68372987262677,446.1826484018265,12.498918529199727,80.00692201199806
random1,all_on,0,data0,3,data3,data_data,413.7916366258111,433.68372987262677,19.892093246815648,50.27123026180673
random1,all_on,1,data1,3,data3,data_data,412.9079548185532,433.68372987262677,20.775775054073563,48.13298167684614
random1,all_on,2,data2,3,data3,data_data,454.5042057197789,433.68372987262677,20.820475847152125,48.029641941962744
random1,all_on,3,data3,4,data4,data_data,433.68372987262677,456.3953376592165,22.711607786589752,44.03034824291294
random1,all_on,3,data3,5,data5,data_data,433.68372987262677,457.1946647440519,23.51093487142515,42.53340011652984
random1,all_on,3,data3,6,data6,data_data,433.68372987262677,402.930064888248,30.75366498437876,32.51644968194676
random1,all_on,0,data0,7,data7,data_data,413.7916366258111,446.1826484018265,32.391011776015375,30.8727620771782
random1,all_on,1,data1,7,data7,data_data,412.9079548185532,446.1826484018265,33.27469358327329,30.05286878141789
random1,all_on,0,data0,2,data2,data_data,413.7916366258111,454.5042057197789,40.71256909396777,24.562439125173416
random1,all_on,1,data1,2,data2,data_data,412.9079548185532,454.5042057197789,41.59625090122569,24.0406281415745
random1,all_on,0,data0,4,data4,data_data,413.7916366258111,456.3953376592165,42.6037010334054,23.472139174385433
random1,all_on,6,data6,7,data7,data_data,402.930064888248,446.1826484018265,43.252583513578486,23.120006223121106
random1,all_on,0,data0,5,data5,data_data,413.7916366258111,457.1946647440519,43.4030281182408,23.039867109634557
random1,all_on,1,data1,4,data4,data_data,412.9079548185532,456.3953376592165,43.487382840663315,22.99517548949715
random1,all_on,1,data1,5,data5,data_data,412.9079548185532,457.1946647440519,44.28670992549871,22.580137510378382
random1,all_on,2,data2,6,data6,data_data,454.5042057197789,402.930064888248,51.57414083153088,19.38956197576887
random1,all_on,4,data4,6,data6,data_data,456.3953376592165,402.930064888248,53.46527277096851,18.703729508380945
random1,all_on,5,data5,6,data6,data_data,457.1946647440519,402.930064888248,54.26459985580391,18.428220288314616
random1,all_on,6,data6,8,sample,data_sample,402.930064888248,89.97019947128094,312.9598654169671,3.1952978975999557
random1,all_on,1,data1,8,sample,data_sample,412.9079548185532,89.97019947128094,322.9377553472723,3.0965719660887787
random1,all_on,0,data0,8,sample,data_sample,413.7916366258111,89.97019947128094,323.8214371545302,3.088121678376691
random1,all_on,3,data3,8,sample,data_sample,433.68372987262677,89.97019947128094,343.71353040134585,2.909399577119715
random1,all_on,7,data7,8,sample,data_sample,446.1826484018265,89.97019947128094,356.2124489305456,2.8073134529753068
random1,all_on,2,data2,8,sample,data_sample,454.5042057197789,89.97019947128094,364.534006248498,2.7432282938188033
random1,all_on,4,data4,8,sample,data_sample,456.3953376592165,89.97019947128094,366.4251381879356,2.7290704042447835
random1,all_on,5,data5,8,sample,data_sample,457.1946647440519,89.97019947128094,367.224465272771,2.7231301140494795
