family,mode,a_index,a_name,b_index,b_name,relation,freq_a_mhz,freq_b_mhz,abs_delta_f_mhz,beat_period_ns
random1,all_on,4,data4,5,data5,data_data,456.96707522230236,457.465032444124,0.49795722182165036,2008.2046332047425
random1,all_on,1,data1,7,data7,data_data,447.16462388848834,446.4770487863494,0.6875751021389078,1454.386578119541
random1,all_on,2,data2,4,data4,data_data,452.47801009372745,456.96707522230236,4.489065128574907,222.76353123828673
random1,all_on,2,data2,5,data5,data_data,452.47801009372745,457.465032444124,4.987022350396558,200.5204568454525
random1,all_on,1,data1,2,data2,data_data,447.16462388848834,452.47801009372745,5.313386205239112,188.2038988647162
random1,all_on,2,data2,7,data7,data_data,452.47801009372745,446.4770487863494,6.00096130737802,166.63996796155425
random1,all_on,1,data1,4,data4,data_data,447.16462388848834,456.96707522230236,9.80245133381402,102.01529861724002
random1,all_on,1,data1,5,data5,data_data,447.16462388848834,457.465032444124,10.30040855563567,97.08352776481563
random1,all_on,4,data4,7,data7,data_data,456.96707522230236,446.4770487863494,10.490026435952927,95.32864441338833
random1,all_on,5,data5,7,data7,data_data,457.465032444124,446.4770487863494,10.987983657774578,91.00850812536905
random1,all_on,3,data3,7,data7,data_data,433.38981014179285,446.4770487863494,13.087238644556578,76.41031291317772
random1,all_on,1,data1,3,data3,data_data,447.16462388848834,433.38981014179285,13.774813746695486,72.59626288884634
random1,all_on,2,data2,3,data3,data_data,452.47801009372745,433.38981014179285,19.088199951934598,52.388386674388826
random1,all_on,0,data0,3,data3,data_data,410.8877673636145,433.38981014179285,22.50204277817835,44.44040969337073
random1,all_on,3,data3,4,data4,data_data,433.38981014179285,456.96707522230236,23.577265080509505,42.41374038020486
random1,all_on,3,data3,5,data5,data_data,433.38981014179285,457.465032444124,24.075222302331156,41.53648042963956
random1,all_on,0,data0,6,data6,data_data,410.8877673636145,381.56957462148523,29.31819274212927,34.10851442295873
random1,all_on,0,data0,7,data7,data_data,410.8877673636145,446.4770487863494,35.58928142273493,28.09834759296899
random1,all_on,0,data0,1,data1,data_data,410.8877673636145,447.16462388848834,36.276856524873835,27.565784243580566
random1,all_on,0,data0,2,data2,data_data,410.8877673636145,452.47801009372745,41.59024273011295,24.044101076523923
random1,all_on,0,data0,4,data4,data_data,410.8877673636145,456.96707522230236,46.079307858687855,21.701714857929634
random1,all_on,0,data0,5,data5,data_data,410.8877673636145,457.465032444124,46.577265080509505,21.46970197308676
random1,all_on,3,data3,6,data6,data_data,433.38981014179285,381.56957462148523,51.82023552030762,19.297480799910957
random1,all_on,6,data6,7,data7,data_data,381.56957462148523,446.4770487863494,64.9074741648642,15.40654620853081
random1,all_on,1,data1,6,data6,data_data,447.16462388848834,381.56957462148523,65.5950492670031,15.245052960163557
random1,all_on,2,data2,6,data6,data_data,452.47801009372745,381.56957462148523,70.90843547224222,14.10269445856635
random1,all_on,4,data4,6,data6,data_data,456.96707522230236,381.56957462148523,75.39750060081712,13.263039119749845
random1,all_on,5,data5,6,data6,data_data,457.465032444124,381.56957462148523,75.89545782263878,13.176019075303754
random1,all_on,6,data6,8,sample,data_sample,381.56957462148523,93.29512136505647,288.2744532564287,3.468916474226976
random1,all_on,0,data0,8,sample,data_sample,410.8877673636145,93.29512136505647,317.59264599855805,3.148687517167952
random1,all_on,3,data3,8,sample,data_sample,433.38981014179285,93.29512136505647,340.09468877673635,2.9403575915779
random1,all_on,7,data7,8,sample,data_sample,446.4770487863494,93.29512136505647,353.1819274212929,2.8314019556474936
random1,all_on,1,data1,8,sample,data_sample,447.16462388848834,93.29512136505647,353.86950252343183,2.8259004883693923
random1,all_on,2,data2,8,sample,data_sample,452.47801009372745,93.29512136505647,359.18288872867095,2.7840969917567717
random1,all_on,4,data4,8,sample,data_sample,456.96707522230236,93.29512136505647,363.67195385724585,2.749730875294649
random1,all_on,5,data5,8,sample,data_sample,457.465032444124,93.29512136505647,364.16991107906756,2.7459709590968453
