family,family_id,mode,mode_id,target_index,target_name,window_cycles,window_ns,samples,freq_mean_mhz,freq_std_mhz,freq_std_ppm,freq_min_mhz,freq_max_mhz
random1,1,all_on,0,0,data0,100,500.0,8322,410.8877673636145,1.317022436140674,3205.3094317971672,404.0,414.0
random1,1,all_on,0,1,data1,100,500.0,8322,447.16462388848834,1.3547738714825943,3029.6982344033568,444.0,450.0
random1,1,all_on,0,2,data2,100,500.0,8322,452.47801009372745,2.70414486535919,5976.301179363493,416.0,454.0
random1,1,all_on,0,3,data3,100,500.0,8322,433.38981014179285,0.9230361106598297,2129.805752372993,432.0,436.0
random1,1,all_on,0,4,data4,100,500.0,8322,456.96707522230236,1.002878839611432,2194.641351619388,452.0,458.0
random1,1,all_on,0,5,data5,100,500.0,8322,457.465032444124,0.8869742292807918,1938.8896776260801,456.0,460.0
random1,1,all_on,0,6,data6,100,500.0,8322,381.56957462148523,0.8231578139722225,2157.294157399185,380.0,384.0
random1,1,all_on,0,7,data7,100,500.0,8322,446.4770487863494,1.2386301227416336,2774.2302232748125,444.0,448.0
random1,1,all_on,0,8,sample,100,500.0,8322,93.29512136505647,1.4651002282899896,15703.931854669738,90.0,124.0
random1,1,single_on,1,0,data0,100,500.0,8322,411.01538091804855,1.3231609374149842,3219.249202936292,404.0,414.0
random1,1,single_on,1,1,data1,100,500.0,8322,447.43859649122805,1.3071279357177703,2921.3571336226832,444.0,450.0
random1,1,single_on,1,2,data2,100,500.0,8322,452.8007690459024,1.614130424275583,3564.769617500255,416.0,454.0
random1,1,single_on,1,3,data3,100,500.0,8322,433.5436193222783,0.8450898911768664,1949.2615125968714,432.0,436.0
random1,1,single_on,1,4,data4,100,500.0,8322,457.27661619802933,0.9610382204985627,2101.656167089841,456.0,458.0
random1,1,single_on,1,5,data5,100,500.0,8322,457.5972122086037,0.8110710427691599,1772.4562587575792,456.0,460.0
random1,1,single_on,1,6,data6,100,500.0,8322,381.68180725787073,0.7407179595787765,1940.6687599294846,380.0,384.0
random1,1,single_on,1,7,data7,100,500.0,8322,446.67123287671234,1.2899775037508456,2887.9798133471872,444.0,450.0
random1,1,single_on,1,8,sample,100,500.0,8322,93.33862052391252,1.6427678287328489,17600.086861279317,90.0,124.0
