case,warmup,run_id,overall_p1,abs_bias,overall_min_entropy,row_ones_std,worst_byte_index,worst_bit_index,worst_x,worst_p1,source_file
compact baseline,4,run01,0.498297000,0.001703000,0.995094530,15.119086976,1,7,555,0.445000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260524/restart_fifo_compact_diag_regs_only_warmup4_1000x125_run01_no_xadc.summary.csv
compact baseline,4,run02,0.499008000,0.000992000,0.997140529,15.995747435,3,5,562,0.438000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260528/restart_fifo_compact_diag_regs_only_warmup4_1000x125_run02_20260528.summary.csv
compact baseline,4,run03,0.499131000,0.000869000,0.997494772,15.342354415,84,0,556,0.556000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260528/restart_fifo_compact_diag_regs_only_warmup4_1000x125_run03_20260528.summary.csv
compact baseline,5,run01,0.498316000,0.001684000,0.995149167,15.940330737,26,1,549,0.549000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260524/restart_fifo_compact_diag_regs_only_warmup5_1000x125_run01_no_xadc.summary.csv
compact baseline,5,run02,0.499276000,0.000724000,0.997912489,15.834261082,95,6,548,0.452000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260528/restart_fifo_compact_diag_regs_only_warmup5_1000x125_run02_20260528.summary.csv
compact baseline,11,run01,0.498148000,0.001852000,0.994666130,15.991625809,90,6,548,0.452000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260524/restart_fifo_compact_diag_regs_only_warmup11_1000x125_run01_no_xadc.summary.csv
compact baseline,11,run02,0.498425000,0.001575000,0.995462653,15.492720065,24,7,544,0.456000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260528/restart_fifo_compact_diag_regs_only_warmup11_1000x125_run02_20260528.summary.csv
forward fail,4,run01,0.376796000,0.123204000,0.682223602,14.577255709,0,5,805,0.195000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260524/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run01_no_xadc.summary.csv
forward fail,4,repeat03-oldbit,0.376651000,0.123349000,0.681887971,15.575596265,0,5,884,0.116000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_oldbit_repeat03_no_xadc_20260525.summary.csv
forward fail,4,run03,0.378757000,0.121243000,0.686770404,16.246351929,2,0,752,0.248000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup4_1000x125_run03_20260528.summary.csv
forward fail,5,run01,0.373430000,0.126570000,0.674452399,15.638257576,2,2,757,0.243000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run01_20260525.summary.csv
forward fail,5,run02,0.373541000,0.126459000,0.674708003,16.146278797,1,2,792,0.208000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run02_20260525.summary.csv
forward fail,5,run03,0.371751000,0.128249000,0.670591625,15.668088556,2,5,745,0.255000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup5_1000x125_run03_20260528.summary.csv
forward fail,11,run01,0.464819000,0.035181000,0.901901197,16.116830923,18,4,576,0.424000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run01_20260525.summary.csv
forward fail,11,run02,0.461135000,0.038865000,0.892004210,15.397752271,26,0,588,0.412000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_fifo_compact_diag_regs_only_sample_ro_formal_locked_warmup11_1000x125_run02_20260528.summary.csv
reverse repair,4,run01,0.499419000,0.000581000,0.998324562,16.521484165,61,6,552,0.552000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run01_20260525_summary.csv
reverse repair,4,run02,0.499754000,0.000246000,0.999290369,16.111222300,109,4,552,0.448000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run02_20260525_summary.csv
reverse repair,4,run03,0.499432000,0.000568000,0.998362029,16.702256614,113,0,560,0.560000000,E:/Project/MLDSA/RO_TRNG/data/experiments/restart_fifo_diag_20260525/restart_auto_random1_regs_only_sample_ro_compact_locked_warmup4_1000x125_run03_20260528_summary.csv
