byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
3,3,440,560,0.440000000,0.060000000,560,28,27,False
17,6,444,556,0.444000000,0.056000000,556,137,142,False
1,7,445,555,0.445000000,0.055000000,555,8,15,False
0,5,451,549,0.451000000,0.049000000,549,2,5,False
28,1,451,549,0.451000000,0.049000000,549,230,225,False
59,4,453,547,0.453000000,0.047000000,547,475,476,False
66,1,547,453,0.547000000,0.047000000,547,534,529,False
6,1,454,546,0.454000000,0.046000000,546,54,49,False
35,4,454,546,0.454000000,0.046000000,546,283,284,False
52,7,454,546,0.454000000,0.046000000,546,416,423,False
3,2,545,455,0.545000000,0.045000000,545,29,26,False
4,0,455,545,0.455000000,0.045000000,545,39,32,False
87,6,455,545,0.455000000,0.045000000,545,697,702,False
12,1,544,456,0.544000000,0.044000000,544,102,97,False
116,2,457,543,0.457000000,0.043000000,543,933,930,False
25,0,459,541,0.459000000,0.041000000,541,207,200,False
65,4,541,459,0.541000000,0.041000000,541,523,524,False
99,0,541,459,0.541000000,0.041000000,541,799,792,False
117,6,541,459,0.541000000,0.041000000,541,937,942,False
119,0,459,541,0.459000000,0.041000000,541,959,952,False
32,1,540,460,0.540000000,0.040000000,540,262,257,False
52,1,460,540,0.460000000,0.040000000,540,422,417,False
2,1,461,539,0.461000000,0.039000000,539,22,17,False
1,0,462,538,0.462000000,0.038000000,538,15,8,False
73,2,462,538,0.462000000,0.038000000,538,589,586,False
87,3,462,538,0.462000000,0.038000000,538,700,699,False
97,3,462,538,0.462000000,0.038000000,538,780,779,False
97,7,462,538,0.462000000,0.038000000,538,776,783,False
107,6,538,462,0.538000000,0.038000000,538,857,862,False
11,0,463,537,0.463000000,0.037000000,537,95,88,False
16,4,463,537,0.463000000,0.037000000,537,131,132,False
20,5,463,537,0.463000000,0.037000000,537,162,165,False
