byte_index,bit_index,ones,zeros,p1,x,msb_expanded_column,lsb_expanded_column
0,0,523,477,0.523000000,523,7,0
0,1,515,485,0.515000000,515,6,1
0,2,505,495,0.505000000,505,5,2
0,3,518,482,0.518000000,518,4,3
0,4,502,498,0.502000000,502,3,4
0,5,451,549,0.451000000,549,2,5
0,6,484,516,0.484000000,516,1,6
0,7,504,496,0.504000000,504,0,7
1,0,462,538,0.462000000,538,15,8
1,1,513,487,0.513000000,513,14,9
1,2,533,467,0.533000000,533,13,10
1,3,529,471,0.529000000,529,12,11
1,4,499,501,0.499000000,501,11,12
1,5,468,532,0.468000000,532,10,13
1,6,502,498,0.502000000,502,9,14
1,7,445,555,0.445000000,555,8,15
2,0,501,499,0.501000000,501,23,16
2,1,461,539,0.461000000,539,22,17
2,2,499,501,0.499000000,501,21,18
2,3,496,504,0.496000000,504,20,19
2,4,501,499,0.501000000,501,19,20
2,5,486,514,0.486000000,514,18,21
2,6,488,512,0.488000000,512,17,22
2,7,511,489,0.511000000,511,16,23
3,0,494,506,0.494000000,506,31,24
3,1,494,506,0.494000000,506,30,25
3,2,545,455,0.545000000,545,29,26
3,3,440,560,0.440000000,560,28,27
3,4,488,512,0.488000000,512,27,28
3,5,500,500,0.500000000,500,26,29
3,6,534,466,0.534000000,534,25,30
3,7,500,500,0.500000000,500,24,31
4,0,455,545,0.455000000,545,39,32
4,1,520,480,0.520000000,520,38,33
4,2,483,517,0.483000000,517,37,34
4,3,467,533,0.467000000,533,36,35
4,4,495,505,0.495000000,505,35,36
4,5,513,487,0.513000000,513,34,37
4,6,478,522,0.478000000,522,33,38
4,7,489,511,0.489000000,511,32,39
5,0,492,508,0.492000000,508,47,40
5,1,507,493,0.507000000,507,46,41
5,2,488,512,0.488000000,512,45,42
5,3,471,529,0.471000000,529,44,43
5,4,471,529,0.471000000,529,43,44
5,5,499,501,0.499000000,501,42,45
5,6,511,489,0.511000000,511,41,46
5,7,491,509,0.491000000,509,40,47
6,0,465,535,0.465000000,535,55,48
6,1,454,546,0.454000000,546,54,49
6,2,501,499,0.501000000,501,53,50
6,3,468,532,0.468000000,532,52,51
6,4,529,471,0.529000000,529,51,52
6,5,487,513,0.487000000,513,50,53
6,6,468,532,0.468000000,532,49,54
6,7,512,488,0.512000000,512,48,55
7,0,494,506,0.494000000,506,63,56
7,1,504,496,0.504000000,504,62,57
7,2,497,503,0.497000000,503,61,58
7,3,505,495,0.505000000,505,60,59
7,4,482,518,0.482000000,518,59,60
7,5,489,511,0.489000000,511,58,61
7,6,496,504,0.496000000,504,57,62
7,7,492,508,0.492000000,508,56,63
8,0,475,525,0.475000000,525,71,64
8,1,486,514,0.486000000,514,70,65
8,2,483,517,0.483000000,517,69,66
8,3,496,504,0.496000000,504,68,67
8,4,488,512,0.488000000,512,67,68
8,5,493,507,0.493000000,507,66,69
8,6,488,512,0.488000000,512,65,70
8,7,509,491,0.509000000,509,64,71
9,0,473,527,0.473000000,527,79,72
9,1,520,480,0.520000000,520,78,73
9,2,495,505,0.495000000,505,77,74
9,3,497,503,0.497000000,503,76,75
9,4,509,491,0.509000000,509,75,76
9,5,477,523,0.477000000,523,74,77
9,6,514,486,0.514000000,514,73,78
9,7,509,491,0.509000000,509,72,79
10,0,497,503,0.497000000,503,87,80
10,1,481,519,0.481000000,519,86,81
10,2,501,499,0.501000000,501,85,82
10,3,503,497,0.503000000,503,84,83
10,4,486,514,0.486000000,514,83,84
10,5,521,479,0.521000000,521,82,85
10,6,498,502,0.498000000,502,81,86
10,7,474,526,0.474000000,526,80,87
11,0,463,537,0.463000000,537,95,88
11,1,478,522,0.478000000,522,94,89
11,2,527,473,0.527000000,527,93,90
