byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
0,0,466,534,0.466000000,0.034000000,534,7,0,False
0,1,354,646,0.354000000,0.146000000,646,6,1,False
0,2,330,670,0.330000000,0.170000000,670,5,2,False
0,3,436,564,0.436000000,0.064000000,564,4,3,False
0,4,234,766,0.234000000,0.266000000,766,3,4,False
0,5,313,687,0.313000000,0.187000000,687,2,5,False
0,6,402,598,0.402000000,0.098000000,598,1,6,False
0,7,401,599,0.401000000,0.099000000,599,0,7,False
1,0,320,680,0.320000000,0.180000000,680,15,8,False
1,1,226,774,0.226000000,0.274000000,774,14,9,False
1,2,205,795,0.205000000,0.295000000,795,13,10,False
1,3,380,620,0.380000000,0.120000000,620,12,11,False
1,4,205,795,0.205000000,0.295000000,795,11,12,False
1,5,314,686,0.314000000,0.186000000,686,10,13,False
1,6,502,498,0.502000000,0.002000000,502,9,14,False
1,7,454,546,0.454000000,0.046000000,546,8,15,False
2,0,388,612,0.388000000,0.112000000,612,23,16,False
2,1,339,661,0.339000000,0.161000000,661,22,17,False
2,2,204,796,0.204000000,0.296000000,796,21,18,False
2,3,405,595,0.405000000,0.095000000,595,20,19,False
2,4,436,564,0.436000000,0.064000000,564,19,20,False
2,5,343,657,0.343000000,0.157000000,657,18,21,False
2,6,382,618,0.382000000,0.118000000,618,17,22,False
2,7,419,581,0.419000000,0.081000000,581,16,23,False
3,0,343,657,0.343000000,0.157000000,657,31,24,False
3,1,341,659,0.341000000,0.159000000,659,30,25,False
3,2,287,713,0.287000000,0.213000000,713,29,26,False
3,3,373,627,0.373000000,0.127000000,627,28,27,False
3,4,478,522,0.478000000,0.022000000,522,27,28,False
3,5,356,644,0.356000000,0.144000000,644,26,29,False
3,6,416,584,0.416000000,0.084000000,584,25,30,False
3,7,460,540,0.460000000,0.040000000,540,24,31,False
4,0,316,684,0.316000000,0.184000000,684,39,32,False
4,1,377,623,0.377000000,0.123000000,623,38,33,False
4,2,370,630,0.370000000,0.130000000,630,37,34,False
4,3,277,723,0.277000000,0.223000000,723,36,35,False
4,4,373,627,0.373000000,0.127000000,627,35,36,False
4,5,345,655,0.345000000,0.155000000,655,34,37,False
4,6,388,612,0.388000000,0.112000000,612,33,38,False
4,7,457,543,0.457000000,0.043000000,543,32,39,False
5,0,406,594,0.406000000,0.094000000,594,47,40,False
5,1,352,648,0.352000000,0.148000000,648,46,41,False
5,2,366,634,0.366000000,0.134000000,634,45,42,False
5,3,320,680,0.320000000,0.180000000,680,44,43,False
5,4,410,590,0.410000000,0.090000000,590,43,44,False
5,5,360,640,0.360000000,0.140000000,640,42,45,False
5,6,366,634,0.366000000,0.134000000,634,41,46,False
5,7,459,541,0.459000000,0.041000000,541,40,47,False
6,0,397,603,0.397000000,0.103000000,603,55,48,False
6,1,352,648,0.352000000,0.148000000,648,54,49,False
6,2,381,619,0.381000000,0.119000000,619,53,50,False
6,3,300,700,0.300000000,0.200000000,700,52,51,False
6,4,384,616,0.384000000,0.116000000,616,51,52,False
6,5,466,534,0.466000000,0.034000000,534,50,53,False
6,6,334,666,0.334000000,0.166000000,666,49,54,False
6,7,364,636,0.364000000,0.136000000,636,48,55,False
7,0,435,565,0.435000000,0.065000000,565,63,56,False
7,1,360,640,0.360000000,0.140000000,640,62,57,False
7,2,362,638,0.362000000,0.138000000,638,61,58,False
7,3,351,649,0.351000000,0.149000000,649,60,59,False
7,4,367,633,0.367000000,0.133000000,633,59,60,False
7,5,407,593,0.407000000,0.093000000,593,58,61,False
7,6,355,645,0.355000000,0.145000000,645,57,62,False
7,7,389,611,0.389000000,0.111000000,611,56,63,False
8,0,384,616,0.384000000,0.116000000,616,71,64,False
8,1,347,653,0.347000000,0.153000000,653,70,65,False
8,2,369,631,0.369000000,0.131000000,631,69,66,False
8,3,390,610,0.390000000,0.110000000,610,68,67,False
8,4,321,679,0.321000000,0.179000000,679,67,68,False
8,5,396,604,0.396000000,0.104000000,604,66,69,False
8,6,393,607,0.393000000,0.107000000,607,65,70,False
8,7,356,644,0.356000000,0.144000000,644,64,71,False
9,0,384,616,0.384000000,0.116000000,616,79,72,False
9,1,440,560,0.440000000,0.060000000,560,78,73,False
9,2,358,642,0.358000000,0.142000000,642,77,74,False
9,3,383,617,0.383000000,0.117000000,617,76,75,False
9,4,364,636,0.364000000,0.136000000,636,75,76,False
9,5,386,614,0.386000000,0.114000000,614,74,77,False
9,6,388,612,0.388000000,0.112000000,612,73,78,False
9,7,343,657,0.343000000,0.157000000,657,72,79,False
10,0,357,643,0.357000000,0.143000000,643,87,80,False
10,1,409,591,0.409000000,0.091000000,591,86,81,False
10,2,352,648,0.352000000,0.148000000,648,85,82,False
10,3,361,639,0.361000000,0.139000000,639,84,83,False
10,4,354,646,0.354000000,0.146000000,646,83,84,False
10,5,378,622,0.378000000,0.122000000,622,82,85,False
10,6,406,594,0.406000000,0.094000000,594,81,86,False
10,7,340,660,0.340000000,0.160000000,660,80,87,False
11,0,333,667,0.333000000,0.167000000,667,95,88,False
11,1,411,589,0.411000000,0.089000000,589,94,89,False
11,2,354,646,0.354000000,0.146000000,646,93,90,False
11,3,366,634,0.366000000,0.134000000,634,92,91,False
11,4,384,616,0.384000000,0.116000000,616,91,92,False
11,5,359,641,0.359000000,0.141000000,641,90,93,False
11,6,416,584,0.416000000,0.084000000,584,89,94,False
11,7,322,678,0.322000000,0.178000000,678,88,95,False
12,0,333,667,0.333000000,0.167000000,667,103,96,False
12,1,383,617,0.383000000,0.117000000,617,102,97,False
12,2,375,625,0.375000000,0.125000000,625,101,98,False
12,3,381,619,0.381000000,0.119000000,619,100,99,False
12,4,373,627,0.373000000,0.127000000,627,99,100,False
12,5,368,632,0.368000000,0.132000000,632,98,101,False
12,6,397,603,0.397000000,0.103000000,603,97,102,False
12,7,399,601,0.399000000,0.101000000,601,96,103,False
13,0,341,659,0.341000000,0.159000000,659,111,104,False
13,1,400,600,0.400000000,0.100000000,600,110,105,False
13,2,374,626,0.374000000,0.126000000,626,109,106,False
13,3,343,657,0.343000000,0.157000000,657,108,107,False
13,4,377,623,0.377000000,0.123000000,623,107,108,False
13,5,402,598,0.402000000,0.098000000,598,106,109,False
13,6,399,601,0.399000000,0.101000000,601,105,110,False
13,7,387,613,0.387000000,0.113000000,613,104,111,False
14,0,342,658,0.342000000,0.158000000,658,119,112,False
14,1,378,622,0.378000000,0.122000000,622,118,113,False
14,2,400,600,0.400000000,0.100000000,600,117,114,False
14,3,343,657,0.343000000,0.157000000,657,116,115,False
14,4,393,607,0.393000000,0.107000000,607,115,116,False
14,5,370,630,0.370000000,0.130000000,630,114,117,False
14,6,356,644,0.356000000,0.144000000,644,113,118,False
14,7,376,624,0.376000000,0.124000000,624,112,119,False
15,0,397,603,0.397000000,0.103000000,603,127,120,False
15,1,336,664,0.336000000,0.164000000,664,126,121,False
15,2,390,610,0.390000000,0.110000000,610,125,122,False
15,3,383,617,0.383000000,0.117000000,617,124,123,False
15,4,367,633,0.367000000,0.133000000,633,123,124,False
15,5,386,614,0.386000000,0.114000000,614,122,125,False
15,6,332,668,0.332000000,0.168000000,668,121,126,False
15,7,405,595,0.405000000,0.095000000,595,120,127,False
16,0,400,600,0.400000000,0.100000000,600,135,128,False
16,1,343,657,0.343000000,0.157000000,657,134,129,False
