byte_index,bit_index,ones,zeros,p1,abs_bias,x,msb_expanded_column,lsb_expanded_column,over_x_cutoff
2,2,204,796,0.204000000,0.296000000,796,21,18,False
1,2,205,795,0.205000000,0.295000000,795,13,10,False
1,4,205,795,0.205000000,0.295000000,795,11,12,False
1,1,226,774,0.226000000,0.274000000,774,14,9,False
0,4,234,766,0.234000000,0.266000000,766,3,4,False
4,3,277,723,0.277000000,0.223000000,723,36,35,False
3,2,287,713,0.287000000,0.213000000,713,29,26,False
6,3,300,700,0.300000000,0.200000000,700,52,51,False
0,5,313,687,0.313000000,0.187000000,687,2,5,False
1,5,314,686,0.314000000,0.186000000,686,10,13,False
4,0,316,684,0.316000000,0.184000000,684,39,32,False
1,0,320,680,0.320000000,0.180000000,680,15,8,False
5,3,320,680,0.320000000,0.180000000,680,44,43,False
8,4,321,679,0.321000000,0.179000000,679,67,68,False
11,7,322,678,0.322000000,0.178000000,678,88,95,False
0,2,330,670,0.330000000,0.170000000,670,5,2,False
15,6,332,668,0.332000000,0.168000000,668,121,126,False
11,0,333,667,0.333000000,0.167000000,667,95,88,False
12,0,333,667,0.333000000,0.167000000,667,103,96,False
6,6,334,666,0.334000000,0.166000000,666,49,54,False
15,1,336,664,0.336000000,0.164000000,664,126,121,False
108,0,336,664,0.336000000,0.164000000,664,871,864,False
118,6,336,664,0.336000000,0.164000000,664,945,950,False
19,2,337,663,0.337000000,0.163000000,663,157,154,False
2,1,339,661,0.339000000,0.161000000,661,22,17,False
10,7,340,660,0.340000000,0.160000000,660,80,87,False
3,1,341,659,0.341000000,0.159000000,659,30,25,False
13,0,341,659,0.341000000,0.159000000,659,111,104,False
37,0,341,659,0.341000000,0.159000000,659,303,296,False
87,2,341,659,0.341000000,0.159000000,659,701,698,False
14,0,342,658,0.342000000,0.158000000,658,119,112,False
2,5,343,657,0.343000000,0.157000000,657,18,21,False
