"label","group","name","ref_name","loc","bel","site","tile","clock_region","is_placed","is_bel_fixed","is_loc_fixed"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[0].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y32","SLICEM.A6LUT","SLICE_X46Y32","CLBLM_R_X31Y32","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[1].u_LUT6_not1/u_LUT6","LUT6","SLICE_X47Y33","SLICEL.A6LUT","SLICE_X47Y33","CLBLM_R_X31Y33","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[2].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y33","SLICEM.A6LUT","SLICE_X46Y33","CLBLM_R_X31Y33","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[3].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y34","SLICEM.A6LUT","SLICE_X46Y34","CLBLM_R_X31Y34","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[4].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y35","SLICEM.A6LUT","SLICE_X46Y35","CLBLM_R_X31Y35","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[5].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y36","SLICEM.A6LUT","SLICE_X46Y36","CLBLM_R_X31Y36","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[6].u_LUT6_not1/u_LUT6","LUT6","SLICE_X46Y37","SLICEM.A6LUT","SLICE_X46Y37","CLBLM_R_X31Y37","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_LOOP[7].u_LUT6_not1/u_LUT6","LUT6","SLICE_X49Y45","SLICEL.A6LUT","SLICE_X49Y45","CLBLL_L_X32Y45","","","0","0"
"compact_w4_baseline","sample_ro","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6","LUT6","SLICE_X46Y34","SLICEM.B6LUT","SLICE_X46Y34","CLBLM_R_X31Y34","","","0","0"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]","FDRE","SLICE_X45Y31","SLICEL.A5FF","SLICE_X45Y31","CLBLL_L_X30Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[1]","FDRE","SLICE_X46Y31","SLICEM.A5FF","SLICE_X46Y31","CLBLM_R_X31Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[2]","FDRE","SLICE_X47Y31","SLICEL.A5FF","SLICE_X47Y31","CLBLM_R_X31Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[3]","FDRE","SLICE_X48Y31","SLICEL.A5FF","SLICE_X48Y31","CLBLL_L_X32Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[4]","FDRE","SLICE_X49Y31","SLICEL.A5FF","SLICE_X49Y31","CLBLL_L_X32Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[5]","FDRE","SLICE_X50Y31","SLICEM.A5FF","SLICE_X50Y31","CLBLM_L_X34Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[6]","FDRE","SLICE_X51Y31","SLICEL.A5FF","SLICE_X51Y31","CLBLM_L_X34Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[7]","FDRE","SLICE_X52Y31","SLICEL.A5FF","SLICE_X52Y31","CLBLL_R_X35Y31","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]","FDRE","SLICE_X45Y32","SLICEL.A5FF","SLICE_X45Y32","CLBLL_L_X30Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[9]","FDRE","SLICE_X46Y32","SLICEM.A5FF","SLICE_X46Y32","CLBLM_R_X31Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[10]","FDRE","SLICE_X47Y32","SLICEL.A5FF","SLICE_X47Y32","CLBLM_R_X31Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[11]","FDRE","SLICE_X48Y32","SLICEL.A5FF","SLICE_X48Y32","CLBLL_L_X32Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[12]","FDRE","SLICE_X49Y32","SLICEL.A5FF","SLICE_X49Y32","CLBLL_L_X32Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[13]","FDRE","SLICE_X50Y32","SLICEM.A5FF","SLICE_X50Y32","CLBLM_L_X34Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[14]","FDRE","SLICE_X51Y32","SLICEL.A5FF","SLICE_X51Y32","CLBLM_L_X34Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[15]","FDRE","SLICE_X52Y32","SLICEL.A5FF","SLICE_X52Y32","CLBLL_R_X35Y32","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]","FDRE","SLICE_X45Y33","SLICEL.A5FF","SLICE_X45Y33","CLBLL_L_X30Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[17]","FDRE","SLICE_X46Y33","SLICEM.A5FF","SLICE_X46Y33","CLBLM_R_X31Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[18]","FDRE","SLICE_X47Y33","SLICEL.A5FF","SLICE_X47Y33","CLBLM_R_X31Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[19]","FDRE","SLICE_X48Y33","SLICEL.A5FF","SLICE_X48Y33","CLBLL_L_X32Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[20]","FDRE","SLICE_X49Y33","SLICEL.A5FF","SLICE_X49Y33","CLBLL_L_X32Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[21]","FDRE","SLICE_X50Y33","SLICEM.A5FF","SLICE_X50Y33","CLBLM_L_X34Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[22]","FDRE","SLICE_X51Y33","SLICEL.A5FF","SLICE_X51Y33","CLBLM_L_X34Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[23]","FDRE","SLICE_X52Y33","SLICEL.A5FF","SLICE_X52Y33","CLBLL_R_X35Y33","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]","FDRE","SLICE_X45Y34","SLICEL.A5FF","SLICE_X45Y34","CLBLL_L_X30Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[25]","FDRE","SLICE_X46Y34","SLICEM.A5FF","SLICE_X46Y34","CLBLM_R_X31Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[26]","FDRE","SLICE_X47Y34","SLICEL.A5FF","SLICE_X47Y34","CLBLM_R_X31Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[3].sampled_data_reg[27]","FDRE","SLICE_X48Y34","SLICEL.A5FF","SLICE_X48Y34","CLBLL_L_X32Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[4].sampled_data_reg[28]","FDRE","SLICE_X49Y34","SLICEL.A5FF","SLICE_X49Y34","CLBLL_L_X32Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[5].sampled_data_reg[29]","FDRE","SLICE_X50Y34","SLICEM.A5FF","SLICE_X50Y34","CLBLM_L_X34Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[6].sampled_data_reg[30]","FDRE","SLICE_X51Y34","SLICEL.A5FF","SLICE_X51Y34","CLBLM_L_X34Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[7].sampled_data_reg[31]","FDRE","SLICE_X52Y34","SLICEL.A5FF","SLICE_X52Y34","CLBLL_R_X35Y34","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32]","FDRE","SLICE_X45Y35","SLICEL.A5FF","SLICE_X45Y35","CLBLL_L_X30Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[1].sampled_data_reg[33]","FDRE","SLICE_X46Y35","SLICEM.A5FF","SLICE_X46Y35","CLBLM_R_X31Y35","","","0","1"
"compact_w4_baseline","sampled_data_regs","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[2].sampled_data_reg[34]","FDRE","SLICE_X47Y35","SLICEL.A5FF","SLICE_X47Y35","CLBLM_R_X31Y35","","","0","1"
