label_a,label_b,group,net,pips_a,pips_b,nodes_a,nodes_b,route_changed,drivers_a,drivers_b,loads_a,loads_b
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en,56,54,57,55,True,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0],5,5,6,6,False,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0],43,37,44,38,True,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0],43,37,44,38,True,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/out[0],5,5,6,6,False,,,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/en,56,54,57,55,True,,,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/in0[0],4,4,5,5,False,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/out[0],40,41,41,42,True,,,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0],40,41,41,42,True,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/out[0],4,4,5,5,False,,,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_STAGE_LOOP[0].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/en,56,54,57,55,True,,,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/in0[0],4,5,5,6,True,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/out[0],44,44,45,45,True,,,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0],44,44,45,45,True,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1,,
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/out[0],4,5,5,6,True,,,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[2].RO_STAGE_LOOP[0].u_LUT6_not1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/<const0>,932,933,989,991,False,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/en,56,54,57,55,True,,,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1
compact_w4_baseline,forward_w4_formal_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/in0[0],4,4,5,5,False,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1,,
