label_a,label_b,group,net,pips_a,pips_b,nodes_a,nodes_b,route_changed,drivers_a,drivers_b,loads_a,loads_b
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>,930,922,985,975,True,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en,53,39,54,40,True,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0],6,5,7,6,True,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,,
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0],37,40,38,41,True,,,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/<const0>,930,922,985,975,True,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/GND,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/in0[0],37,40,38,41,True,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,,
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/out[0],6,5,7,6,True,,,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1,u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6 u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/<const0>,930,922,985,975,True,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/GND,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/en,53,39,54,40,True,,,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1
formal_w4_baseline,reverse_w4_compact_sample,data_ro_net,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/in0[0],4,5,5,6,True,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6 u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1,,
