"label","net","group","to_pin","fast_min","fast_max","slow_min","slow_max","estimated"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I2","0","0","0","0","1"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I3","0","0","0","0","1"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I4","0","0","0","0","1"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I5","0","0","0","0","1"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_fifo_generator_0_i_1/I0","731","852","1269","1507","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[1].RO_AND.u_LUT6_and2_1/u_LUT6/I0","557","654","1003","1201","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[2].RO_AND.u_LUT6_and2_1/u_LUT6/I0","701","821","1209","1444","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[3].RO_AND.u_LUT6_and2_1/u_LUT6/I0","430","512","768","929","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[4].RO_AND.u_LUT6_and2_1/u_LUT6/I0","551","650","986","1184","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[5].RO_AND.u_LUT6_and2_1/u_LUT6/I0","554","655","973","1170","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[6].RO_AND.u_LUT6_and2_1/u_LUT6/I0","620","728","1125","1348","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[7].RO_AND.u_LUT6_and2_1/u_LUT6/I0","484","575","879","1061","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_SAMPLE_NAND.u_LUT6_nand2_1/u_LUT6/I0","497","589","877","1057","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/en","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I0","693","813","1198","1431","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0","336","403","667","809","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]/D","400","471","658","787","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]/D","308","363","539","649","0"
"reverse_w4_compact_sample","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]/D","178","213","377","458","0"
