window_index,byte_start,byte_end_exclusive,bytes,p1,bit_min_entropy,adjacent_equal_ratio
0,0,1048576,1048576,0.485398530960,0.958472519328,0.501874506697
1,1048576,2097152,1048576,0.485334396362,0.958292727963,0.502241969109
2,2097152,3145728,1048576,0.484084606171,0.954793600771,0.502065420151
3,3145728,4194304,1048576,0.484509587288,0.955982498839,0.501775383949
4,4194304,5242880,1048576,0.485510706902,0.958787041003,0.501771450043
5,5242880,6291456,1048576,0.485037207603,0.957459897862,0.502028703690
6,6291456,7340032,1048576,0.485266923904,0.958103603608,0.502134323120
7,7340032,8388608,1048576,0.484658956528,0.956400596796,0.501708626747
8,8388608,9437184,1048576,0.484946489334,0.957205768297,0.501860618591
9,9437184,10485760,1048576,0.484519362450,0.956009856692,0.501859664917
10,10485760,11534336,1048576,0.484709978104,0.956543438550,0.502163052559
11,11534336,12582912,1048576,0.484499573708,0.955954474259,0.501759767532
12,12582912,13631488,1048576,0.484339118004,0.955505487959,0.502126216888
13,13631488,14680064,1048576,0.484747409821,0.956648242664,0.501880645752
14,14680064,15728640,1048576,0.484704494476,0.956528085721,0.501891016960
15,15728640,16777216,1048576,0.484822750092,0.956859209061,0.501870870590
16,16777216,17825792,1048576,0.484550237656,0.956096270880,0.501867890358
17,17825792,18874368,1048576,0.484794616699,0.956780426860,0.501769304276
18,18874368,19922944,1048576,0.484662294388,0.956409941151,0.502116560936
19,19922944,20971520,1048576,0.484880685806,0.957021460536,0.501459002495
