window_index,byte_start,byte_end_exclusive,bytes,p1,bit_min_entropy,adjacent_equal_ratio
0,0,1048576,1048576,0.500033855438,0.999902317161,0.499874889836
1,1048576,2097152,1048576,0.500010848045,0.999968699497,0.499885320663
2,2097152,3145728,1048576,0.499831438065,0.999513715028,0.499950885773
3,3145728,4194304,1048576,0.500091910362,0.999734827124,0.499747753143
4,4194304,5242880,1048576,0.500137925148,0.999602087026,0.500054717064
5,5242880,6291456,1048576,0.499947428703,0.999848319276,0.500065922737
6,6291456,7340032,1048576,0.499979734421,0.999941527084,0.500304818153
7,7340032,8388608,1048576,0.500140070915,0.999595897371,0.499899506569
8,8388608,9437184,1048576,0.500288248062,0.999168531547,0.499932408333
9,9437184,10485760,1048576,0.500057101250,0.999835250028,0.499984622002
10,10485760,11534336,1048576,0.500154972076,0.999552914390,0.500094413757
11,11534336,12582912,1048576,0.500235557556,0.999320484616,0.500099420547
12,12582912,13631488,1048576,0.500041365623,0.999880648977,0.499984979630
13,13631488,14680064,1048576,0.500003576279,0.999989681078,0.500115752220
14,14680064,15728640,1048576,0.500093102455,0.999731388107,0.499951601028
15,15728640,16777216,1048576,0.499998211861,0.999994840530,0.499847888947
16,16777216,17825792,1048576,0.499805212021,0.999438070147,0.499999523163
17,17825792,18874368,1048576,0.500180125237,0.999480362023,0.499850153923
18,18874368,19922944,1048576,0.500189781189,0.999452511136,0.499901056290
19,19922944,20971520,1048576,0.499794483185,0.999407125657,0.500103116035
