warmup_bytes,repeat_tag,bit_order,ea_status,h_i,x_cutoff,x_max,overall_p1,row_ones_std,worst_byte_index,worst_bit_index,worst_x,worst_p1,worst_msb_expanded_column,worst_lsb_expanded_column,xadc_status,xadc_before_temperature_c,xadc_after_temperature_c,xadc_after_vccint_v,restart_input_sha256
0,run01,lsb,failed,0.999451,572,756,0.499146,16.38373229761766,1,6,756,0.756000000,9,14,ok,47.4,47.6,1.000,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C
0,run01,msb,failed,0.999451,572,756,0.499146,16.38373229761766,1,6,756,0.756000000,9,14,ok,47.4,47.6,1.000,0EAF8F4FC51B6F76F14CDD7BBB654A8D07D5D75895589DCB83D7F191FCFBEA5C
0,run02,lsb,failed,0.999451,572,802,0.498425,16.084289695227454,1,7,802,0.802000000,8,15,ok,47.6,47.4,1.000,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05
0,run02,msb,failed,0.999451,572,802,0.498425,16.084289695227454,1,7,802,0.802000000,8,15,ok,47.6,47.4,1.000,9F0C124FA540775CC874F3371C7CBE24B59B67D289B22529F5FA196DF69E2A05
4,repeat02,lsb,failed,0.999451,572,733,0.407103,17.10135640819172,0,2,733,0.267000000,5,2,ok,47.4,47.4,1.000,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74
4,repeat02,msb,failed,0.999451,572,733,0.407103,17.10135640819172,0,2,733,0.267000000,5,2,ok,47.4,47.4,1.000,FE3A6F6BF09C55B88AB96007CF582B6739A298FB324B49FA9207B0EACEE39A74
4,sweep01,lsb,failed,0.999451,572,751,0.40797,16.70865344664255,1,6,751,0.249000000,9,14,ok,47.5,47.2,1.000,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF
4,sweep01,msb,failed,0.999451,572,751,0.40797,16.70865344664255,1,6,751,0.249000000,9,14,ok,47.5,47.2,1.000,28DF13CEA8B2125539D74EF51DFBCC1F7299DBD4C48F30F52E070D90DC1250BF
5,edge01,lsb,passed,0.999451,572,560,0.497894,16.020822825310816,111,2,558,0.442000000,893,890,ok,47.2,47.5,1.000,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B
5,edge01,msb,passed,0.999451,572,560,0.497894,16.020822825310816,111,2,558,0.442000000,893,890,ok,47.2,47.5,1.000,EA1CC46440FC0F02C5FBA68A63830E44F592F2DD8AE3D2B357A6C72489A7905B
5,repeat02,lsb,passed,0.999451,572,561,0.498602,15.916456766504284,104,4,561,0.561000000,835,836,ok,47.4,47.4,1.000,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526
5,repeat02,msb,passed,0.999451,572,561,0.498602,15.916456766504284,104,4,561,0.561000000,835,836,ok,47.4,47.4,1.000,182C00C883749661299294B6ABECC81A14D13F51CB3045BAAB7552D126DFC526
6,passband01,lsb,passed,0.999451,572,551,0.49628,16.491197652080942,24,4,551,0.449000000,195,196,ok,47.4,47.5,1.000,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615
6,passband01,msb,passed,0.999451,572,551,0.49628,16.491197652080942,24,4,551,0.449000000,195,196,ok,47.4,47.5,1.000,7B584BEFF0E1DB252C332D76C7780DD8E5C680FF89D45550A58D0E4DFE382615
6,repeat02,lsb,passed,0.999451,572,554,0.497339,15.679479551311644,108,7,554,0.446000000,864,871,ok,47.5,47.5,1.000,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60
6,repeat02,msb,passed,0.999451,572,554,0.497339,15.679479551311644,108,7,554,0.446000000,864,871,ok,47.5,47.5,1.000,E56EAEBE9CB209724C8FA5728CA77B9FBA76CB302BFC6746D3FBCB7C549D3D60
8,repeat02,lsb,passed,0.999451,572,566,0.484294,16.320219483818224,0,3,558,0.442000000,4,3,ok,47.5,47.4,1.000,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988
8,repeat02,msb,passed,0.999451,572,566,0.484294,16.320219483818224,0,3,558,0.442000000,4,3,ok,47.5,47.4,1.000,1F98799F76B7A30D691AA4C30B480A3F3D42EC46ADF83814C4CD04EC4E71B988
8,sweep01,lsb,passed,0.999451,572,566,0.482728,15.795569505402456,83,0,564,0.436000000,671,664,ok,47.2,47.4,1.001,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077
8,sweep01,msb,passed,0.999451,572,566,0.482728,15.795569505402456,83,0,564,0.436000000,671,664,ok,47.2,47.4,1.001,BD684BF2AEACC4693B5FB0AA6770D6A4B9E93E7AF45E5245F4A7CD3913D0D077
