label,byte_index,byte_phase_mod8,ones,zeros,p1,abs_bias,entropy,min_entropy
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,0,0,3159,4841,0.394875000,0.105125000,0.967873603,0.724694906
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,1,1,3301,4699,0.412625000,0.087375000,0.977858298,0.767646232
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,2,2,3085,4915,0.385625000,0.114375000,0.961918091,0.702808583
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,3,3,3297,4703,0.412125000,0.087875000,0.977602829,0.766418668
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,4,4,3380,4620,0.422500000,0.077500000,0.982599557,0.792107148
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,5,5,3203,4797,0.400375000,0.099625000,0.971169533,0.737867560
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,6,6,3148,4852,0.393500000,0.106500000,0.967021117,0.721420450
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,7,7,3190,4810,0.398750000,0.101250000,0.970214693,0.733963106
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,8,0,3233,4767,0.404125000,0.095875000,0.973312480,0.746918375
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,9,1,3310,4690,0.413750000,0.086250000,0.978427664,0.770412077
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,10,2,3164,4836,0.395500000,0.104500000,0.968257322,0.726185755
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,11,3,3258,4742,0.407250000,0.092750000,0.975033901,0.754504337
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,12,4,3272,4728,0.409000000,0.091000000,0.975972395,0.758769964
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,13,5,3366,4634,0.420750000,0.079250000,0.981801477,0.787741956
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,14,6,3256,4744,0.407000000,0.093000000,0.974898337,0.753895990
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,15,7,3367,4633,0.420875000,0.079125000,0.981859084,0.788053318
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,16,0,3188,4812,0.398500000,0.101500000,0.970066385,0.733363357
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,17,1,3223,4777,0.402875000,0.097125000,0.972607538,0.743895123
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,18,2,3288,4712,0.411000000,0.089000000,0.977022579,0.763660461
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,19,3,3236,4764,0.404500000,0.095500000,0.973522137,0.747826587
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,20,4,3250,4750,0.406250000,0.093750000,0.974489403,0.752072487
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,21,5,3224,4776,0.403000000,0.097000000,0.972678454,0.744197163
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,22,6,3292,4708,0.411500000,0.088500000,0.977281398,0.764885680
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,23,7,3273,4727,0.409125000,0.090875000,0.976038730,0.759075135
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,24,0,3181,4819,0.397625000,0.102375000,0.969544344,0.731266199
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,25,1,3237,4763,0.404625000,0.095375000,0.973591836,0.748129451
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,26,2,3220,4780,0.402500000,0.097500000,0.972394229,0.742989382
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,27,3,3245,4755,0.405625000,0.094375000,0.974146055,0.750554659
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,28,4,3155,4845,0.394375000,0.105625000,0.967564930,0.723503334
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,29,5,3225,4775,0.403125000,0.096875000,0.972749276,0.744499267
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,30,6,3246,4754,0.405750000,0.094250000,0.974214912,0.750858097
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,31,7,3283,4717,0.410375000,0.089625000,0.976696959,0.762130399
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,32,0,3260,4740,0.407500000,0.092500000,0.975169092,0.755112941
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,33,1,3356,4644,0.419500000,0.080500000,0.981220323,0.784632028
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,34,2,3266,4734,0.408250000,0.091750000,0.975572423,0.756940294
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,35,3,3203,4797,0.400375000,0.099625000,0.971169533,0.737867560
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,36,4,3237,4763,0.404625000,0.095375000,0.973591836,0.748129451
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,37,5,3310,4690,0.413750000,0.086250000,0.978427664,0.770412077
random1_sampler_regs_only_restart_auto_formal_bits_1000x125_warmup4_header_delay60s_repeat02_20260524,38,6,3159,4841,0.394875000,0.105125000,0.967873603,0.724694906
