label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
regs_only_warmup4_cap1024_run01,2,0,2,577,447,0.563476562,0.063476562
regs_only_warmup4_cap1024_run01,6,0,6,577,447,0.563476562,0.063476562
regs_only_warmup4_cap1024_run01,18,2,2,576,448,0.562500000,0.062500000
regs_only_warmup4_cap1024_run01,10,1,2,575,449,0.561523438,0.061523438
regs_only_warmup4_cap1024_run01,14,1,6,574,450,0.560546875,0.060546875
regs_only_warmup4_cap1024_run01,30,3,6,572,452,0.558593750,0.058593750
regs_only_warmup4_cap1024_run01,22,2,6,571,453,0.557617188,0.057617188
regs_only_warmup4_cap1024_run01,26,3,2,570,454,0.556640625,0.056640625
regs_only_warmup4_cap1024_run01,34,4,2,569,455,0.555664062,0.055664062
regs_only_warmup4_cap1024_run01,42,5,2,569,455,0.555664062,0.055664062
regs_only_warmup4_cap1024_run01,62,7,6,569,455,0.555664062,0.055664062
regs_only_warmup4_cap1024_run01,46,5,6,565,459,0.551757812,0.051757812
regs_only_warmup4_cap1024_run01,7,0,7,561,463,0.547851562,0.047851562
regs_only_warmup4_cap1024_run01,50,6,2,561,463,0.547851562,0.047851562
regs_only_warmup4_cap1024_run01,38,4,6,559,465,0.545898438,0.045898438
regs_only_warmup4_cap1024_run01,15,1,7,558,466,0.544921875,0.044921875
regs_only_warmup4_cap1024_run01,31,3,7,557,467,0.543945312,0.043945312
regs_only_warmup4_cap1024_run01,23,2,7,553,471,0.540039062,0.040039062
regs_only_warmup4_cap1024_run01,58,7,2,553,471,0.540039062,0.040039062
regs_only_warmup4_cap1024_run01,3,0,3,547,477,0.534179688,0.034179688
regs_only_warmup4_cap1024_run01,39,4,7,547,477,0.534179688,0.034179688
regs_only_warmup4_cap1024_run01,47,5,7,545,479,0.532226562,0.032226562
regs_only_warmup4_cap1024_run01,55,6,7,545,479,0.532226562,0.032226562
regs_only_warmup4_cap1024_run01,63,7,7,545,479,0.532226562,0.032226562
regs_only_warmup4_cap1024_run01,5,0,5,544,480,0.531250000,0.031250000
regs_only_warmup4_cap1024_run01,11,1,3,544,480,0.531250000,0.031250000
regs_only_warmup4_cap1024_run01,59,7,3,544,480,0.531250000,0.031250000
regs_only_warmup4_cap1024_run01,19,2,3,542,482,0.529296875,0.029296875
regs_only_warmup4_cap1024_run01,54,6,6,542,482,0.529296875,0.029296875
regs_only_warmup4_cap1024_run01,27,3,3,540,484,0.527343750,0.027343750
regs_only_warmup4_cap1024_run01,33,4,1,537,487,0.524414062,0.024414062
regs_only_warmup4_cap1024_run01,51,6,3,536,488,0.523437500,0.023437500
regs_only_warmup4_cap1024_run01,35,4,3,535,489,0.522460938,0.022460938
regs_only_warmup4_cap1024_run01,4,0,4,532,492,0.519531250,0.019531250
regs_only_warmup4_cap1024_run01,43,5,3,529,495,0.516601562,0.016601562
regs_only_warmup4_cap1024_run01,28,3,4,528,496,0.515625000,0.015625000
regs_only_warmup4_cap1024_run01,12,1,4,526,498,0.513671875,0.013671875
regs_only_warmup4_cap1024_run01,61,7,5,498,526,0.486328125,0.013671875
regs_only_warmup4_cap1024_run01,0,0,0,525,499,0.512695312,0.012695312
regs_only_warmup4_cap1024_run01,25,3,1,525,499,0.512695312,0.012695312
regs_only_warmup4_cap1024_run01,9,1,1,524,500,0.511718750,0.011718750
regs_only_warmup4_cap1024_run01,16,2,0,524,500,0.511718750,0.011718750
regs_only_warmup4_cap1024_run01,21,2,5,524,500,0.511718750,0.011718750
regs_only_warmup4_cap1024_run01,53,6,5,501,523,0.489257812,0.010742188
regs_only_warmup4_cap1024_run01,20,2,4,522,502,0.509765625,0.009765625
regs_only_warmup4_cap1024_run01,36,4,4,522,502,0.509765625,0.009765625
regs_only_warmup4_cap1024_run01,40,5,0,522,502,0.509765625,0.009765625
regs_only_warmup4_cap1024_run01,56,7,0,502,522,0.490234375,0.009765625
regs_only_warmup4_cap1024_run01,13,1,5,521,503,0.508789062,0.008789062
regs_only_warmup4_cap1024_run01,45,5,5,503,521,0.491210938,0.008789062
regs_only_warmup4_cap1024_run01,41,5,1,505,519,0.493164062,0.006835938
regs_only_warmup4_cap1024_run01,1,0,1,517,507,0.504882812,0.004882812
regs_only_warmup4_cap1024_run01,48,6,0,507,517,0.495117188,0.004882812
regs_only_warmup4_cap1024_run01,49,6,1,507,517,0.495117188,0.004882812
regs_only_warmup4_cap1024_run01,60,7,4,517,507,0.504882812,0.004882812
regs_only_warmup4_cap1024_run01,52,6,4,516,508,0.503906250,0.003906250
regs_only_warmup4_cap1024_run01,57,7,1,516,508,0.503906250,0.003906250
regs_only_warmup4_cap1024_run01,29,3,5,515,509,0.502929688,0.002929688
regs_only_warmup4_cap1024_run01,8,1,0,514,510,0.501953125,0.001953125
regs_only_warmup4_cap1024_run01,24,3,0,510,514,0.498046875,0.001953125
regs_only_warmup4_cap1024_run01,32,4,0,510,514,0.498046875,0.001953125
regs_only_warmup4_cap1024_run01,37,4,5,514,510,0.501953125,0.001953125
regs_only_warmup4_cap1024_run01,17,2,1,511,513,0.499023438,0.000976562
regs_only_warmup4_cap1024_run01,44,5,4,512,512,0.500000000,0.000000000
