label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
regs_only_warmup4_cap64_smoke01,48,6,0,39,25,0.609375000,0.109375000
regs_only_warmup4_cap64_smoke01,51,6,3,39,25,0.609375000,0.109375000
regs_only_warmup4_cap64_smoke01,6,0,6,38,26,0.593750000,0.093750000
regs_only_warmup4_cap64_smoke01,10,1,2,38,26,0.593750000,0.093750000
regs_only_warmup4_cap64_smoke01,14,1,6,38,26,0.593750000,0.093750000
regs_only_warmup4_cap64_smoke01,58,7,2,37,27,0.578125000,0.078125000
regs_only_warmup4_cap64_smoke01,2,0,2,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,15,1,7,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,18,2,2,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,30,3,6,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,34,4,2,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,42,5,2,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,54,6,6,36,28,0.562500000,0.062500000
regs_only_warmup4_cap64_smoke01,3,0,3,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,7,0,7,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,35,4,3,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,38,4,6,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,39,4,7,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,46,5,6,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,50,6,2,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,63,7,7,35,29,0.546875000,0.046875000
regs_only_warmup4_cap64_smoke01,1,0,1,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,4,0,4,30,34,0.468750000,0.031250000
regs_only_warmup4_cap64_smoke01,5,0,5,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,12,1,4,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,13,1,5,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,20,2,4,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,22,2,6,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,23,2,7,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,25,3,1,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,26,3,2,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,28,3,4,30,34,0.468750000,0.031250000
regs_only_warmup4_cap64_smoke01,31,3,7,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,36,4,4,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,37,4,5,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,45,5,5,30,34,0.468750000,0.031250000
regs_only_warmup4_cap64_smoke01,59,7,3,34,30,0.531250000,0.031250000
regs_only_warmup4_cap64_smoke01,8,1,0,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,9,1,1,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,11,1,3,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,17,2,1,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,19,2,3,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,21,2,5,31,33,0.484375000,0.015625000
regs_only_warmup4_cap64_smoke01,27,3,3,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,29,3,5,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,33,4,1,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,40,5,0,31,33,0.484375000,0.015625000
regs_only_warmup4_cap64_smoke01,43,5,3,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,44,5,4,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,47,5,7,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,52,6,4,31,33,0.484375000,0.015625000
regs_only_warmup4_cap64_smoke01,53,6,5,31,33,0.484375000,0.015625000
regs_only_warmup4_cap64_smoke01,55,6,7,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,57,7,1,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,60,7,4,33,31,0.515625000,0.015625000
regs_only_warmup4_cap64_smoke01,0,0,0,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,16,2,0,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,24,3,0,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,32,4,0,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,41,5,1,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,49,6,1,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,56,7,0,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,61,7,5,32,32,0.500000000,0.000000000
regs_only_warmup4_cap64_smoke01,62,7,6,32,32,0.500000000,0.000000000
