label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
regs_only_warmup5_cap64_xpm_regress01,18,2,2,38,26,0.593750000,0.093750000
regs_only_warmup5_cap64_xpm_regress01,26,3,2,38,26,0.593750000,0.093750000
regs_only_warmup5_cap64_xpm_regress01,7,0,7,37,27,0.578125000,0.078125000
regs_only_warmup5_cap64_xpm_regress01,14,1,6,37,27,0.578125000,0.078125000
regs_only_warmup5_cap64_xpm_regress01,6,0,6,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,30,3,6,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,34,4,2,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,43,5,3,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,46,5,6,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,55,6,7,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,58,7,2,36,28,0.562500000,0.062500000
regs_only_warmup5_cap64_xpm_regress01,2,0,2,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,3,0,3,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,4,0,4,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,9,1,1,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,10,1,2,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,11,1,3,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,15,1,7,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,22,2,6,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,23,2,7,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,27,3,3,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,28,3,4,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,35,4,3,29,35,0.453125000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,47,5,7,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,52,6,4,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,59,7,3,35,29,0.546875000,0.046875000
regs_only_warmup5_cap64_xpm_regress01,5,0,5,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,17,2,1,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,29,3,5,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,38,4,6,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,41,5,1,30,34,0.468750000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,42,5,2,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,54,6,6,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,61,7,5,30,34,0.468750000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,62,7,6,34,30,0.531250000,0.031250000
regs_only_warmup5_cap64_xpm_regress01,0,0,0,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,8,1,0,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,16,2,0,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,19,2,3,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,25,3,1,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,31,3,7,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,33,4,1,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,36,4,4,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,37,4,5,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,48,6,0,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,49,6,1,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,50,6,2,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,51,6,3,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,53,6,5,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,56,7,0,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,57,7,1,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,60,7,4,31,33,0.484375000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,63,7,7,33,31,0.515625000,0.015625000
regs_only_warmup5_cap64_xpm_regress01,1,0,1,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,12,1,4,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,13,1,5,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,20,2,4,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,21,2,5,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,24,3,0,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,32,4,0,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,39,4,7,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,40,5,0,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,44,5,4,32,32,0.500000000,0.000000000
regs_only_warmup5_cap64_xpm_regress01,45,5,5,32,32,0.500000000,0.000000000
