label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
restart_aligned_bits_regs_only_warmup88_cap1024_run01,24,3,0,22,1002,0.021484375,0.478515625
restart_aligned_bits_regs_only_warmup88_cap1024_run01,15,1,7,981,43,0.958007812,0.458007812
restart_aligned_bits_regs_only_warmup88_cap1024_run01,7,0,7,980,44,0.957031250,0.457031250
restart_aligned_bits_regs_only_warmup88_cap1024_run01,32,4,0,50,974,0.048828125,0.451171875
restart_aligned_bits_regs_only_warmup88_cap1024_run01,38,4,6,972,52,0.949218750,0.449218750
restart_aligned_bits_regs_only_warmup88_cap1024_run01,40,5,0,972,52,0.949218750,0.449218750
restart_aligned_bits_regs_only_warmup88_cap1024_run01,26,3,2,969,55,0.946289062,0.446289062
restart_aligned_bits_regs_only_warmup88_cap1024_run01,31,3,7,969,55,0.946289062,0.446289062
restart_aligned_bits_regs_only_warmup88_cap1024_run01,28,3,4,962,62,0.939453125,0.439453125
restart_aligned_bits_regs_only_warmup88_cap1024_run01,59,7,3,77,947,0.075195312,0.424804688
restart_aligned_bits_regs_only_warmup88_cap1024_run01,2,0,2,945,79,0.922851562,0.422851562
restart_aligned_bits_regs_only_warmup88_cap1024_run01,16,2,0,944,80,0.921875000,0.421875000
restart_aligned_bits_regs_only_warmup88_cap1024_run01,44,5,4,83,941,0.081054688,0.418945312
restart_aligned_bits_regs_only_warmup88_cap1024_run01,36,4,4,85,939,0.083007812,0.416992188
restart_aligned_bits_regs_only_warmup88_cap1024_run01,49,6,1,939,85,0.916992188,0.416992188
restart_aligned_bits_regs_only_warmup88_cap1024_run01,55,6,7,938,86,0.916015625,0.416015625
restart_aligned_bits_regs_only_warmup88_cap1024_run01,4,0,4,937,87,0.915039062,0.415039062
restart_aligned_bits_regs_only_warmup88_cap1024_run01,25,3,1,937,87,0.915039062,0.415039062
restart_aligned_bits_regs_only_warmup88_cap1024_run01,62,7,6,935,89,0.913085938,0.413085938
restart_aligned_bits_regs_only_warmup88_cap1024_run01,14,1,6,929,95,0.907226562,0.407226562
restart_aligned_bits_regs_only_warmup88_cap1024_run01,58,7,2,112,912,0.109375000,0.390625000
restart_aligned_bits_regs_only_warmup88_cap1024_run01,1,0,1,910,114,0.888671875,0.388671875
restart_aligned_bits_regs_only_warmup88_cap1024_run01,33,4,1,117,907,0.114257812,0.385742188
restart_aligned_bits_regs_only_warmup88_cap1024_run01,8,1,0,906,118,0.884765625,0.384765625
restart_aligned_bits_regs_only_warmup88_cap1024_run01,21,2,5,127,897,0.124023438,0.375976562
restart_aligned_bits_regs_only_warmup88_cap1024_run01,34,4,2,128,896,0.125000000,0.375000000
restart_aligned_bits_regs_only_warmup88_cap1024_run01,53,6,5,895,129,0.874023438,0.374023438
restart_aligned_bits_regs_only_warmup88_cap1024_run01,11,1,3,131,893,0.127929688,0.372070312
restart_aligned_bits_regs_only_warmup88_cap1024_run01,61,7,5,881,143,0.860351562,0.360351562
