label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
restart_aligned_regs_only_warmup4_cap1024_run01,1,0,1,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,3,0,3,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,6,0,6,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,7,0,7,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,11,1,3,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,19,2,3,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,22,2,6,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,23,2,7,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,27,3,3,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,30,3,6,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,33,4,1,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,35,4,3,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,43,5,3,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,49,6,1,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,50,6,2,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,51,6,3,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,54,6,6,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,62,7,6,1024,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,63,7,7,0,1024,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap1024_run01,0,0,0,1023,1,0.999023438,0.499023438
restart_aligned_regs_only_warmup4_cap1024_run01,2,0,2,1023,1,0.999023438,0.499023438
restart_aligned_regs_only_warmup4_cap1024_run01,4,0,4,1,1023,0.000976562,0.499023438
restart_aligned_regs_only_warmup4_cap1024_run01,5,0,5,1023,1,0.999023438,0.499023438
restart_aligned_regs_only_warmup4_cap1024_run01,8,1,0,1023,1,0.999023438,0.499023438
restart_aligned_regs_only_warmup4_cap1024_run01,9,1,1,1023,1,0.999023438,0.499023438
