label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
restart_aligned_regs_only_warmup4_cap64_smoke01,1,0,1,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,2,0,2,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,5,0,5,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,6,0,6,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,7,0,7,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,12,1,4,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,13,1,5,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,14,1,6,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,15,1,7,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,20,2,4,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,22,2,6,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,26,3,2,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,28,3,4,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,32,4,0,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,33,4,1,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,34,4,2,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,37,4,5,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,38,4,6,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,39,4,7,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,40,5,0,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,41,5,1,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,45,5,5,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,46,5,6,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,47,5,7,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,48,6,0,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,49,6,1,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,52,6,4,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,54,6,6,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,56,7,0,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,60,7,4,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,61,7,5,64,0,1.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,62,7,6,0,64,0.000000000,0.500000000
restart_aligned_regs_only_warmup4_cap64_smoke01,0,0,0,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,3,0,3,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,4,0,4,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,8,1,0,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,9,1,1,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,10,1,2,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,11,1,3,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,16,2,0,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,17,2,1,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,18,2,2,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,19,2,3,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,23,2,7,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,24,3,0,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,25,3,1,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,27,3,3,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,29,3,5,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,30,3,6,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,31,3,7,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,35,4,3,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,36,4,4,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,42,5,2,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,43,5,3,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,44,5,4,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,51,6,3,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,55,6,7,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,57,7,1,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,58,7,2,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,59,7,3,63,1,0.984375000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,63,7,7,1,63,0.015625000,0.484375000
restart_aligned_regs_only_warmup4_cap64_smoke01,50,6,2,53,11,0.828125000,0.328125000
restart_aligned_regs_only_warmup4_cap64_smoke01,53,6,5,53,11,0.828125000,0.328125000
restart_aligned_regs_only_warmup4_cap64_smoke01,21,2,5,14,50,0.218750000,0.281250000
