label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,33,4,1,8192,0,1.000000000,0.500000000
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,47,5,7,8192,0,1.000000000,0.500000000
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,57,7,1,8192,0,1.000000000,0.500000000
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,23,2,7,8191,1,0.999877930,0.499877930
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,49,6,1,52,8140,0.006347656,0.493652344
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,31,3,7,95,8097,0.011596680,0.488403320
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,9,1,1,8082,110,0.986572266,0.486572266
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,41,5,1,119,8073,0.014526367,0.485473633
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,1,0,1,148,8044,0.018066406,0.481933594
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,55,6,7,177,8015,0.021606445,0.478393555
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,17,2,1,622,7570,0.075927734,0.424072266
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,7,0,7,1168,7024,0.142578125,0.357421875
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,10,1,2,6861,1331,0.837524414,0.337524414
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,34,4,2,6566,1626,0.801513672,0.301513672
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,15,1,7,1896,6296,0.231445312,0.268554688
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,63,7,7,5751,2441,0.702026367,0.202026367
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,24,3,0,2605,5587,0.317993164,0.182006836
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,58,7,2,5464,2728,0.666992188,0.166992188
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,62,7,6,5359,2833,0.654174805,0.154174805
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,48,6,0,5357,2835,0.653930664,0.153930664
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,30,3,6,5272,2920,0.643554688,0.143554688
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,38,4,6,5254,2938,0.641357422,0.141357422
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,19,2,3,5204,2988,0.635253906,0.135253906
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,43,5,3,5155,3037,0.629272461,0.129272461
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,8,1,0,5070,3122,0.618896484,0.118896484
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,2,0,2,3190,5002,0.389404297,0.110595703
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,3,0,3,4937,3255,0.602661133,0.102661133
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,21,2,5,4924,3268,0.601074219,0.101074219
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,61,7,5,3281,4911,0.400512695,0.099487305
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,18,2,2,3300,4892,0.402832031,0.097167969
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,45,5,5,4806,3386,0.586669922,0.086669922
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,16,2,0,4800,3392,0.585937500,0.085937500
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,27,3,3,3396,4796,0.414550781,0.085449219
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,26,3,2,3409,4783,0.416137695,0.083862305
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,13,1,5,3425,4767,0.418090820,0.081909180
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,5,0,5,4694,3498,0.572998047,0.072998047
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,40,5,0,4673,3519,0.570434570,0.070434570
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,42,5,2,3529,4663,0.430786133,0.069213867
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,37,4,5,3534,4658,0.431396484,0.068603516
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,53,6,5,3570,4622,0.435791016,0.064208984
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,56,7,0,4580,3612,0.559082031,0.059082031
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,0,0,0,4559,3633,0.556518555,0.056518555
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,29,3,5,3721,4471,0.454223633,0.045776367
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,32,4,0,3785,4407,0.462036133,0.037963867
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,28,3,4,4396,3796,0.536621094,0.036621094
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,25,3,1,3828,4364,0.467285156,0.032714844
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,12,1,4,4335,3857,0.529174805,0.029174805
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,4,0,4,4323,3869,0.527709961,0.027709961
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,35,4,3,3901,4291,0.476196289,0.023803711
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,60,7,4,4281,3911,0.522583008,0.022583008
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,52,6,4,4276,3916,0.521972656,0.021972656
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,6,0,6,4237,3955,0.517211914,0.017211914
