label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,18,2,2,4840,3352,0.590820312,0.090820312
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,14,1,6,4674,3518,0.570556641,0.070556641
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,10,1,2,4671,3521,0.570190430,0.070190430
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,42,5,2,4668,3524,0.569824219,0.069824219
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,30,3,6,4656,3536,0.568359375,0.068359375
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,2,0,2,4654,3538,0.568115234,0.068115234
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,62,7,6,4605,3587,0.562133789,0.062133789
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,6,0,6,4585,3607,0.559692383,0.059692383
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,46,5,6,4560,3632,0.556640625,0.056640625
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,22,2,6,4558,3634,0.556396484,0.056396484
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,26,3,2,4547,3645,0.555053711,0.055053711
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,7,0,7,4517,3675,0.551391602,0.051391602
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,34,4,2,4507,3685,0.550170898,0.050170898
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,38,4,6,4502,3690,0.549560547,0.049560547
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,15,1,7,4501,3691,0.549438477,0.049438477
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,50,6,2,4465,3727,0.545043945,0.045043945
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,11,1,3,4461,3731,0.544555664,0.044555664
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,31,3,7,4459,3733,0.544311523,0.044311523
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,23,2,7,4457,3735,0.544067383,0.044067383
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,39,4,7,4436,3756,0.541503906,0.041503906
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,3,0,3,4411,3781,0.538452148,0.038452148
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,58,7,2,4406,3786,0.537841797,0.037841797
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,55,6,7,4399,3793,0.536987305,0.036987305
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,63,7,7,4398,3794,0.536865234,0.036865234
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,27,3,3,4384,3808,0.535156250,0.035156250
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,35,4,3,4378,3814,0.534423828,0.034423828
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,47,5,7,4375,3817,0.534057617,0.034057617
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,54,6,6,4370,3822,0.533447266,0.033447266
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,59,7,3,4356,3836,0.531738281,0.031738281
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,51,6,3,4355,3837,0.531616211,0.031616211
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,19,2,3,4325,3867,0.527954102,0.027954102
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,5,0,5,4322,3870,0.527587891,0.027587891
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,1,0,1,4287,3905,0.523315430,0.023315430
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,61,7,5,3937,4255,0.480590820,0.019409180
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,17,2,1,4248,3944,0.518554688,0.018554688
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,28,3,4,4241,3951,0.517700195,0.017700195
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,21,2,5,4238,3954,0.517333984,0.017333984
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,12,1,4,4235,3957,0.516967773,0.016967773
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,4,0,4,4232,3960,0.516601562,0.016601562
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,0,0,0,4229,3963,0.516235352,0.016235352
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,20,2,4,4225,3967,0.515747070,0.015747070
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,9,1,1,4219,3973,0.515014648,0.015014648
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,33,4,1,4216,3976,0.514648438,0.014648438
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,43,5,3,4214,3978,0.514404297,0.014404297
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,25,3,1,4192,4000,0.511718750,0.011718750
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,8,1,0,4176,4016,0.509765625,0.009765625
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,36,4,4,4175,4017,0.509643555,0.009643555
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,52,6,4,4172,4020,0.509277344,0.009277344
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,13,1,5,4170,4022,0.509033203,0.009033203
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,16,2,0,4169,4023,0.508911133,0.008911133
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,44,5,4,4166,4026,0.508544922,0.008544922
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,53,6,5,4029,4163,0.491821289,0.008178711
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,49,6,1,4158,4034,0.507568359,0.007568359
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,29,3,5,4157,4035,0.507446289,0.007446289
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,57,7,1,4151,4041,0.506713867,0.006713867
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,41,5,1,4149,4043,0.506469727,0.006469727
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,60,7,4,4145,4047,0.505981445,0.005981445
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,37,4,5,4061,4131,0.495727539,0.004272461
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,32,4,0,4129,4063,0.504028320,0.004028320
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,56,7,0,4065,4127,0.496215820,0.003784180
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,24,3,0,4126,4066,0.503662109,0.003662109
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,48,6,0,4078,4114,0.497802734,0.002197266
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,40,5,0,4108,4084,0.501464844,0.001464844
restart_byte_snapshot_bits_regs_only_warmup88_cap1024_fixed_run01,45,5,5,4086,4106,0.498779297,0.001220703
