label,input,sha256,decode_status,decode_error,formal_warmup_bytes,snapshot_warmup_bits,restart_ref_status,byte_pos,samples,rand_p1,rand_abs_bias,rand_entropy,rand_min_entropy,stage_xor_entropy,stage_xor_min_entropy,sampled_fixed_bits,sampled_heavy_bits,worst_sampled_bit,worst_sampled_p1,worst_sampled_abs_bias,bad_marker_rows,invalid_frames
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,0,1024,0.501953125,0.001953125,0.999988993,0.994375451,7.834111947,6.678071905,0,0,10,0.611328125,0.111328125,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,1,1024,0.496093750,0.003906250,0.999955972,0.988772745,7.816731390,6.678071905,0,0,50,0.607421875,0.107421875,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,2,1024,0.500976562,0.000976562,0.999997248,0.997184984,7.806604527,6.540568381,0,0,2,0.623046875,0.123046875,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,3,1024,0.488281250,0.011718750,0.999603716,0.966576998,7.796921272,6.540568381,0,0,2,0.612304688,0.112304688,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,4,1024,0.493164062,0.006835938,0.999865161,0.980409272,7.784732788,6.678071905,0,0,18,0.611328125,0.111328125,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,5,1024,0.504882812,0.004882812,0.999931206,0.985979530,7.819367350,6.415037499,0,0,18,0.615234375,0.115234375,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,6,1024,0.510742188,0.010742188,0.999667016,0.969332864,7.810507303,6.678071905,0,0,18,0.608398438,0.108398438,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_fixed_run01.bin,E7273B172BE31794094E8AC87C33490E7C92BC2637589EC88B46D9FAA6B222AA,decoded,,4,32,fail,7,1024,0.492187500,0.007812500,0.999823883,0.977632187,7.798012797,6.678071905,0,0,18,0.607421875,0.107421875,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,0,1024,0.415039062,0.084960938,0.979070809,0.773587807,7.820416137,6.830074999,0,0,10,0.585937500,0.085937500,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,1,1024,0.430664062,0.069335938,0.986083764,0.812647927,7.794670860,6.415037499,0,0,10,0.583984375,0.083984375,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,2,1024,0.427734375,0.072265625,0.984878663,0.805243146,7.811232712,6.540568381,0,0,2,0.584960938,0.084960938,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,3,1024,0.419921875,0.080078125,0.981417497,0.785680879,7.769559757,6.299560282,0,0,2,0.583984375,0.083984375,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,4,1024,0.418945312,0.081054688,0.980959471,0.783254142,7.804730448,6.540568381,0,0,10,0.589843750,0.089843750,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,5,1024,0.422851562,0.077148438,0.982757700,0.792985680,7.809821840,6.678071905,0,0,2,0.576171875,0.076171875,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,6,1024,0.412109375,0.087890625,0.977594821,0.766380323,7.826537340,6.830074999,0,0,2,0.586914062,0.086914062,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_fixed_run01.bin,759EBC3373382FB45C2F25C138BA4040DD68CDAD97F16DAFDF94282A17F43F37,decoded,,5,40,pass,7,1024,0.454101562,0.045898438,0.993912879,0.873295527,7.806809693,6.415037499,0,0,26,0.583984375,0.083984375,0,0
