label,input,sha256,decode_status,decode_error,formal_warmup_bytes,snapshot_warmup_bits,restart_ref_status,byte_pos,samples,rand_p1,rand_abs_bias,rand_entropy,rand_min_entropy,stage_xor_entropy,stage_xor_min_entropy,sampled_fixed_bits,sampled_heavy_bits,worst_sampled_bit,worst_sampled_p1,worst_sampled_abs_bias,bad_marker_rows,invalid_frames
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,0,1024,0.445312500,0.054687500,0.991353310,0.850252880,6.781844887,5.476438044,15,51,0,1.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,1,1024,0.455078125,0.044921875,0.994169497,0.875878688,6.135918340,4.607682577,21,55,0,1.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,2,1024,0.499023438,0.000976562,0.999997248,0.997184984,6.413220783,4.607682577,20,55,2,0.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,3,1024,0.531250000,0.031250000,0.997180399,0.912537159,7.309787281,5.540568381,14,54,0,0.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,4,1024,0.386718750,0.113281250,0.962649363,0.705379251,6.773866952,5.045803690,15,55,8,0.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,5,1024,0.333984375,0.166015625,0.918945500,0.586372071,7.220907374,5.356143810,16,55,0,1.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,6,1024,0.416015625,0.083984375,0.979551465,0.775998326,7.317765794,5.192645078,13,56,5,1.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup32_cap1024_run01.bin,DCE193C43EBAC4F9A370D2CE08E77E595AD6819241D7AA7CA18CDC943BBB6622,decoded,,4,32,fail,7,1024,0.321289062,0.178710938,0.905777761,0.559130832,7.426382138,5.678071905,14,56,2,1.000000000,0.500000000,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_run01.bin,BBACDBD586B05EE490E3063AA5C4C24F9D712B3B229B29917695A961ED36AF6D,decoded,,5,40,pass,0,1024,0.476562500,0.023437500,0.998414427,0.933910810,6.758200907,5.093109404,0,55,0,0.000976562,0.499023438,0,0
restart_byte_snapshot_bits_regs_only_warmup40_cap1024_run01,E:\Project\MLDSA\RO_TRNG\data\hardware\20260511_fpga1_board1\sampler_snapshot\restart_byte_snapshot_bits_regs_only_warmup40_cap1024_run01.bin,BBACDBD586B05EE490E3063AA5C4C24F9D712B3B229B29917695A961ED36AF6D,decoded,,5,40,pass,1,1024,0.482421875,0.017578125,0.999108258,0.950151451,6.794343984,5.142019005,3,53,6,1.000000000,0.500000000,0,0
