compare,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,delta_abs_pearson,delta_mi_bits,label_abs_pearson,base_abs_pearson,label_mi_bits,base_mi_bits
w10_minus_w5,13,37,1,4,5,5,-0.580152547,-0.799467311,0.398442835,0.978595381,0.117759847,0.917227158
w10_minus_w5,8,16,1,2,0,0,0.652414567,0.775100134,0.953237810,0.300823243,0.841401461,0.066301327
w10_minus_w5,55,63,6,7,7,7,0.815614066,0.685099073,0.888494922,0.072880856,0.688935698,0.003836625
w10_minus_w5,47,55,5,6,7,7,0.484382576,0.656798020,0.926622698,0.442240123,0.802545699,0.145747679
w10_minus_w5,16,40,2,5,0,0,-0.435675032,-0.624100397,0.509755376,0.945430409,0.196542894,0.820643291
w10_minus_w5,31,39,3,4,7,7,0.489151156,0.599387974,0.877171491,0.388020336,0.710585519,0.111197545
w10_minus_w5,1,25,0,3,1,1,0.448349913,0.587049024,0.910071898,0.461721985,0.746921592,0.159872568
w10_minus_w5,16,56,2,7,0,0,-0.619467566,-0.584113199,0.234497814,0.853965380,0.040039748,0.624152947
w10_minus_w5,16,32,2,4,0,0,-0.357417653,-0.566796483,0.595774227,0.953191879,0.273890527,0.840687010
w10_minus_w5,13,21,1,2,5,5,-0.439484476,-0.555837659,0.461002824,0.900487300,0.159263967,0.715101626
w10_minus_w5,23,31,2,3,7,7,0.803318160,0.555145831,0.815752086,0.012433926,0.555257372,0.000111541
w10_minus_w5,15,23,1,2,7,7,0.401650854,0.548065399,0.884082023,0.482431169,0.722580047,0.174514648
w10_minus_w5,0,24,0,3,0,0,-0.345709976,-0.526528754,0.589835733,0.935545709,0.268020726,0.794549479
w10_minus_w5,23,63,2,7,7,7,-0.424930363,-0.523352815,0.459738646,0.884669009,0.158199050,0.681551865
w10_minus_w5,7,47,0,5,7,7,-0.631914246,-0.459698611,0.130245435,0.762159681,0.012266095,0.471964706
w10_minus_w5,19,59,2,7,3,3,-0.317849609,-0.436848624,0.568536570,0.886386179,0.247203235,0.684051859
w10_minus_w5,17,41,2,5,1,1,0.449589747,0.430793964,0.789738033,0.340148286,0.515956722,0.085162758
w10_minus_w5,20,60,2,7,4,4,0.209265375,0.430426276,0.974824672,0.765559297,0.909028926,0.478602651
w10_minus_w5,47,63,5,7,7,7,0.275253781,0.430092343,0.905250581,0.629996800,0.742325487,0.312233144
w10_minus_w5,0,16,0,2,0,0,0.326245002,0.429165571,0.871157500,0.544912498,0.655458479,0.226292908
w10_minus_w5,5,13,0,1,5,5,-0.431539024,-0.428696808,0.363407785,0.794946809,0.097488017,0.526184825
w10_minus_w5,24,32,3,4,0,0,0.314368113,0.424359051,0.876963486,0.562595373,0.666593845,0.242234793
w10_minus_w5,14,38,1,4,6,6,0.230223317,0.407480696,0.946699327,0.716476010,0.816766510,0.409285814
w10_minus_w5,6,46,0,5,6,6,-0.190289431,-0.405695739,0.786277232,0.976566664,0.505598458,0.911294196
w10_minus_w5,32,56,4,7,0,0,-0.262695447,-0.402723237,0.638633409,0.901328856,0.318412533,0.721135770
w10_minus_w5,50,58,6,7,2,2,0.251893879,0.402637003,0.917624075,0.665730196,0.750257395,0.347620392
w10_minus_w5,40,48,5,6,0,0,0.284992569,0.391544159,0.871311046,0.586318477,0.656265612,0.264721454
w10_minus_w5,22,46,2,5,6,6,-0.282767870,-0.387392756,0.524802299,0.807570169,0.213499755,0.600892512
w10_minus_w5,5,37,0,4,5,5,0.192327041,0.385541910,0.965026372,0.772699331,0.876292490,0.490750580
w10_minus_w5,39,47,4,5,7,7,0.586807036,0.381289900,0.700683128,0.113876093,0.390656856,0.009366956
w10_minus_w5,4,60,0,7,4,4,-0.186019682,-0.379023369,0.768176058,0.954195740,0.483249817,0.862273186
w10_minus_w5,29,53,3,6,5,5,0.177734915,0.373381496,0.972683749,0.794948833,0.896472584,0.523091088
w10_minus_w5,12,20,1,2,4,4,-0.426393410,-0.370454416,0.313741664,0.740135074,0.072194390,0.442648806
w10_minus_w5,27,51,3,6,3,3,-0.222609554,-0.360720751,0.663690610,0.886300164,0.352090162,0.712810913
w10_minus_w5,23,39,2,4,7,7,0.240573441,0.356458880,0.863608446,0.623035006,0.663284729,0.306825849
w10_minus_w5,3,59,0,7,3,3,-0.313580630,-0.348067528,0.465937764,0.779518394,0.163227563,0.511295090
w10_minus_w5,7,55,0,6,7,7,-0.529111451,-0.347394244,0.150410798,0.679522249,0.016394721,0.363788965
w10_minus_w5,15,31,1,3,7,7,0.277868810,0.344405353,0.807516123,0.529647313,0.560119465,0.215714113
w10_minus_w5,7,31,0,3,7,7,-0.341080147,-0.341698916,0.399144238,0.740224385,0.118838409,0.460537324
w10_minus_w5,44,52,5,6,4,4,-0.246148681,-0.339767977,0.611258542,0.857407223,0.289447733,0.629215710
w10_minus_w5,2,10,0,1,2,2,0.198620531,0.335938033,0.917149373,0.718528842,0.746302180,0.410364147
