label,category,pair_count,mean_abs_r,median_abs_r,p95_abs_r,p99_abs_r,mean_mi_bits,median_mi_bits,p95_mi_bits,p99_mi_bits
w5,all,2016,0.066235477,0.010852900,0.559011910,0.870139021,0.030609943,0.000084965,0.238409032,0.669175725
w5,same_line,224,0.012782768,0.009533503,0.033242248,0.060102317,0.000227717,0.000065563,0.000797275,0.002610184
w5,same_data_ro,224,0.493097997,0.505072416,0.900247066,0.962566956,0.273632487,0.192998187,0.714758019,0.874304723
w5,diff_line_diff_ro,1568,0.012891219,0.009517003,0.036952004,0.062959382,0.000232754,0.000065337,0.000985368,0.002860732
w10,all,2016,0.073139793,0.011520097,0.591320356,0.877158364,0.034097487,0.000095727,0.269488176,0.686079597
w10,same_line,224,0.015513863,0.011071463,0.047872187,0.083852638,0.000370836,0.000088421,0.001654448,0.005097581
w10,same_data_ro,224,0.537686634,0.569381692,0.905532722,0.962315003,0.304055909,0.247391457,0.742157285,0.868267553
w10,diff_line_diff_ro,1568,0.015008235,0.009833682,0.050375619,0.078494507,0.000350092,0.000069756,0.001831720,0.004448411
w11,all,2016,0.068391844,0.012411529,0.572986625,0.863333907,0.030833955,0.000111129,0.253282474,0.661810711
w11,same_line,224,0.013814686,0.010360117,0.043446069,0.055198036,0.000249009,0.000077424,0.001362473,0.002198329
w11,same_data_ro,224,0.496967271,0.506978246,0.900339611,0.950304796,0.275121023,0.194363854,0.715493752,0.847241028
w11,diff_line_diff_ro,1568,0.014963521,0.010904003,0.047032292,0.062649749,0.000305080,0.000085764,0.001596086,0.002833641
