label,bit,bit_label,line,data_ro,p1,pearson_to_rand,abs_pearson_to_rand,mi_to_rand_bits
w10,53,b53_line6_ro5,6,5,0.493164062,-0.081172768,0.081172768,0.004758774
w10,29,b29_line3_ro5,3,5,0.502929688,0.076731661,0.076731661,0.004251535
w10,25,b25_line3_ro1,3,1,0.498046875,-0.074643481,0.074643481,0.004023007
w10,9,b09_line1_ro1,1,1,0.530273438,0.056985168,0.056985168,0.002344471
w10,1,b01_line0_ro1,0,1,0.534179688,0.053611084,0.053611084,0.002074969
w10,56,b56_line7_ro0,7,0,0.490234375,0.053518823,0.053518823,0.002066944
w10,3,b03_line0_ro3,0,3,0.518554688,-0.046498425,0.046498425,0.001559964
w10,19,b19_line2_ro3,2,3,0.546875000,0.045589058,0.045589058,0.001500342
w10,43,b43_line5_ro3,5,3,0.534179688,-0.044490686,0.044490686,0.001427952
w10,61,b61_line7_ro5,7,5,0.476562500,0.043907283,0.043907283,0.001390854
w10,28,b28_line3_ro4,3,4,0.513671875,0.037067696,0.037067696,0.000991463
w10,45,b45_line5_ro5,5,5,0.497070312,-0.033667115,0.033667115,0.000817801
w10,50,b50_line6_ro2,6,2,0.557617188,0.033338093,0.033338093,0.000802161
w10,52,b52_line6_ro4,6,4,0.508789062,-0.032111659,0.032111659,0.000743917
w10,41,b41_line5_ro1,5,1,0.512695312,0.031061526,0.031061526,0.000696132
w10,46,b46_line5_ro6,5,6,0.553710938,-0.030217054,0.030217054,0.000658557
w10,14,b14_line1_ro6,1,6,0.566406250,0.028667508,0.028667508,0.000593113
w10,58,b58_line7_ro2,7,2,0.541992188,0.027217486,0.027217486,0.000534546
w10,34,b34_line4_ro2,4,2,0.531250000,-0.027212761,0.027212761,0.000534170
w10,59,b59_line7_ro3,7,3,0.527343750,0.027169633,0.027169633,0.000532629
w10,33,b33_line4_ro1,4,1,0.512695312,0.027145372,0.027145372,0.000531639
w10,57,b57_line7_ro1,7,1,0.493164062,-0.026359165,0.026359165,0.000501271
w10,35,b35_line4_ro3,4,3,0.528320312,-0.025633224,0.025633224,0.000473962
w10,36,b36_line4_ro4,4,4,0.505859375,0.024270935,0.024270935,0.000424983
w10,47,b47_line5_ro7,5,7,0.518554688,0.024018193,0.024018193,0.000416200
w10,63,b63_line7_ro7,7,7,0.520507812,-0.022736208,0.022736208,0.000372892
w10,12,b12_line1_ro4,1,4,0.515625000,-0.021420024,0.021420024,0.000330973
w10,18,b18_line2_ro2,2,2,0.570312500,0.021315526,0.021315526,0.000327861
w10,42,b42_line5_ro2,5,2,0.534179688,-0.020946261,0.020946261,0.000316472
w10,48,b48_line6_ro0,6,0,0.485351562,-0.019575214,0.019575214,0.000276445
w10,60,b60_line7_ro4,7,4,0.505859375,-0.018795828,0.018795828,0.000254850
w10,32,b32_line4_ro0,4,0,0.495117188,0.016967888,0.016967888,0.000207690
w10,17,b17_line2_ro1,2,1,0.506835938,-0.016708667,0.016708667,0.000201391
w10,0,b00_line0_ro0,0,0,0.496093750,-0.016180006,0.016180006,0.000188854
w10,13,b13_line1_ro5,1,5,0.500976562,0.013832133,0.013832133,0.000138019
w10,11,b11_line1_ro3,1,3,0.542968750,0.013599506,0.013599506,0.000133429
w10,10,b10_line1_ro2,1,2,0.570312500,0.013407157,0.013407157,0.000129690
w10,38,b38_line4_ro6,4,6,0.555664062,0.013364654,0.013364654,0.000128864
w10,31,b31_line3_ro7,3,7,0.536132812,-0.012841080,0.012841080,0.000118939
w10,26,b26_line3_ro2,3,2,0.545898438,0.012032513,0.012032513,0.000104451
w10,39,b39_line4_ro7,4,7,0.529296875,0.011749569,0.011749569,0.000099592
w10,7,b07_line0_ro7,0,7,0.541992188,0.011502399,0.011502399,0.000095448
w10,20,b20_line2_ro4,2,4,0.516601562,-0.011498687,0.011498687,0.000095375
w10,16,b16_line2_ro0,2,0,0.498046875,0.011484789,0.011484789,0.000095148
w10,62,b62_line7_ro6,7,6,0.562500000,-0.011344289,0.011344289,0.000092823
w10,44,b44_line5_ro4,5,4,0.505859375,-0.010965508,0.010965508,0.000086737
w10,54,b54_line6_ro6,6,6,0.532226562,0.010183069,0.010183069,0.000074806
w10,23,b23_line2_ro7,2,7,0.528320312,-0.009948479,0.009948479,0.000071391
w10,51,b51_line6_ro3,6,3,0.511718750,0.009392202,0.009392202,0.000063635
w10,55,b55_line6_ro7,6,7,0.519531250,-0.009151927,0.009151927,0.000060417
w10,27,b27_line3_ro3,3,3,0.567382812,-0.008727551,0.008727551,0.000054940
w10,2,b02_line0_ro2,0,2,0.554687500,-0.008430895,0.008430895,0.000051270
w10,8,b08_line1_ro0,1,0,0.490234375,0.006531162,0.006531162,0.000030770
w10,40,b40_line5_ro0,5,0,0.497070312,-0.006262405,0.006262405,0.000028290
w10,49,b49_line6_ro1,6,1,0.502929688,-0.005482471,0.005482471,0.000021682
w10,22,b22_line2_ro6,2,6,0.563476562,-0.005295839,0.005295839,0.000020230
w10,6,b06_line0_ro6,0,6,0.565429688,-0.005036324,0.005036324,0.000018296
w10,24,b24_line3_ro0,3,0,0.498046875,0.003654946,0.003654946,0.000009636
w10,37,b37_line4_ro5,4,5,0.500976562,0.002087436,0.002087436,0.000003143
w10,30,b30_line3_ro6,3,6,0.553710938,0.001284359,0.001284359,0.000001190
w10,5,b05_line0_ro5,0,5,0.510742188,-0.000527715,0.000527715,0.000000201
w10,21,b21_line2_ro5,2,5,0.510742188,-0.000527715,0.000527715,0.000000201
w10,15,b15_line1_ro7,1,7,0.533203125,0.000505770,0.000505770,0.000000185
w10,4,b04_line0_ro4,0,4,0.512695312,-0.000267706,0.000267706,0.000000052
