label,group_type,group,num_bits,group_xor_p1,group_xor_entropy,complement_xor_p1,complement_xor_entropy,corr_group_to_rand,mi_group_to_rand_bits
w11,all_bits,all_64,64,0.492187500,0.999823883,0.499023438,0.999997248,0.001983889,0.000002839
w11,data_ro,ro0,8,0.388671875,0.963937112,0.487304688,0.999534909,0.026490541,0.000506284
w11,data_ro,ro1,8,0.527343750,0.997841573,0.487304688,0.999534909,0.025321755,0.000462570
w11,data_ro,ro2,8,0.323242188,0.907872431,0.486328125,0.999460595,0.029969431,0.000648062
w11,data_ro,ro3,8,0.505859375,0.999900936,0.497070312,0.999975234,0.005836899,0.000024576
w11,data_ro,ro4,8,0.585937500,0.978584485,0.506835938,0.999865161,-0.014219194,0.000145852
w11,data_ro,ro5,8,0.174804688,0.668578723,0.515625000,0.999295444,-0.039467833,0.001124701
w11,data_ro,ro6,8,0.522460938,0.998543849,0.451171875,0.993109718,0.097667293,0.006891853
w11,data_ro,ro7,8,0.342773438,0.927448000,0.492187500,0.999823883,0.017106983,0.000211119
w11,line,line0,8,0.532226562,0.997001296,0.492187500,0.999823883,0.015531439,0.000174014
w11,line,line1,8,0.505859375,0.999900936,0.497070312,0.999975234,0.005836899,0.000024576
w11,line,line2,8,0.476562500,0.998414427,0.499023438,0.999997248,0.002046932,0.000003022
w11,line,line3,8,0.471679688,0.997684562,0.498046875,0.999988993,0.004023343,0.000011677
w11,line,line4,8,0.492187500,0.999823883,0.500976562,0.999997248,-0.001922846,0.000002667
w11,line,line5,8,0.515625000,0.999295444,0.491210938,0.999777099,0.017525683,0.000221573
w11,line,line6,8,0.527343750,0.997841573,0.510742188,0.999667016,-0.021623587,0.000337315
w11,line,line7,8,0.476562500,0.998414427,0.491210938,0.999777099,0.017689156,0.000225727
w11,stage_xor,sx0,1,0.532226562,0.997001296,0.492187500,0.999823883,0.015531439,0.000174014
w11,stage_xor,sx1,1,0.505859375,0.999900936,0.497070312,0.999975234,0.005836899,0.000024576
w11,stage_xor,sx2,1,0.476562500,0.998414427,0.499023438,0.999997248,0.002046932,0.000003022
w11,stage_xor,sx3,1,0.471679688,0.997684562,0.498046875,0.999988993,0.004023343,0.000011677
w11,stage_xor,sx4,1,0.492187500,0.999823883,0.500976562,0.999997248,-0.001922846,0.000002667
w11,stage_xor,sx5,1,0.515625000,0.999295444,0.491210938,0.999777099,0.017525683,0.000221573
w11,stage_xor,sx6,1,0.527343750,0.997841573,0.510742188,0.999667016,-0.021623587,0.000337315
w11,stage_xor,sx7,1,0.476562500,0.998414427,0.491210938,0.999777099,0.017689156,0.000225727
