label,bit_i,bit_j,line_i,line_j,data_ro_i,data_ro_j,pearson_r,abs_pearson_r,mi_bits
w5,13,37,1,4,5,5,-0.978595381,0.978595381,0.917227158
w5,6,46,0,5,6,6,0.976566664,0.976566664,0.911294196
w5,11,51,1,6,3,3,0.965067449,0.965067449,0.877898558
w5,4,60,0,7,4,4,-0.954195740,0.954195740,0.862273186
w5,16,32,2,4,0,0,-0.953191879,0.953191879,0.840687010
w5,16,40,2,5,0,0,-0.945430409,0.945430409,0.820643291
w5,0,24,0,3,0,0,-0.935545709,0.935545709,0.794549479
w5,45,61,5,7,5,5,-0.911775984,0.911775984,0.749150742
w5,32,56,4,7,0,0,-0.901328856,0.901328856,0.721135770
w5,3,43,0,5,3,3,0.902122306,0.902122306,0.717066083
w5,33,49,4,6,1,1,-0.900529763,0.900529763,0.715393738
w5,13,21,1,2,5,5,0.900487300,0.900487300,0.715101626
w5,27,51,3,6,3,3,-0.886300164,0.886300164,0.712810913
w5,32,40,4,5,0,0,0.898435057,0.898435057,0.710277157
w5,5,21,0,2,5,5,-0.893694711,0.893694711,0.705411385
w5,11,27,1,3,3,3,-0.873728281,0.873728281,0.704669355
w5,30,62,3,7,6,6,0.898885742,0.898885742,0.704237817
w5,3,19,0,2,3,3,-0.870299992,0.870299992,0.698845330
w5,19,59,2,7,3,3,0.886386179,0.886386179,0.684051859
w5,23,63,2,7,7,7,0.884669009,0.884669009,0.681551865
w5,21,37,2,4,5,5,-0.878883850,0.878883850,0.670263191
w5,15,39,1,4,7,7,-0.848374913,0.848374913,0.663013417
w5,31,55,3,6,7,7,-0.845031314,0.845031314,0.657667954
w5,34,58,4,7,2,2,-0.845031314,0.845031314,0.657667954
w5,41,57,5,7,1,1,-0.869226852,0.869226852,0.651811079
w5,18,58,2,7,2,2,0.868506073,0.868506073,0.648138164
w5,6,38,0,4,6,6,0.862443396,0.862443396,0.636171415
w5,44,52,5,6,4,4,0.857407223,0.857407223,0.629215710
w5,16,56,2,7,0,0,0.853965380,0.853965380,0.624152947
w5,22,62,2,7,6,6,0.857357441,0.857357441,0.623461652
w5,12,36,1,4,4,4,-0.852241577,0.852241577,0.621603554
w5,18,34,2,4,2,2,-0.820440509,0.820440509,0.619912483
w5,22,38,2,4,6,6,-0.817167589,0.817167589,0.614933839
w5,38,46,4,5,6,6,0.850419102,0.850419102,0.613448894
w5,38,62,4,7,6,6,-0.813935968,0.813935968,0.610125298
w5,17,33,2,4,1,1,-0.844453012,0.844453012,0.607469137
w5,22,46,2,5,6,6,-0.807570169,0.807570169,0.600892512
w5,2,26,0,3,2,2,-0.805963339,0.805963339,0.598529788
w5,30,38,3,4,6,6,-0.808373684,0.808373684,0.595639039
w5,1,41,0,5,1,1,0.836050118,0.836050118,0.591156081
w5,6,22,0,2,6,6,-0.788646105,0.788646105,0.573911929
w5,26,42,3,5,2,2,-0.792827456,0.792827456,0.554242453
w5,14,62,1,7,6,6,-0.773150618,0.773150618,0.552490936
w5,14,30,1,3,6,6,-0.771619235,0.771619235,0.550413545
w5,6,62,0,7,6,6,-0.777600400,0.777600400,0.547848386
w5,53,61,6,7,5,5,-0.807637564,0.807637564,0.544983253
w5,40,56,5,7,0,0,-0.799868829,0.799868829,0.532503890
w5,19,43,2,5,3,3,-0.793061682,0.793061682,0.529856413
w5,5,13,0,1,5,5,-0.794946809,0.794946809,0.526184825
w5,29,53,3,6,5,5,-0.794948833,0.794948833,0.523091088
w5,18,42,2,5,2,2,-0.772903773,0.772903773,0.520292787
w5,3,59,0,7,3,3,-0.779518394,0.779518394,0.511295090
w5,48,56,6,7,0,0,0.787076747,0.787076747,0.510802918
w5,4,20,0,2,4,4,-0.782391643,0.782391643,0.505311016
w5,46,62,5,7,6,6,-0.760889596,0.760889596,0.502213404
w5,5,37,0,4,5,5,0.772699331,0.772699331,0.490750580
w5,20,60,2,7,4,4,0.765559297,0.765559297,0.478602651
w5,7,47,0,5,7,7,0.762159681,0.762159681,0.471964706
w5,0,8,0,1,0,0,0.755941198,0.755941198,0.464925495
w5,25,57,3,7,1,1,0.755913271,0.755913271,0.464854413
w5,22,30,2,3,6,6,0.756264236,0.756264236,0.461341138
w5,7,31,0,3,7,7,-0.740224385,0.740224385,0.460537324
w5,28,36,3,4,4,4,0.752225041,0.752225041,0.459864216
w5,17,49,2,6,1,1,0.744312424,0.744312424,0.448681019
w5,12,20,1,2,4,4,0.740135074,0.740135074,0.442648806
w5,14,22,1,2,6,6,-0.716676848,0.716676848,0.439392337
w5,2,42,0,5,2,2,0.729140716,0.729140716,0.424863541
w5,35,59,4,7,3,3,-0.713928558,0.713928558,0.411997421
w5,45,53,5,6,5,5,0.716815934,0.716815934,0.411622709
w5,2,10,0,1,2,2,0.718528842,0.718528842,0.410364147
w5,14,38,1,4,6,6,0.716476010,0.716476010,0.409285814
w5,10,26,1,3,2,2,-0.699242676,0.699242676,0.405334798
w5,1,57,0,7,1,1,-0.705500779,0.705500779,0.397407584
w5,34,50,4,6,2,2,-0.691270618,0.691270618,0.390964097
w5,8,24,1,3,0,0,-0.691509492,0.691509492,0.379707821
w5,6,30,0,3,6,6,-0.676932625,0.676932625,0.379493423
w5,32,48,4,6,0,0,-0.687804775,0.687804775,0.375311774
w5,43,59,5,7,3,3,-0.679027854,0.679027854,0.367865539
w5,7,55,0,6,7,7,0.679522249,0.679522249,0.363788965
w5,9,25,1,3,1,1,-0.670621667,0.670621667,0.355001758
w5,30,46,3,5,6,6,-0.660428036,0.660428036,0.354749063
w5,50,58,6,7,2,2,0.665730196,0.665730196,0.347620392
w5,24,40,3,5,0,0,-0.664219932,0.664219932,0.347233026
w5,42,58,5,7,2,2,-0.635890160,0.635890160,0.321655071
w5,16,48,2,6,0,0,0.640675804,0.640675804,0.320686734
w5,47,63,5,7,7,7,-0.629996800,0.629996800,0.312233144
w5,23,39,2,4,7,7,-0.623035006,0.623035006,0.306825849
w5,25,41,3,5,1,1,-0.625298087,0.625298087,0.304229347
w5,28,52,3,6,4,4,-0.621932879,0.621932879,0.300902281
w5,9,49,1,6,1,1,0.621264409,0.621264409,0.299923117
w5,34,42,4,5,2,2,0.611493524,0.611493524,0.288278045
w5,16,24,2,3,0,0,0.609367728,0.609367728,0.287536386
w5,12,28,1,3,4,4,-0.605390749,0.605390749,0.284187466
w5,29,61,3,7,5,5,0.602841520,0.602841520,0.281385234
w5,19,35,2,4,3,3,-0.600662381,0.600662381,0.280523588
w5,0,40,0,5,0,0,0.599729516,0.599729516,0.277843793
w5,20,36,2,4,4,4,-0.592034409,0.592034409,0.270256625
w5,40,48,5,6,0,0,-0.586318477,0.586318477,0.264721454
w5,6,14,0,1,6,6,0.575283349,0.575283349,0.252030737
w5,14,46,1,5,6,6,0.565140881,0.565140881,0.243128697
w5,24,32,3,4,0,0,-0.562595373,0.562595373,0.242234793
w5,15,55,1,6,7,7,0.557817422,0.557817422,0.237133778
w5,0,16,0,2,0,0,-0.544912498,0.544912498,0.226292908
w5,15,31,1,3,7,7,-0.529647313,0.529647313,0.215714113
w5,18,50,2,6,2,2,0.532391578,0.532391578,0.214394081
w5,18,26,2,3,2,2,0.524709643,0.524709643,0.207959231
w5,4,12,0,1,4,4,-0.523065703,0.523065703,0.207837792
w5,9,33,1,4,1,1,-0.522120436,0.522120436,0.206854637
w5,23,47,2,5,7,7,-0.517998311,0.517998311,0.205329683
w5,29,45,3,5,5,5,-0.511627463,0.511627463,0.198050263
w5,2,18,0,2,2,2,-0.505275962,0.505275962,0.196441898
w5,12,60,1,7,4,4,0.505681095,0.505681095,0.193223641
w5,1,17,0,2,1,1,-0.504868869,0.504868869,0.192772734
w5,39,63,4,7,7,7,-0.503049912,0.503049912,0.192375384
w5,31,47,3,5,7,7,-0.498805768,0.498805768,0.189591513
w5,0,32,0,4,0,0,0.498116403,0.498116403,0.187244178
w5,15,23,1,2,7,7,0.482431169,0.482431169,0.174514648
w5,28,44,3,5,4,4,-0.479504063,0.479504063,0.173023108
w5,3,35,0,4,3,3,0.478308047,0.478308047,0.171669155
w5,24,56,3,7,0,0,0.462933690,0.462933690,0.160653576
w5,1,25,0,3,1,1,-0.461721985,0.461721985,0.159872568
w5,10,42,1,5,2,2,0.448231792,0.448231792,0.149438818
w5,39,55,4,6,7,7,-0.444137485,0.444137485,0.148341801
w5,47,55,5,6,7,7,0.442240123,0.442240123,0.145747679
w5,27,43,3,5,3,3,-0.428570064,0.428570064,0.137340411
w5,9,57,1,7,1,1,-0.425993070,0.425993070,0.135201112
w5,44,60,5,7,4,4,-0.412498116,0.412498116,0.126515392
w5,26,34,3,4,2,2,-0.402955665,0.402955665,0.121505352
w5,0,56,0,7,0,0,-0.398501382,0.398501382,0.117799871
w5,4,44,0,5,4,4,0.396189742,0.396189742,0.116371122
w5,7,63,0,7,7,7,-0.394581134,0.394581134,0.116000033
w5,26,58,3,7,2,2,0.394298767,0.394298767,0.114952723
w5,31,39,3,4,7,7,0.388020336,0.388020336,0.111197545
w5,35,43,4,5,3,3,0.380831385,0.380831385,0.107179854
w5,29,37,3,4,5,5,0.379240611,0.379240611,0.106409865
w5,36,52,4,6,4,4,-0.373147568,0.373147568,0.102917092
w5,4,36,0,4,4,4,0.373052369,0.373052369,0.102857562
w5,2,58,0,7,2,2,-0.368173493,0.368173493,0.100861792
w5,15,63,1,7,7,7,0.368226793,0.368226793,0.099983614
w5,9,17,1,2,1,1,0.364915281,0.364915281,0.098293489
w5,13,29,1,3,5,5,-0.358057446,0.358057446,0.094598545
w5,36,60,4,7,4,4,-0.357563216,0.357563216,0.094305824
w5,8,40,1,5,0,0,0.355412448,0.355412448,0.093138709
w5,1,33,0,4,1,1,0.347344006,0.347344006,0.088854688
w5,20,28,2,3,4,4,-0.344715454,0.344715454,0.087544989
w5,17,41,2,5,1,1,-0.340148286,0.340148286,0.085162758
w5,2,34,0,4,2,2,0.340295632,0.340295632,0.084899407
w5,5,45,0,5,5,5,0.338612226,0.338612226,0.084397472
w5,11,43,1,5,3,3,0.336872749,0.336872749,0.083357547
w5,3,27,0,3,3,3,-0.332470622,0.332470622,0.081532311
w5,35,51,4,6,3,3,-0.316157519,0.316157519,0.073481490
w5,42,50,5,6,2,2,-0.304205041,0.304205041,0.068233238
w5,43,51,5,6,3,3,0.302621739,0.302621739,0.067046235
w5,8,16,1,2,0,0,-0.300823243,0.300823243,0.066301327
w5,9,41,1,5,1,1,0.294788023,0.294788023,0.063622407
w5,25,49,3,6,1,1,-0.291060596,0.291060596,0.062004531
w5,11,35,1,4,3,3,-0.282902949,0.282902949,0.058663178
w5,7,23,0,2,7,7,-0.282516766,0.282516766,0.058635073
w5,52,60,6,7,4,4,-0.269765810,0.269765810,0.053155900
w5,46,54,5,6,6,6,-0.261818273,0.261818273,0.050179010
w5,21,29,2,3,5,5,-0.258047654,0.258047654,0.048585546
w5,8,32,1,4,0,0,0.253860709,0.253860709,0.046999302
w5,4,52,0,6,4,4,0.253681348,0.253681348,0.046929119
w5,6,54,0,6,6,6,-0.252183310,0.252183310,0.046543654
w5,24,48,3,6,0,0,0.249902707,0.249902707,0.045528576
w5,1,49,0,6,1,1,-0.248153394,0.248153394,0.044889868
w5,5,61,0,7,5,5,-0.246869258,0.246869258,0.044401517
w5,10,50,1,6,2,2,0.245046621,0.245046621,0.043623527
w5,3,11,0,1,3,3,0.237301422,0.237301422,0.040942995
w5,7,15,0,1,7,7,0.236063651,0.236063651,0.040496341
w5,36,44,4,5,4,4,-0.230611336,0.230611336,0.038711678
w5,21,45,2,5,5,5,-0.230324882,0.230324882,0.038611091
w5,10,18,1,2,2,2,-0.224367039,0.224367039,0.036805581
