label,bit_index,line,data_ro,ones,zeros,p1,abs_bias
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,6,0,6,581,443,0.567382812,0.067382812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,14,1,6,578,446,0.564453125,0.064453125
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,10,1,2,577,447,0.563476562,0.063476562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,18,2,2,577,447,0.563476562,0.063476562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,2,0,2,573,451,0.559570312,0.059570312
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,30,3,6,571,453,0.557617188,0.057617188
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,22,2,6,569,455,0.555664062,0.055664062
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,34,4,2,567,457,0.553710938,0.053710938
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,62,7,6,567,457,0.553710938,0.053710938
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,15,1,7,565,459,0.551757812,0.051757812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,26,3,2,565,459,0.551757812,0.051757812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,50,6,2,565,459,0.551757812,0.051757812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,7,0,7,564,460,0.550781250,0.050781250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,42,5,2,563,461,0.549804688,0.049804688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,46,5,6,563,461,0.549804688,0.049804688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,3,0,3,559,465,0.545898438,0.045898438
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,23,2,7,558,466,0.544921875,0.044921875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,38,4,6,558,466,0.544921875,0.044921875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,31,3,7,556,468,0.542968750,0.042968750
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,58,7,2,552,472,0.539062500,0.039062500
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,55,6,7,550,474,0.537109375,0.037109375
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,27,3,3,548,476,0.535156250,0.035156250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,39,4,7,548,476,0.535156250,0.035156250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,47,5,7,548,476,0.535156250,0.035156250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,54,6,6,548,476,0.535156250,0.035156250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,63,7,7,548,476,0.535156250,0.035156250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,19,2,3,547,477,0.534179688,0.034179688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,11,1,3,545,479,0.532226562,0.032226562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,35,4,3,542,482,0.529296875,0.029296875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,59,7,3,540,484,0.527343750,0.027343750
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,43,5,3,534,490,0.521484375,0.021484375
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,28,3,4,531,493,0.518554688,0.018554688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,51,6,3,531,493,0.518554688,0.018554688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,13,1,5,530,494,0.517578125,0.017578125
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,4,0,4,529,495,0.516601562,0.016601562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,25,3,1,529,495,0.516601562,0.016601562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,48,6,0,497,527,0.485351562,0.014648438
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,1,0,1,526,498,0.513671875,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,20,2,4,526,498,0.513671875,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,32,4,0,498,526,0.486328125,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,33,4,1,526,498,0.513671875,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,56,7,0,498,526,0.486328125,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,61,7,5,498,526,0.486328125,0.013671875
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,9,1,1,524,500,0.511718750,0.011718750
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,12,1,4,524,500,0.511718750,0.011718750
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,57,7,1,524,500,0.511718750,0.011718750
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,36,4,4,523,501,0.510742188,0.010742188
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,45,5,5,501,523,0.489257812,0.010742188
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,5,0,5,521,503,0.508789062,0.008789062
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,52,6,4,519,505,0.506835938,0.006835938
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,53,6,5,505,519,0.493164062,0.006835938
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,60,7,4,519,505,0.506835938,0.006835938
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,17,2,1,518,506,0.505859375,0.005859375
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,24,3,0,506,518,0.494140625,0.005859375
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,37,4,5,506,518,0.494140625,0.005859375
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,8,1,0,507,517,0.495117188,0.004882812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,21,2,5,517,507,0.504882812,0.004882812
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,0,0,0,516,508,0.503906250,0.003906250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,40,5,0,508,516,0.496093750,0.003906250
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,44,5,4,515,509,0.502929688,0.002929688
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,16,2,0,514,510,0.501953125,0.001953125
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,41,5,1,514,510,0.501953125,0.001953125
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,29,3,5,513,511,0.500976562,0.000976562
sampler_snapshot_random1_sampler_island_warmup11_cap1024_20260526,49,6,1,511,513,0.499023438,0.000976562
