"label","net","group","to_pin","fast_min","fast_max","slow_min","slow_max","estimated"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I2","0","0","0","0","1"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I3","0","0","0","0","1"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I4","0","0","0","0","1"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/<const0>","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I5","0","0","0","0","1"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/in0[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_STAGE_LOOP[0].u_LUT6_not1/u_LUT6/I0","336","403","667","809","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[0].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[0]/D","423","492","771","917","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[1].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[8]/D","396","465","745","892","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[2].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[16]/D","437","510","765","913","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[3].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[24]/D","357","423","641","773","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[4].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[32]/D","383","454","641","770","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[5].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[40]/D","416","485","763","909","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[6].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[48]/D","368","434","641","771","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/SAMPLE_DATA_LINE_LOOP[7].SAMPLE_DATA_BIT_LOOP[0].sampled_data_reg[56]/D","367","426","677","806","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/out[0]","data_ro_net","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6/I1","470","555","861","1035","0"
"second_except_data_ro1","u_entropy_source/RO_NUM_LOOP[0].RO_AND.u_LUT6_and2_1/u_LUT6_0","data_ro_net","u_fifo_generator_0_i_2/I0","356","419","657","788","0"
