cohort,data_ro_bel_changed_vs_all640,data_ro_cells,data_ro_common_cells_vs_all640,data_ro_common_nets_vs_all640,data_ro_delay_arcs,data_ro_loc_changed_vs_all640,data_ro_nets,data_ro_pips,data_ro_route_changed_vs_all640,data_ro_slow_max_max_ps,data_ro_slow_max_mean_ps,dcp_exists,dcp_path,extract_complete,index,kind,label,mode,neighborhood_rows,run_dir,run_dir_path,sample_ro_bel_changed_vs_all640,sample_ro_cells,sample_ro_common_cells_vs_all640,sample_ro_common_nets_vs_all640,sample_ro_delay_arcs,sample_ro_loc_changed_vs_all640,sample_ro_nets,sample_ro_pips,sample_ro_route_changed_vs_all640,sample_ro_slow_max_max_ps,sample_ro_slow_max_mean_ps,sampled_data_common_nets_vs_all640,sampled_data_delay_arcs,sampled_data_nets,sampled_data_pips,sampled_data_regs,sampled_data_regs_bel_changed_vs_all640,sampled_data_regs_common_cells_vs_all640,sampled_data_regs_loc_changed_vs_all640,sampled_data_route_changed_vs_all640,sampled_data_slow_max_max_ps,sampled_data_slow_max_mean_ps
second_heldout_sample_ro_local,0,16,16,64,384,0,64,15970,0,2833.000,1096.500,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,all,all640,second_all640,all640,100,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_all640_header_delay60s,0,9,9,36,276,0,36,8591,0,2833.000,681.351,64,64,64,243,64,0,64,0,0,819.000,462.391
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16215,24,2940.000,1113.359,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,0,data_ro,second_data_ro0,data_ro,218,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro0_header_delay60s,0,9,9,35,276,0,36,8876,26,2940.000,682.261,64,8,64,32,64,56,64,62,64,793.000,493.375
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16161,24,3302.000,1186.117,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,1,data_ro,second_data_ro1,data_ro,415,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro1_header_delay60s,0,9,9,35,276,0,36,8752,26,3302.000,602.993,64,8,64,29,64,50,64,64,64,681.000,444.125
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16220,26,2673.000,1077.542,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,2,data_ro,second_data_ro2,data_ro,234,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro2_header_delay60s,0,9,9,35,276,0,36,8795,26,2673.000,626.475,64,8,64,31,64,51,64,64,64,792.000,416.875
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16108,28,2575.000,1092.958,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,3,data_ro,second_data_ro3,data_ro,252,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro3_header_delay60s,0,9,9,35,276,0,36,8928,26,2233.000,637.899,64,8,64,30,64,59,64,64,64,777.000,433.750
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16138,26,2407.000,1079.070,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,4,data_ro,second_data_ro4,data_ro,149,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro4_header_delay60s,0,9,9,35,276,0,36,8805,26,2407.000,763.920,64,8,64,32,64,60,64,64,64,669.000,443.125
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16177,28,2660.000,1144.958,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,5,data_ro,second_data_ro5,data_ro,378,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro5_header_delay60s,0,9,9,35,276,0,36,8782,26,2660.000,588.228,64,8,64,36,64,51,64,64,64,947.000,580.500
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16186,24,2920.000,1061.682,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,6,data_ro,second_data_ro6,data_ro,165,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro6_header_delay60s,0,9,9,35,276,0,36,8722,26,2920.000,645.297,64,8,64,35,64,45,64,64,64,929.000,634.000
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16225,24,2594.000,1041.419,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,7,data_ro,second_data_ro7,data_ro,243,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_data_ro7_header_delay60s,0,9,9,35,276,0,36,8811,26,2594.000,632.754,64,8,64,35,64,43,64,64,64,760.000,566.625
second_heldout_sample_ro_local,0,16,16,56,384,0,64,16282,24,2656.000,1083.680,True,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s\checkpoints\RO_TRNG_restart_reduced_xor_top_routed.dcp,True,0,except_data_ro,second_except_data_ro0,except_data_ro,455,restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,data\vivado_runs\restart_reduced_xor_random1_sample_ro_local_formal_bits_1000x125_warmup10_except_data_ro0_header_delay60s,0,9,9,35,278,0,36,8760,26,2656.000,601.259,64,72,64,276,64,53,64,64,64,1123.000,493.403
