label,run,source,source_format,tdcr_header_found,tdcr_version,tdcr_pair_id,tdcr_family_id,tdcr_warmup_packets,tdcr_capture_packets,tdcr_sample_div,packets,seq_gaps,seq_wraps,enable_edge_index,pre_enable_packets,post_enable_packets,bins,warmup_start,early_packets,window_packets,lag,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,early_entropy_a,early_entropy_b,early_entropy_diff,early_min_entropy_a,early_min_entropy_b,early_min_entropy_diff,transition_entropy_diff,transition_min_entropy_diff,same_diff_transition_ratio,residence_runs,residence_mean_len,residence_median_len,residence_p95_len,longest_same_diff_bin_run,autocorr_diff_lag,autocorr_a_lag,autocorr_b_lag,first_window_packets,later_window_packets,first_entropy_a,first_entropy_b,first_entropy_diff,later_entropy_a,later_entropy_b,later_entropy_diff,first_minus_later_entropy_a,first_minus_later_entropy_b,first_minus_later_entropy_diff,first_later_tvd_a,first_later_tvd_b,first_later_tvd_diff,first_diff_mean_bin,later_diff_mean_bin,first_minus_later_diff_mean_bin,warmup_packets,warmup_entropy_a,warmup_entropy_b,warmup_entropy_diff,warmup_transition_entropy_diff,warmup_same_diff_transition_ratio,warmup_longest_same_diff_bin_run,warmup_autocorr_diff_lag
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,0,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.44735236,5.52900192,6.65176302,10.7891746,0.00928187592,2,-0.0186402839
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,4,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.4436609,5.52865438,6.65043301,10.7891746,0.00928187592,2,-0.0189644884
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,8,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.44100901,5.52996609,6.65127789,10.7891746,0.00928187592,2,-0.0181697985
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,16,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.43782849,5.52899267,6.64923481,10.7862435,0.00928187592,2,-0.0194783524
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,32,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.42339624,5.53090161,6.64982134,10.7875893,0.00928187592,2,-0.0199934871
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,64,2048,2048,1,2.51946406,5.55981134,6.69748017,1.2791145,4.41597706,5.45310554,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,13.0398469,10.7520285,0.0100100711,32440,1.01011097,1,1,3,0.00424799151,0.00219879471,0.00886616199,2048,30720,2.44735236,5.52900192,6.65176302,2.52277455,5.56080081,6.69791011,-0.0754221855,-0.0317988853,-0.0461470971,0.0304361979,0.0583007812,0.0932942708,1.1875,0.0526367187,1.13486328,2048,2.40595579,5.53068956,6.64882642,10.7853957,0.00928187592,2,-0.0151421204
srestart_ro0_w4,tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,0,2048,2048,1,2.45375649,5.65040581,6.74771178,1.26921147,4.74970158,5.82507432,2.41011508,5.63644089,6.72009033,1.25516616,4.59060906,5.71459778,13.1273125,10.830031,0.00985747856,32445,1.00995531,1,1,3,0.00280759003,0.003817009,0.000707419799,2048,30720,2.41011508,5.63644089,6.72009033,2.45561533,5.64978716,6.74639507,-0.0455002543,-0.0133462658,-0.0263047404,0.0253255208,0.06875,0.0988932292,-0.129394531,0.00123697917,-0.13063151,2048,2.41011508,5.63644089,6.72009033,10.7856352,0.0112359551,3,0.0212429148
srestart_ro0_w4,tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,4,2048,2048,1,2.45375649,5.65040581,6.74771178,1.26921147,4.74970158,5.82507432,2.41011508,5.63644089,6.72009033,1.25516616,4.59060906,5.71459778,13.1273125,10.830031,0.00985747856,32445,1.00995531,1,1,3,0.00280759003,0.003817009,0.000707419799,2048,30720,2.41011508,5.63644089,6.72009033,2.45561533,5.64978716,6.74639507,-0.0455002543,-0.0133462658,-0.0263047404,0.0253255208,0.06875,0.0988932292,-0.129394531,0.00123697917,-0.13063151,2048,2.41382225,5.63630559,6.71974499,10.7830729,0.0112359551,3,0.0221763493
srestart_ro0_w4,tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,8,2048,2048,1,2.45375649,5.65040581,6.74771178,1.26921147,4.74970158,5.82507432,2.41011508,5.63644089,6.72009033,1.25516616,4.59060906,5.71459778,13.1273125,10.830031,0.00985747856,32445,1.00995531,1,1,3,0.00280759003,0.003817009,0.000707419799,2048,30720,2.41011508,5.63644089,6.72009033,2.45561533,5.64978716,6.74639507,-0.0455002543,-0.0133462658,-0.0263047404,0.0253255208,0.06875,0.0988932292,-0.129394531,0.00123697917,-0.13063151,2048,2.41738345,5.63792488,6.7226199,10.7840499,0.0117244748,3,0.0253802381
srestart_ro0_w4,tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,16,2048,2048,1,2.45375649,5.65040581,6.74771178,1.26921147,4.74970158,5.82507432,2.41011508,5.63644089,6.72009033,1.25516616,4.59060906,5.71459778,13.1273125,10.830031,0.00985747856,32445,1.00995531,1,1,3,0.00280759003,0.003817009,0.000707419799,2048,30720,2.41011508,5.63644089,6.72009033,2.45561533,5.64978716,6.74639507,-0.0455002543,-0.0133462658,-0.0263047404,0.0253255208,0.06875,0.0988932292,-0.129394531,0.00123697917,-0.13063151,2048,2.42420717,5.63738875,6.72398467,10.7840499,0.0117244748,3,0.0254465495
