label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,0,0,2047,2048,2.44735236,5.52900192,6.65176302,1.27378184,4.28575448,5.4150375,10.7891746,0.00928187592,2,-0.0186402839,1.1875,35.8483344
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,1,2048,4095,2048,2.49221119,5.49622177,6.61390075,1.28403801,4.21864029,5.19264508,10.7306941,0.00928187592,2,-0.0124628055,0.449707031,36.0819565
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,2,4096,6143,2048,2.53924724,5.54972323,6.66347984,1.24678325,4.37064338,5.2451125,10.7468736,0.00879335613,3,0.0365744316,-0.821289062,35.2163291
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,3,6144,8191,2048,2.55305918,5.55487416,6.65644165,1.29609643,4.5570565,5.32757466,10.7650072,0.0112359551,2,0.0118135218,1.09619141,34.9432092
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,4,8192,10239,2048,2.57778863,5.5523641,6.6643846,1.26698468,4.43014439,5.47643804,10.7721664,0.0112359551,3,0.0121776471,-0.511230469,35.4201093
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,5,10240,12287,2048,2.50834624,5.50929143,6.64548851,1.287473,4.4150375,5.32757466,10.7759941,0.0102589155,3,0.00564522672,0.377441406,35.4591024
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,6,12288,14335,2048,2.52381667,5.55311649,6.66743863,1.27207955,4.31349947,5.21864029,10.7896917,0.0170981925,2,0.00751066814,0.681640625,35.4991377
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,7,14336,16383,2048,2.49239517,5.58328253,6.6735181,1.27037926,4.642448,5.35614381,10.7847874,0.00928187592,2,-0.0191579252,0.134765625,35.4601464
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,8,16384,18431,2048,2.45749602,5.56347552,6.67168956,1.27378184,4.38529016,5.5081469,10.7941891,0.0131900342,3,-0.015705707,0.0546875,35.9151274
scompact_ro0_w4,tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro0_warmup4_32768_run01_20260528.tdc_packets.csv,9,18432,20479,2048,2.45880396,5.53012291,6.66272475,1.25853301,4.5081469,5.38529016,10.7895137,0.00586223742,2,0.0202375011,0.665527344,35.4029073
