label,run,source,source_format,tdcr_header_found,tdcr_version,tdcr_pair_id,tdcr_family_id,tdcr_warmup_packets,tdcr_capture_packets,tdcr_sample_div,packets,seq_gaps,seq_wraps,enable_edge_index,pre_enable_packets,post_enable_packets,bins,warmup_start,early_packets,window_packets,lag,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,early_entropy_a,early_entropy_b,early_entropy_diff,early_min_entropy_a,early_min_entropy_b,early_min_entropy_diff,transition_entropy_diff,transition_min_entropy_diff,same_diff_transition_ratio,residence_runs,residence_mean_len,residence_median_len,residence_p95_len,longest_same_diff_bin_run,autocorr_diff_lag,autocorr_a_lag,autocorr_b_lag,first_window_packets,later_window_packets,first_entropy_a,first_entropy_b,first_entropy_diff,later_entropy_a,later_entropy_b,later_entropy_diff,first_minus_later_entropy_a,first_minus_later_entropy_b,first_minus_later_entropy_diff,first_later_tvd_a,first_later_tvd_b,first_later_tvd_diff,first_diff_mean_bin,later_diff_mean_bin,first_minus_later_diff_mean_bin,warmup_packets,warmup_entropy_a,warmup_entropy_b,warmup_entropy_diff,warmup_transition_entropy_diff,warmup_same_diff_transition_ratio,warmup_longest_same_diff_bin_run,warmup_autocorr_diff_lag
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,0,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.47286262,5.49992481,6.63328298,10.7516783,0.00635075721,2,-0.0205416526
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,4,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.47290793,5.50183404,6.63448078,10.7516783,0.00635075721,2,-0.0210923682
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,8,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.47200898,5.50307108,6.63440176,10.7507013,0.00635075721,2,-0.0210676067
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,16,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.47677004,5.49936618,6.63285927,10.7493554,0.00635075721,2,-0.0202540335
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,32,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.48358927,5.49818984,6.63342419,10.7477701,0.00635075721,2,-0.0205104453
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,64,2048,2048,1,2.57313139,5.50385899,6.66547418,1.30021068,3.95560588,5.16710999,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,12.987212,9.79050261,0.0111697745,32402,1.0112956,1,1,3,-0.00753148025,-0.00770243022,0.00703546449,2048,30720,2.47286262,5.49992481,6.63328298,2.57858848,5.50281963,6.66485371,-0.105725865,-0.00289481987,-0.0315707309,0.0320963542,0.0612630208,0.0875976563,0.0751953125,0.748535156,-0.673339844,2048,2.47525606,5.50246544,6.63694326,10.7536324,0.00635075721,2,-0.0167119358
srestart_ro3_w4,tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,0,2048,2048,1,2.56469922,5.55885144,6.70016929,1.29815209,4.26021939,5.35614381,2.48555167,5.5272599,6.63449814,1.27378184,4.27207955,5.27207955,13.0439767,10.141975,0.0110477004,32406,1.01117077,1,1,3,-0.00554115105,-0.00371799356,0.00386923233,2048,30720,2.48555167,5.5272599,6.63449814,2.5684396,5.55975812,6.70176389,-0.0828879341,-0.0324982159,-0.0672657528,0.0349283854,0.0627278646,0.0923177083,-0.178222656,-0.009765625,-0.168457031,2048,2.48555167,5.5272599,6.63449814,10.7494847,0.00879335613,2,-0.01536228
srestart_ro3_w4,tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,4,2048,2048,1,2.56469922,5.55885144,6.70016929,1.29815209,4.26021939,5.35614381,2.48555167,5.5272599,6.63449814,1.27378184,4.27207955,5.27207955,13.0439767,10.141975,0.0110477004,32406,1.01117077,1,1,3,-0.00554115105,-0.00371799356,0.00386923233,2048,30720,2.48555167,5.5272599,6.63449814,2.5684396,5.55975812,6.70176389,-0.0828879341,-0.0324982159,-0.0672657528,0.0349283854,0.0627278646,0.0923177083,-0.178222656,-0.009765625,-0.168457031,2048,2.48864424,5.5275764,6.63675594,10.7494847,0.00879335613,2,-0.0160261647
srestart_ro3_w4,tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,8,2048,2048,1,2.56469922,5.55885144,6.70016929,1.29815209,4.26021939,5.35614381,2.48555167,5.5272599,6.63449814,1.27378184,4.27207955,5.27207955,13.0439767,10.141975,0.0110477004,32406,1.01117077,1,1,3,-0.00554115105,-0.00371799356,0.00386923233,2048,30720,2.48555167,5.5272599,6.63449814,2.5684396,5.55975812,6.70176389,-0.0828879341,-0.0324982159,-0.0672657528,0.0349283854,0.0627278646,0.0923177083,-0.178222656,-0.009765625,-0.168457031,2048,2.48560491,5.52757654,6.63541898,10.7494847,0.00879335613,2,-0.0213332524
srestart_ro3_w4,tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_srestart_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,csv,0,,,,,,,32768,0,0,0,0,32768,256,16,2048,2048,1,2.56469922,5.55885144,6.70016929,1.29815209,4.26021939,5.35614381,2.48555167,5.5272599,6.63449814,1.27378184,4.27207955,5.27207955,13.0439767,10.141975,0.0110477004,32406,1.01117077,1,1,3,-0.00554115105,-0.00371799356,0.00386923233,2048,30720,2.48555167,5.5272599,6.63449814,2.5684396,5.55975812,6.70176389,-0.0828879341,-0.0324982159,-0.0672657528,0.0349283854,0.0627278646,0.0923177083,-0.178222656,-0.009765625,-0.168457031,2048,2.48857719,5.52691621,6.63580075,10.7504618,0.00879335613,2,-0.0205201261
