label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,0,0,2047,2048,2.47286262,5.49992481,6.63328298,1.26190774,4.06926266,5,10.7516783,0.00635075721,2,-0.0205416526,0.0751953125,34.7630293
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,1,2048,4095,2048,2.57103198,5.48081667,6.60425771,1.23844877,4.02272008,5.04580369,10.7517384,0.0097703957,2,0.0108747255,1.56835938,33.937746
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,2,4096,6143,2048,2.445086,5.49900369,6.61134525,1.27378184,3.84012866,4.85025288,10.7506525,0.0131900342,3,0.0086563002,0.667480469,34.1332381
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,3,6144,8191,2048,2.52387216,5.49750066,6.63376812,1.287473,4.10518224,5.19264508,10.7569323,0.0127015144,2,-0.023325868,0.0224609375,34.5136703
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,4,8192,10239,2048,2.56586307,5.51064928,6.64410777,1.26359807,3.97763219,5.16710999,10.772584,0.0151441133,3,0.0309513176,0.250488281,34.4349496
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,5,10240,12287,2048,2.53174511,5.44417125,6.62200161,1.26190774,3.94471756,5.06926266,10.7517885,0.0131900342,2,0.0263814643,0.0747070312,34.5698359
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,6,12288,14335,2048,2.52284086,5.50039369,6.65030172,1.27719247,4.04580369,5.27207955,10.7612092,0.0146555936,2,-0.00609448919,0.741210938,34.6953581
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,7,14336,16383,2048,2.57706825,5.46654843,6.612291,1.27548615,4.02272008,4.93391081,10.7362851,0.0107474353,2,-0.012992003,0.327148438,33.9991725
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,8,16384,18431,2048,2.54685954,5.47949558,6.64245854,1.26359807,4.03421572,5.19264508,10.7615971,0.00928187592,2,-0.0196171149,1.62597656,34.152947
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,9,18432,20479,2048,2.57660863,5.46208532,6.59769247,1.25684861,3.78083148,5.04580369,10.7362851,0.0112359551,2,-0.0297858055,-0.369140625,34.0915957
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,10,20480,22527,2048,2.55873637,5.51145525,6.66134028,1.29091619,3.88105893,5,10.7605522,0.00928187592,3,-0.0305867274,1.16845703,34.4634417
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,11,22528,24575,2048,2.6569277,5.49993637,6.64039138,1.31700542,3.95560588,5.16710999,10.7506525,0.013678554,2,-0.014858305,0.670410156,33.6508882
scompact_ro3_w4,tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528,data\hardware\20260511_fpga1_board1\tdc_counterfactual\analysis_tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528\tdc_counterfactual_scompact_ro3_warmup4_32768_run01_20260528.tdc_packets.csv,12,24576,26623,2048,2.55743811,5.47664756,6.60270258,1.30651304,3.830075,5.02272008,10.7580195,0.0112359551,2,-0.0333851811,1.13818359,34.4289438
