label,run,source,window_index,packet_start,packet_end,packets,entropy_a,entropy_b,entropy_diff,min_entropy_a,min_entropy_b,min_entropy_diff,transition_entropy_diff,same_diff_transition_ratio,longest_same_diff_bin_run,autocorr_diff_lag,diff_mean_bin,diff_std_bin
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,0,0,4095,4096,5.52944755,5.47822767,6.63301807,4.29264087,4.04580369,5.37064338,11.5643311,0.0114774115,2,0.0214743817,-1.42944336,25.3685874
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,1,4096,8191,4096,5.51452756,5.444838,6.62762688,4.26529038,4.10518224,5.642448,11.5796008,0.0122100122,3,0.0182366656,-1.29956055,25.3791731
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,2,8192,12287,4096,5.53061076,5.46302531,6.63556191,4.37794818,4.06336206,5.37064338,11.5451829,0.0102564103,2,0.00896040382,-1.23828125,25.4506414
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,3,12288,16383,4096,5.52392276,5.46417221,6.61130724,4.20558413,4.03421572,5.29956028,11.555684,0.0105006105,3,0.0169739719,-0.905761719,25.2705199
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,4,16384,20479,4096,5.53893851,5.46422275,6.61658649,4.27207955,4.11125675,5.46084119,11.5521709,0.011965812,2,0.00372395461,-1.46679688,25.2609989
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,5,20480,24575,4096,5.53236554,5.46565093,6.64550809,4.34894831,4.06926266,5.47643804,11.5851279,0.00976800977,2,-0.0216644227,-1.12475586,25.609118
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,6,24576,28671,4096,5.5182332,5.43837733,6.61643223,4.27207955,4.03999807,5.52426657,11.5351554,0.0131868132,3,-0.00630332083,-1.31982422,25.3744078
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,7,28672,32767,4096,5.55178839,5.46927856,6.63652729,4.49220536,4.01131531,5.40008716,11.5619877,0.0122100122,3,-0.00720030762,-1.1887207,25.3139367
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,8,32768,36863,4096,5.52299667,5.46865055,6.6271802,4.3205199,4.0751875,5.52426657,11.5559924,0.011965812,3,-0.0112856835,-1.48193359,25.2930404
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,9,36864,40959,4096,5.52860125,5.45806319,6.62540863,4.3205199,4,5.5081469,11.5598772,0.0122100122,3,0.0295806081,-1.23950195,25.3107671
tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525,data\hardware\20260511_fpga1_board1\tdc_mask_perturb\tdc_mask_random1_ro0_ro1_pair_only_smoke_20260525.bin,10,40960,45055,4096,5.53824024,5.46425457,6.62324595,4.31349947,4.11125675,5.47643804,11.5480052,0.00903540904,3,0.0109909303,-1.33618164,25.2608665
